name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Merab Dvalishvili,The Machine,Orthodox,1,83.5,75.35,100.0,64.77,84.58,99.6,33.99,72.03,20,4,0,13,2.0,0.0,0.0,15,3,2.0,0.0,"['bantamweight', 'catch weight']",bantamweight,1991/01/10,70.94,100.0,62.4,60.2,70.35,76.34,100.0,100.0,64.93,100.0,79.55,81.3,57.08,66.23,54.48,100.0
Aljamain Sterling,Funk Master,Orthodox,2,81.27,77.4,82.08,86.44,76.6,94.99,47.97,52.13,24,5,0,16,5.0,0.0,0.0,21,4,6.0,0.0,"['bantamweight', 'catch weight', 'featherweight']",bantamweight,1989/07/31,75.44,96.22,80.3,57.64,72.69,77.62,67.55,100.0,56.66,100.0,58.7,100.0,63.58,100.0,70.49,97.4
TJ Dillashaw,,Orthodox,3,77.92,88.29,54.18,70.65,76.7,100.0,73.16,31.21,18,5,0,13,5.0,0.0,0.0,18,5,3.0,0.0,"['bantamweight', 'ultimate fighter 14 bantamweight tournament', 'flyweight']",bantamweight,1986/02/07,83.57,92.24,65.9,100.0,77.93,67.57,44.85,62.12,43.17,69.4,75.5,90.08,61.2,64.69,66.63,85.79
Petr Yan,No Mercy,Switch,4,72.47,96.23,50.38,58.88,83.56,80.86,51.16,27.77,18,5,0,10,4.0,0.0,0.0,14,2,9.0,0.0,"['bantamweight', 'interim bantamweight']",bantamweight,1993/02/11,87.14,86.79,89.01,100.0,74.87,65.27,43.26,52.74,48.38,56.07,82.19,59.11,54.52,54.07,67.82,100.0
Renan Barao,The Baron,Orthodox,5,70.35,74.31,47.71,76.91,67.52,88.61,68.99,24.35,34,9,0,9,8.0,0.0,0.0,17,4,3.0,0.0,"['bantamweight', 'featherweight', 'interim bantamweight', 'catch weight']",bantamweight,1987/01/31,68.89,93.51,55.88,78.96,67.43,61.64,40.12,51.51,42.86,53.37,78.92,79.55,62.22,94.32,71.56,62.1
Ricky Simon,,Orthodox,6,67.6,76.86,83.53,75.51,74.85,36.5,58.14,52.07,22,6,0,10,5.0,0.0,0.0,15,0,Unranked,9.0,"['bantamweight', 'featherweight']",bantamweight,1992/08/31,64.91,82.49,71.04,89.0,76.35,65.66,87.7,100.0,62.88,94.36,74.42,74.43,60.37,95.09,72.15,82.97
Marlon Vera,Chito,Switch,7,67.31,100.0,36.07,88.39,71.63,51.33,81.4,15.79,23,10,1,15,9.0,0.0,0.0,24,0,Unranked,3.0,"['bantamweight', 'featherweight', 'catch weight']",bantamweight,1992/12/02,73.72,100.0,75.39,100.0,61.95,55.36,29.01,35.88,35.57,42.02,75.4,100.0,63.9,100.0,69.57,93.81
Urijah Faber,The California Kid,Orthodox,8,67.07,74.12,51.5,94.47,73.87,52.73,74.63,29.05,35,11,0,11,7.0,0.0,0.0,18,0,13.0,1.0,"['bantamweight', 'interim bantamweight', 'featherweight']",bantamweight,1979/05/14,61.79,82.26,64.3,88.13,79.62,72.84,43.45,65.66,41.95,62.79,64.99,100.0,66.72,100.0,72.64,78.03
Sean O'Malley,Suga,Switch,9,66.7,94.53,19.35,58.31,77.68,85.53,72.09,1.67,18,3,0,10,4.0,0.0,0.0,14,2,5.0,0.0,['bantamweight'],bantamweight,1994/10/24,99.83,77.02,100.0,99.52,76.47,68.86,16.93,18.71,22.18,17.62,68.92,69.45,56.33,53.69,53.77,96.47
Dominick Cruz,The Dominator,Orthodox,10,66.1,67.69,49.49,58.88,79.29,85.35,33.22,21.3,24,4,0,7,3.0,0.0,0.0,10,4,2.0,0.0,['bantamweight'],bantamweight,1985/03/09,68.26,91.48,50.27,60.75,88.35,72.61,48.43,60.56,43.67,46.02,77.13,59.11,54.52,54.07,67.82,79.07
Cory Sandhagen,,Switch,11,65.57,84.3,48.73,63.95,76.8,55.97,74.63,32.19,18,5,0,11,4.0,0.0,0.0,15,0,Unranked,2.0,"['bantamweight', 'catch weight', 'interim bantamweight', 'featherweight']",bantamweight,1992/04/20,78.66,100.0,67.93,77.83,70.14,69.69,41.21,52.44,42.82,62.53,69.7,76.49,57.57,66.8,54.95,97.67
Montel Jackson,Quik,Southpaw,12,65.12,91.59,65.5,65.36,86.99,28.51,54.27,54.23,15,2,0,9,2.0,0.0,0.0,11,0,Unranked,14.0,['bantamweight'],bantamweight,1992/04/24,71.74,72.68,90.07,100.0,79.13,84.12,66.8,61.01,66.56,75.22,72.12,65.9,59.07,67.22,69.25,100.0
Rani Yahya,,Orthodox,13,64.74,59.81,81.24,100.0,68.18,29.87,60.83,58.1,28,12,1,13,8.0,0.0,0.0,21,0,Unranked,13.0,"['bantamweight', 'featherweight']",bantamweight,1984/09/12,54.57,61.69,62.57,60.41,59.3,76.88,71.13,100.0,58.57,100.0,51.02,100.0,76.95,100.0,71.11,85.52
Umar Nurmagomedov,,Orthodox,14,64.2,79.96,52.77,69.05,88.11,40.01,65.12,55.46,18,1,0,6,1.0,0.0,0.0,7,0,Unranked,2.0,"['bantamweight', 'featherweight']",bantamweight,1996/01/03,78.91,82.5,92.02,66.42,76.97,79.36,55.37,54.59,46.24,56.41,78.05,62.48,59.98,82.04,71.69,100.0
Kyung Ho Kang,Mr. Perfect,Orthodox,15,62.12,77.69,63.49,84.23,75.15,25.53,58.14,57.84,19,11,0,8,5.0,0.0,1.0,14,0,Unranked,Unranked,"['bantamweight', 'catch weight']",bantamweight,1987/09/09,66.2,87.02,75.04,82.5,66.47,69.18,55.52,61.74,59.49,84.22,71.56,91.52,66.1,100.0,71.96,93.39
John Lineker,Hands of Stone,Orthodox,16,61.74,93.9,32.1,64.8,77.34,49.78,63.95,8.8,31,9,0,12,4.0,0.0,0.0,16,0,Unranked,2.0,"['bantamweight', 'flyweight']",bantamweight,1990/06/12,86.46,94.81,64.75,100.0,71.27,63.76,27.29,29.82,38.4,30.87,72.9,76.49,60.95,66.8,54.95,100.0
Cody Garbrandt,No Love,Orthodox,17,61.23,85.1,23.04,54.97,64.35,76.08,76.74,6.6,14,7,0,9,7.0,0.0,0.0,16,1,5.0,0.0,"['bantamweight', 'catch weight', 'flyweight']",bantamweight,1991/07/07,64.83,86.97,63.78,100.0,68.95,62.25,20.58,25.06,21.22,21.38,73.68,54.82,54.53,55.22,55.31,52.53
John Dodson,The Magician,Orthodox,18,60.58,86.15,23.73,57.76,77.15,60.97,72.09,8.35,22,12,0,10,7.0,0.0,0.0,17,1,Unranked,1.0,"['bantamweight', 'flyweight', 'ultimate fighter 14 bantamweight tournament']",bantamweight,1984/09/26,68.11,85.29,65.68,100.0,76.54,66.84,20.41,26.07,21.99,22.66,78.08,54.16,53.88,54.56,68.43,87.14
Raoni Barcelos,,Orthodox,19,60.27,85.37,52.24,71.55,77.89,28.61,54.27,43.41,20,5,0,9,4.0,0.0,0.0,13,0,Unranked,15.0,"['bantamweight', 'featherweight']",bantamweight,1987/05/01,83.9,82.04,84.83,90.71,76.31,61.84,47.74,60.43,42.46,58.78,80.92,72.69,62.41,80.64,70.46,92.49
