name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Alexander Volkanovski,The Great,Orthodox,1,78.72,90.52,67.4,57.33,82.07,100.0,48.17,28.24,27,4,0,14,3.0,0.0,0.0,17,7,1.0,0.0,"['featherweight', 'catch weight', 'lightweight']",featherweight,1988/09/29,89.54,96.36,84.66,91.52,75.92,71.8,54.97,85.65,53.99,82.48,75.62,53.67,53.65,53.81,68.19,100.0
Max Holloway,Blessed,Orthodox,2,76.99,100.0,42.15,68.66,80.81,96.55,71.45,7.5,26,8,0,22,8.0,0.0,0.0,30,5,3.0,0.0,"['featherweight', 'interim lightweight', 'interim featherweight', 'catch weight', 'lightweight']",featherweight,1991/12/04,92.88,100.0,67.59,100.0,78.57,59.74,32.4,38.03,46.53,45.52,83.7,85.5,56.07,78.28,54.79,100.0
Ilia Topuria,El Matador,Orthodox,3,76.63,83.35,51.37,65.11,98.28,82.96,84.5,18.88,17,0,0,9,,,,9,3,1.0,0.0,"['lightweight', 'featherweight']",featherweight,1997/01/21,79.19,81.59,73.97,98.64,89.79,70.42,48.36,44.76,56.62,48.11,91.92,55.21,67.88,67.19,70.16,100.0
Jose Aldo,,Orthodox,4,70.18,79.89,53.73,58.96,74.12,90.68,43.19,16.3,32,10,0,14,9.0,0.0,0.0,23,8,1.0,0.0,"['featherweight', 'bantamweight', 'interim featherweight']",featherweight,1986/09/09,68.74,82.2,70.54,98.08,75.61,64.54,39.89,49.42,54.29,64.46,83.5,65.22,51.18,52.68,66.76,72.83
Conor McGregor,The Notorious,Southpaw,5,69.42,95.5,37.87,51.14,68.17,86.17,86.05,7.63,22,6,0,10,4.0,0.0,0.0,14,3,2.0,0.0,"['welterweight', 'featherweight', 'lightweight', 'interim featherweight']",featherweight,1988/07/14,84.55,87.6,76.32,100.0,67.42,58.41,32.87,34.02,44.62,37.34,71.59,55.14,53.71,55.29,40.42,75.27
Dennis Bermudez,The Menace,Orthodox,6,68.12,76.4,94.64,72.45,70.24,38.14,44.19,47.43,17,9,0,10,7.0,0.0,0.0,17,0,Unranked,6.0,"['lightweight', 'featherweight', 'ultimate fighter 14 featherweight tournament']",featherweight,1986/12/13,77.53,66.03,72.56,89.49,72.07,69.13,87.85,100.0,69.24,100.0,76.27,100.0,65.48,76.24,39.05,63.49
Darren Elkins,The Damage,Orthodox,7,67.53,67.16,100.0,79.38,67.8,34.04,48.97,50.44,29,12,0,19,11.0,0.0,0.0,30,0,Unranked,9.0,"['featherweight', 'lightweight']",featherweight,1984/05/16,63.51,82.23,55.77,67.13,61.25,68.77,83.19,100.0,69.89,100.0,64.99,100.0,66.81,89.43,54.44,76.19
Chad Mendes,Money,Orthodox,8,67.27,79.62,70.91,58.99,76.95,47.47,76.74,20.08,18,5,0,9,5.0,0.0,0.0,14,0,Unranked,1.0,"['featherweight', 'interim featherweight']",featherweight,1985/05/01,63.78,68.65,78.15,100.0,84.1,74.76,76.0,72.07,65.8,65.92,84.82,61.43,54.25,53.05,67.23,64.13
Zabit Magomedsharipov,,Orthodox,9,67.05,70.01,73.71,74.7,97.36,31.48,58.14,49.25,18,1,0,6,,,,6,0,Unranked,2.0,['featherweight'],featherweight,1991/03/01,80.81,64.05,74.83,60.35,89.21,77.83,89.99,72.65,70.46,66.79,82.32,66.33,65.86,94.01,72.59,100.0
Movsar Evloev,,Orthodox,10,66.94,70.09,87.36,58.64,94.1,40.54,23.26,69.16,19,0,0,9,,,,9,0,Unranked,1.0,"['featherweight', 'catch weight']",featherweight,1994/02/11,69.84,81.04,71.67,57.8,82.15,81.0,95.13,100.0,73.86,97.14,73.27,61.42,52.89,53.04,67.21,100.0
Ricardo Lamas,The Bully,Orthodox,11,63.72,70.2,55.76,77.01,70.26,49.7,74.63,25.64,20,8,0,11,6.0,0.0,0.0,17,0,Unranked,2.0,['featherweight'],featherweight,1982/05/21,64.09,74.64,71.85,70.21,71.11,73.06,51.25,68.88,48.72,64.8,59.96,78.59,66.03,92.21,71.2,76.91
Pat Sabatini,,Orthodox,12,61.9,71.83,77.87,80.8,71.97,21.2,53.15,69.05,20,5,0,7,2.0,0.0,0.0,9,0,Unranked,Unranked,['featherweight'],featherweight,1990/11/09,57.14,59.54,100.0,69.39,56.95,85.68,86.47,75.24,72.06,94.71,60.74,82.54,78.37,91.58,70.71,84.51
Yair Rodriguez,El Pantera,Orthodox,13,61.83,79.44,31.33,65.7,72.23,67.09,61.94,9.5,21,6,0,11,5.0,0.0,0.0,16,2,Unranked,1.0,"['featherweight', 'interim featherweight', 'ultimate fighter latin america featherweight tournament']",featherweight,1992/10/06,75.8,87.6,69.12,85.25,64.7,66.84,27.5,34.84,29.84,32.56,68.5,87.03,58.33,64.42,53.03,88.89
Jeremy Stephens,Lil' Heathen,Orthodox,14,61.53,91.67,72.77,51.23,64.58,29.58,60.47,22.24,28,20,0,15,20.0,0.0,0.0,35,0,Unranked,4.0,"['lightweight', 'featherweight']",featherweight,1986/05/25,60.29,100.0,57.54,100.0,69.73,67.79,54.94,87.01,60.66,99.97,65.48,67.67,57.28,54.66,25.31,55.32
Enrique Barzola,El Fuerte,Orthodox,15,61.1,65.22,79.4,58.33,81.86,36.12,23.26,52.29,17,5,2,6,4.0,0.0,0.0,10,1,Unranked,Unranked,"['featherweight', 'bantamweight', 'ultimate fighter latin america 2 lightweight tournament']",featherweight,1989/04/28,69.47,71.71,61.65,58.05,91.13,73.98,83.93,97.41,66.71,83.48,72.11,57.57,54.63,53.42,67.7,90.22
Chase Hooper,The Dream,Southpaw,16,60.87,72.73,58.94,91.43,68.35,24.26,75.58,42.67,16,3,1,8,3.0,0.0,0.0,11,0,Unranked,Unranked,"['lightweight', 'featherweight']",featherweight,1999/09/13,78.04,66.73,79.83,66.32,40.82,73.12,58.7,67.22,51.03,67.23,65.39,100.0,82.59,100.0,69.49,94.06
Bryce Mitchell,Thug Nasty,Southpaw,17,60.81,71.87,78.31,66.53,71.26,28.72,40.7,67.38,17,4,0,8,3.0,0.0,0.0,11,0,Unranked,9.0,['featherweight'],featherweight,1994/10/04,61.43,62.81,94.92,68.32,74.8,82.54,79.62,92.63,64.94,100.0,52.38,95.4,67.67,64.31,38.74,75.32
Diego Brandao,DB,Orthodox,18,60.79,69.8,62.66,66.43,69.37,36.12,76.74,21.66,22,11,0,6,4.0,0.0,0.0,10,1,Unranked,14.0,"['featherweight', 'ultimate fighter 14 featherweight tournament']",featherweight,1987/05/27,65.05,60.46,74.83,78.87,76.76,66.49,66.51,55.81,69.95,57.2,75.26,65.7,62.35,80.99,56.68,58.97
Arnold Allen,Almighty,Southpaw,19,60.47,69.81,41.59,68.97,89.55,46.67,48.63,17.71,20,3,0,11,2.0,0.0,0.0,13,0,Unranked,3.0,['featherweight'],featherweight,1994/01/22,65.66,77.45,61.73,74.4,81.95,77.08,35.85,40.21,43.86,42.84,79.27,68.93,56.93,79.47,70.55,100.0
Alex Caceres,Bruce Leeroy,Southpaw,20,60.09,81.14,61.21,72.42,70.19,29.57,49.42,16.9,21,15,0,16,13.0,0.0,1.0,30,0,Unranked,10.0,"['featherweight', 'bantamweight']",featherweight,1988/06/20,71.14,96.71,72.58,84.13,77.72,69.81,46.96,54.27,71.48,75.1,68.03,100.0,64.87,100.0,0.0,65.21
Mirsad Bektic,,Orthodox,21,59.96,64.45,85.18,61.72,69.58,22.73,58.14,71.07,13,4,0,6,4.0,0.0,0.0,10,0,Unranked,7.0,['featherweight'],featherweight,1991/02/16,58.67,64.73,63.48,70.92,66.35,76.91,86.75,80.89,74.59,100.0,78.28,67.94,57.5,66.61,54.83,56.78
Youssef Zalal,The Moroccan Devil,Switch,22,59.89,71.93,56.35,79.05,82.69,25.75,53.15,45.42,17,5,1,7,4.0,0.0,0.0,11,0,Unranked,9.0,"['featherweight', 'bantamweight']",featherweight,1996/09/04,63.67,77.27,76.47,70.31,86.77,83.47,52.71,66.02,47.13,65.95,67.57,82.57,71.29,91.61,70.74,92.96
Brian Ortega,T-City,Switch,23,59.09,74.19,32.63,79.73,66.81,44.44,91.28,11.39,16,4,0,8,4.0,0.0,1.0,13,0,Unranked,1.0,['featherweight'],featherweight,1991/02/21,68.6,91.83,53.95,82.38,62.94,43.84,29.86,38.96,29.75,32.87,69.94,63.34,72.06,100.0,74.48,90.52
Nathaniel Wood,The Prospect,Orthodox,24,58.63,80.85,48.66,75.98,79.09,27.28,46.51,26.58,21,6,0,9,3.0,0.0,0.0,12,0,Unranked,Unranked,"['featherweight', 'catch weight', 'bantamweight']",featherweight,1993/05/08,87.63,73.32,79.49,82.96,72.52,66.94,43.55,48.4,49.94,51.43,76.69,78.64,61.78,92.26,71.24,100.0
