name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Demetrious Johnson,Mighty Mouse,Orthodox,1,91.25,76.89,100.0,93.19,93.86,100.0,62.79,39.96,27,3,1,15,3.0,0.0,0.0,18,12,1.0,0.0,"['flyweight', 'bantamweight']",flyweight,1986/08/13,68.47,76.99,83.05,79.05,92.83,87.47,82.59,100.0,84.34,100.0,74.26,100.0,63.24,100.0,77.32,100.0
Alexandre Pantoja,The Cannibal,Orthodox,2,85.21,79.54,73.53,100.0,82.85,99.52,70.1,36.41,30,5,0,14,3.0,0.0,0.0,17,5,4.0,0.0,['flyweight'],flyweight,1990/04/16,77.12,79.71,76.18,85.14,61.99,68.24,64.81,83.07,65.22,91.33,78.56,100.0,73.6,100.0,78.56,100.0
Deiveson Figueiredo,Deus da Guerra,Orthodox,3,75.55,93.03,49.68,92.5,70.13,82.31,73.16,17.44,24,5,1,13,6.0,0.0,0.0,19,3,8.0,0.0,"['bantamweight', 'flyweight']",flyweight,1987/12/18,62.5,92.33,83.33,100.0,58.96,67.09,43.2,60.92,44.52,56.02,68.01,100.0,77.42,100.0,61.23,86.46
Brandon Moreno,The Assassin Baby,Orthodox,4,73.03,76.48,58.36,77.06,79.16,79.01,68.29,23.45,23,8,2,11,7.0,0.0,0.0,18,3,9.0,0.0,"['flyweight', 'interim flyweight']",flyweight,1993/12/07,70.71,87.9,64.96,82.35,79.67,68.57,47.81,66.48,54.73,70.56,73.06,70.06,62.54,96.9,78.75,95.35
Henry Cejudo,Triple C,Orthodox,5,71.11,80.21,49.27,61.38,80.09,90.25,51.16,22.77,16,5,0,10,5.0,0.0,0.0,15,4,3.0,0.0,"['bantamweight', 'flyweight']",flyweight,1987/02/09,69.59,92.34,69.58,89.33,77.14,69.38,42.35,59.53,41.2,54.4,79.73,61.32,53.3,57.17,73.74,94.12
Ray Borg,The Tazmexican Devil,Orthodox,6,64.49,64.07,84.44,77.01,68.21,41.23,43.19,66.32,13,5,0,7,5.0,0.0,0.0,12,0,Unranked,3.0,"['bantamweight', 'flyweight']",flyweight,1993/08/04,49.01,69.34,79.87,58.06,55.13,79.65,82.11,96.72,75.59,100.0,58.49,96.7,69.92,80.51,60.91,79.57
Muhammad Mokaev,The Punisher,Orthodox,7,63.98,61.72,69.96,84.74,91.37,25.45,63.13,69.38,13,0,0,7,,,,7,0,Unranked,6.0,['flyweight'],flyweight,2000/07/30,50.55,60.38,70.11,65.84,77.35,93.31,84.87,81.33,63.48,78.54,50.81,79.7,70.48,100.0,79.25,100.0
Tim Elliott,,Southpaw,8,62.02,71.23,86.07,65.28,61.43,36.4,38.76,40.42,21,13,1,9,11.0,0.0,0.0,20,0,Unranked,5.0,"['bantamweight', 'flyweight']",flyweight,1986/12/24,64.01,89.32,63.8,67.79,65.23,69.68,78.19,100.0,71.32,100.0,62.9,96.93,73.38,84.49,6.32,47.91
Tatsuro Taira,,Orthodox,9,61.73,75.32,55.26,81.8,80.98,26.93,69.77,55.79,16,1,0,6,1.0,0.0,0.0,7,0,Unranked,5.0,"['flyweight', 'catch weight']",flyweight,2000/01/27,66.61,63.73,95.92,75.01,56.17,79.19,56.2,54.27,55.54,65.86,62.83,92.12,80.36,80.29,74.43,100.0
Joseph Benavidez,,Southpaw,10,61.21,71.23,46.31,67.38,79.34,52.63,51.16,18.49,28,8,0,15,6.0,0.0,0.0,21,0,Unranked,1.0,"['flyweight', 'bantamweight']",flyweight,1984/07/31,69.74,61.84,52.9,100.0,79.88,75.91,39.1,57.48,39.8,52.64,70.44,75.48,63.19,69.59,61.26,91.14
Joshua Van,The Fearless,Orthodox,11,60.62,100.0,38.41,60.28,84.8,37.38,40.7,11.04,15,2,0,8,1.0,0.0,0.0,9,0,Unranked,1.0,['flyweight'],flyweight,2001/10/10,100.0,100.0,81.47,87.98,79.7,46.21,32.41,33.48,47.29,34.58,89.65,57.43,51.9,57.56,74.24,100.0
HyunSung Park,Peace of Mind,Orthodox,12,60.29,70.75,26.69,83.04,100.0,26.75,100.0,20.21,10,0,0,3,,,,3,1,Unranked,Unranked,"['flyweight', 'road to  1 flyweight tournament']",flyweight,1995/11/04,78.59,58.46,72.36,73.59,82.74,74.4,26.22,22.46,25.82,23.34,99.11,64.25,100.0,83.35,77.26,100.0
Wilson Reis,,Southpaw,13,60.19,54.1,79.36,72.59,63.61,41.27,43.19,44.49,23,10,0,7,6.0,0.0,0.0,13,0,Unranked,3.0,"['flyweight', 'bantamweight']",flyweight,1985/01/06,47.35,75.52,40.8,52.72,66.17,69.14,85.92,100.0,65.64,87.95,58.43,81.27,64.32,82.42,62.36,60.71
Brandon Royval,Raw Dawg,Southpaw,14,59.13,77.87,43.05,80.71,62.15,41.18,70.1,7.81,17,8,0,7,4.0,0.0,0.0,11,0,Unranked,1.0,['flyweight'],flyweight,1992/08/16,83.74,95.29,58.89,73.56,48.35,61.54,37.16,38.46,60.67,40.78,59.93,90.96,74.07,94.88,62.93,78.78
Jussier Formiga,,Orthodox,15,58.35,59.91,54.02,81.24,73.79,39.0,46.51,35.16,23,8,0,9,7.0,0.0,0.0,16,0,Unranked,1.0,['flyweight'],flyweight,1985/04/14,48.47,57.78,60.72,72.67,79.96,74.14,45.39,58.04,46.02,63.68,80.48,90.16,64.34,94.04,76.43,60.58
Dustin Ortiz,,Orthodox,16,58.27,69.17,66.95,58.61,72.7,28.72,58.14,46.64,19,8,0,8,6.0,0.0,0.0,14,0,Unranked,6.0,['flyweight'],flyweight,1988/12/25,60.81,81.89,64.96,69.03,69.35,78.43,62.6,83.55,55.79,81.42,62.71,61.97,53.86,57.78,60.82,80.32
Tagir Ulanbekov,,Southpaw,17,58.17,69.17,52.28,81.8,85.43,22.49,46.51,59.28,17,2,0,6,1.0,0.0,0.0,7,0,Unranked,10.0,['flyweight'],flyweight,1991/08/07,67.69,68.76,75.26,64.98,67.59,73.32,53.03,53.42,48.53,58.39,74.18,92.12,80.36,80.29,74.43,100.0
Alex Perez,,Orthodox,18,57.87,75.93,44.27,67.45,66.63,36.78,80.07,19.3,25,9,0,7,5.0,0.0,0.0,12,0,Unranked,4.0,"['flyweight', 'bantamweight']",flyweight,1992/03/21,76.42,69.93,71.1,86.27,70.02,66.67,41.81,41.39,45.56,45.15,74.65,61.86,71.11,86.26,50.56,55.18
Kyoji Horiguchi,,Orthodox,19,57.66,72.95,42.75,57.5,86.62,41.05,43.19,27.84,19,2,0,7,1.0,0.0,0.0,8,0,Unranked,3.0,"['flyweight', 'bantamweight']",flyweight,1990/10/12,71.74,61.27,70.89,87.9,84.17,80.35,41.64,43.8,44.82,44.01,68.24,58.07,52.47,58.2,61.26,100.0
Matheus Nicolau,,Orthodox,20,55.68,85.93,35.7,69.07,76.35,30.07,43.19,16.35,19,6,1,7,4.0,0.0,0.0,11,0,Unranked,5.0,"['flyweight', 'bantamweight']",flyweight,1993/01/06,67.52,83.11,78.79,100.0,83.48,70.24,31.02,33.38,36.58,34.53,84.09,62.98,67.35,70.21,75.74,67.6
Louis Smolka,Da Last Samurai,Orthodox,21,55.2,76.16,49.02,75.7,54.7,26.06,75.58,28.4,17,9,0,8,9.0,0.0,0.0,17,0,Unranked,9.0,"['bantamweight', 'flyweight']",flyweight,1991/07/16,76.68,91.24,68.51,68.21,62.4,59.42,45.64,55.61,47.03,61.37,49.36,100.0,85.16,81.5,33.88,47.61
Asu Almabayev,Zulfikar,Orthodox,22,54.8,68.86,55.87,73.72,78.07,16.48,40.7,59.51,21,3,0,4,1.0,0.0,0.0,5,0,Unranked,7.0,['flyweight'],flyweight,1994/01/25,58.1,66.88,84.33,66.14,64.74,82.69,62.6,55.09,52.55,57.2,71.56,74.8,76.76,68.95,74.38,93.3
John Moraga,,Orthodox,23,54.56,66.39,27.38,82.67,66.18,39.83,73.84,17.82,19,7,0,8,6.0,0.0,0.0,14,0,Unranked,4.0,['flyweight'],flyweight,1984/03/20,58.68,70.95,65.13,70.8,68.13,73.73,24.42,30.05,25.8,31.61,56.94,100.0,72.84,93.3,61.89,65.91
Kai Kara-France,Don't Blink,Orthodox,24,54.41,83.93,24.59,54.74,75.46,44.23,49.42,9.78,25,12,0,8,5.0,0.0,0.0,13,0,Unranked,2.0,"['flyweight', 'interim flyweight']",flyweight,1993/03/26,76.46,89.15,59.83,100.0,82.57,68.61,20.78,24.0,23.81,24.29,80.75,58.81,53.14,58.94,48.07,69.9
