name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Cain Velasquez,,Orthodox,1,86.45,95.76,85.38,57.9,81.76,100.0,88.37,41.74,14,3,0,12,3.0,0.0,0.0,15,4,3.0,0.0,['heavyweight'],heavyweight,1982/07/28,99.74,79.01,83.58,100.0,77.23,72.55,85.2,100.0,64.76,99.62,83.41,69.1,57.11,54.19,51.2,93.84
Stipe Miocic,,Orthodox,2,77.76,90.21,60.94,57.25,75.07,99.57,75.08,25.29,20,5,0,14,5.0,0.0,0.0,19,6,2.0,0.0,['heavyweight'],heavyweight,1982/08/19,80.51,100.0,74.03,96.02,74.44,62.41,49.65,79.92,48.42,74.16,76.29,55.24,52.3,54.88,66.58,87.14
Randy Couture,The Natural,Orthodox,3,77.45,74.2,90.93,85.11,71.75,66.53,78.2,50.51,19,11,0,16,8.0,0.0,0.0,24,10,Unranked,Unranked,"['heavyweight', 'light heavyweight', 'interim light heavyweight', '13 heavyweight tournament']",heavyweight,1963/06/22,71.08,76.93,81.38,67.42,75.32,74.38,72.97,100.0,68.9,100.0,69.42,100.0,60.31,100.0,67.81,67.88
Tom Aspinall,,Orthodox,4,76.76,92.08,51.2,71.8,91.2,73.53,100.0,5.05,15,3,0,8,1.0,0.0,0.0,9,2,8.0,0.0,"['interim heavyweight', 'heavyweight']",heavyweight,1993/04/11,100.0,69.29,92.05,93.1,85.89,71.17,53.72,39.79,64.55,40.31,92.37,58.04,78.23,80.96,69.97,100.0
Curtis Blaydes,Razor,Orthodox,5,73.54,77.6,100.0,57.25,74.1,54.02,70.1,41.29,19,5,0,14,5.0,0.0,1.0,20,0,Unranked,2.0,"['heavyweight', 'interim heavyweight']",heavyweight,1991/02/18,73.01,94.63,72.95,69.8,77.52,74.26,99.69,100.0,75.67,100.0,61.33,55.24,52.3,54.88,66.58,83.29
Fabricio Werdum,Vai Cavalo,Orthodox,6,72.32,80.61,45.96,81.6,72.63,84.74,76.74,19.39,24,9,1,12,6.0,0.0,0.0,18,2,4.0,0.0,"['heavyweight', 'interim heavyweight']",heavyweight,1977/07/30,75.18,88.32,76.34,82.6,75.72,70.51,41.89,59.7,39.98,51.99,61.66,74.97,73.82,100.0,71.33,82.63
Francis Ngannou,The Predator,Orthodox,7,71.94,80.37,31.88,63.52,86.96,90.71,94.19,7.95,17,3,0,12,2.0,0.0,0.0,14,2,4.0,0.0,['heavyweight'],heavyweight,1986/09/05,68.51,73.51,71.04,100.0,67.76,76.36,28.36,28.97,36.87,30.44,80.63,61.34,57.57,67.27,67.9,100.0
Jailton Almeida,Malhadinho,Orthodox,8,71.61,72.8,82.65,90.27,84.18,34.25,84.3,61.34,22,3,0,8,1.0,0.0,0.0,9,0,Unranked,5.0,"['heavyweight', 'catch weight', 'light heavyweight']",heavyweight,1991/06/26,71.65,65.58,90.09,63.88,66.23,82.98,98.57,83.79,73.34,91.59,74.33,100.0,88.02,100.0,68.54,100.0
Frank Mir,,Southpaw,9,69.5,81.26,51.28,100.0,62.23,60.93,85.47,14.84,18,11,0,16,11.0,0.0,0.0,27,2,Unranked,5.0,"['heavyweight', 'interim heavyweight']",heavyweight,1979/05/24,68.2,70.69,76.41,100.0,60.59,60.23,46.33,62.16,45.58,57.57,68.07,100.0,83.06,100.0,69.15,60.03
Juan Espino,El Guapo,Orthodox,10,65.14,73.37,70.83,76.83,77.34,24.73,100.0,36.12,11,2,0,2,1.0,0.0,0.0,3,1,Unranked,Unranked,"['heavyweight', 'ultimate fighter 28 heavyweight tournament']",heavyweight,1980/10/09,70.57,63.5,94.85,64.56,65.05,75.53,100.0,58.16,75.36,55.06,69.81,71.9,87.85,79.16,68.41,98.97
Alistair Overeem,The Demolition Man,Orthodox,11,65.11,92.45,54.94,61.53,65.22,49.4,82.56,23.24,47,19,0,12,8.0,0.0,0.0,20,0,Unranked,1.0,['heavyweight'],heavyweight,1980/05/17,79.85,78.77,89.52,100.0,71.63,66.63,46.45,54.72,53.59,66.79,72.89,64.08,62.41,54.05,65.57,49.73
Ciryl Gane,Bon Gamin,Orthodox,12,64.42,84.1,25.15,68.31,85.03,65.98,72.09,11.79,13,2,0,10,2.0,0.0,0.0,12,1,14.0,1.0,"['heavyweight', 'interim heavyweight']",heavyweight,1990/04/12,88.09,86.95,83.52,77.83,83.1,75.85,22.64,29.92,23.47,25.81,68.92,77.4,62.63,79.62,53.58,100.0
Andrei Arlovski,The Pitbull,Orthodox,13,64.13,91.7,34.75,61.69,68.78,68.78,63.6,8.31,34,24,0,23,18.0,0.0,1.0,42,3,Unranked,2.0,"['heavyweight', 'interim heavyweight']",heavyweight,1979/02/04,74.99,100.0,69.6,100.0,73.95,63.95,28.04,36.52,32.48,39.63,76.4,84.06,58.0,81.15,23.55,60.82
Tim Sylvia,The Maine-iac,Orthodox,14,63.27,79.07,46.58,49.4,76.08,62.94,68.99,14.26,31,10,0,9,4.0,0.0,0.0,13,5,Unranked,Unranked,"['heavyweight', 'interim heavyweight']",heavyweight,1976/03/05,81.68,74.44,70.04,90.12,78.8,69.5,36.29,37.0,62.35,47.86,78.0,62.21,55.52,56.75,23.12,78.01
Gabriel Gonzaga,Napao,Orthodox,15,62.88,79.83,54.86,85.72,63.42,33.11,94.19,19.48,17,11,0,12,10.0,0.0,0.0,22,0,Unranked,11.0,['heavyweight'],heavyweight,1979/05/18,66.3,77.91,73.32,100.0,71.82,63.79,51.55,69.26,46.48,57.96,70.46,100.0,69.57,100.0,68.6,47.6
Brock Lesnar,,Orthodox,16,62.28,79.36,57.2,61.99,64.85,45.0,82.56,35.85,5,3,0,4,3.0,0.0,1.0,8,3,Unranked,8.0,['heavyweight'],heavyweight,1977/07/12,79.91,63.99,96.92,76.62,67.21,69.03,62.04,56.28,55.64,60.53,68.44,66.64,60.66,67.56,53.1,54.72
Roy Nelson,Big Country,Orthodox,17,61.95,82.08,44.41,58.35,68.12,50.45,92.24,23.14,22,14,0,9,10.0,0.0,0.0,19,1,Unranked,5.0,"['heavyweight', 'ultimate fighter 10 heavyweight tournament']",heavyweight,1976/06/20,65.33,87.11,65.26,100.0,68.76,56.35,36.82,55.43,36.67,51.38,75.03,59.67,53.25,54.44,66.04,72.35
Josh Barnett,The Warmaster,Orthodox,18,61.43,72.62,40.69,71.1,71.8,49.71,90.03,29.51,35,8,0,7,3.0,0.0,0.0,10,1,Unranked,5.0,"['heavyweight', 'super heavyweight']",heavyweight,1977/11/10,73.79,72.74,76.41,67.54,74.86,71.72,37.53,36.09,44.12,46.0,69.16,77.33,74.0,79.54,53.53,71.47
Alexander Volkov,Drago,Orthodox,19,60.99,88.04,38.05,59.44,78.78,47.23,63.95,11.19,38,11,0,12,5.0,0.0,0.0,17,0,Unranked,2.0,['heavyweight'],heavyweight,1988/10/24,80.77,100.0,75.76,78.3,75.53,68.75,32.02,36.09,43.39,38.54,78.73,57.57,57.4,68.75,54.04,92.12
Serghei Spivac,Polar Bear,Orthodox,20,60.82,72.98,67.05,72.43,64.75,29.86,75.58,29.18,17,6,0,8,6.0,0.0,0.0,14,0,Unranked,7.0,['heavyweight'],heavyweight,1995/01/24,72.16,89.18,71.49,59.1,69.63,58.08,69.95,74.72,63.54,69.6,72.06,59.45,63.74,94.86,71.67,59.22
Junior Dos Santos,Cigano,Orthodox,21,60.8,100.0,23.99,57.6,70.7,54.26,76.74,2.99,21,9,0,15,8.0,0.0,0.0,23,2,Unranked,Unranked,['heavyweight'],heavyweight,1984/01/30,80.72,100.0,71.86,100.0,73.94,63.86,20.52,22.77,26.4,22.19,79.07,55.24,53.69,54.88,66.59,65.92
Marcin Tybura,Tybur,Orthodox,22,60.72,77.21,66.97,59.09,72.17,34.99,53.15,36.43,27,9,0,14,8.0,0.0,0.0,22,0,Unranked,7.0,['heavyweight'],heavyweight,1985/11/09,70.65,100.0,68.98,62.16,74.11,64.76,51.19,82.88,51.61,89.8,77.67,57.58,55.97,68.76,54.05,72.13
