name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Jon Jones,Bones,Orthodox,1,92.35,91.19,85.9,98.1,97.27,100.0,68.29,29.4,28,1,0,22,1.0,0.0,1.0,24,16,1.0,0.0,"['heavyweight', 'light heavyweight', 'interim light heavyweight']",light heavyweight,1987/07/19,87.75,85.56,92.2,99.25,84.32,80.29,65.91,100.0,69.47,100.0,86.93,100.0,66.28,100.0,76.28,100.0
Daniel Cormier,DC,Orthodox,2,80.93,82.72,67.64,84.48,82.01,91.77,74.63,35.67,22,3,0,11,3.0,0.0,1.0,15,6,1.0,0.0,"['heavyweight', 'light heavyweight']",light heavyweight,1979/03/20,83.54,90.82,81.76,74.76,71.04,72.7,57.67,70.09,60.72,84.73,78.22,90.63,66.12,100.0,76.87,100.0
Glover Teixeira,,Orthodox,3,80.88,87.19,79.45,100.0,71.87,71.28,86.92,32.59,33,9,0,16,7.0,0.0,0.0,23,1,8.0,0.0,['light heavyweight'],light heavyweight,1979/10/28,76.78,100.0,75.92,87.97,67.8,60.81,65.07,100.0,61.16,100.0,69.87,100.0,70.61,100.0,63.04,89.0
Tito Ortiz,The People's Champ,Orthodox,4,75.12,76.74,100.0,72.78,66.42,56.91,76.74,48.42,19,12,1,15,12.0,0.0,0.0,27,6,Unranked,Unranked,"['light heavyweight', 'middleweight', 'lightweight', '13 lightweight tournament']",light heavyweight,1975/01/23,67.95,92.18,73.3,73.53,72.78,68.47,78.77,100.0,72.59,100.0,63.12,83.01,66.11,81.16,60.84,61.31
Ryan Bader,Darth,Orthodox,5,74.88,83.26,88.61,66.29,79.91,62.78,51.16,41.5,23,5,0,15,5.0,0.0,0.0,20,1,Unranked,3.0,"['light heavyweight', 'ultimate fighter 8 light heavyweight tournament']",light heavyweight,1983/06/07,71.85,87.41,71.66,100.0,85.23,80.59,78.21,100.0,70.92,100.0,74.37,87.01,63.48,69.23,45.44,79.46
Rashad Evans,Suga,Orthodox,6,72.78,74.03,91.75,62.91,74.62,61.15,60.13,37.64,19,8,1,14,9.0,0.0,0.0,23,2,Unranked,2.0,"['light heavyweight', 'middleweight', 'ultimate fighter 2 heavyweight tournament']",light heavyweight,1979/09/25,64.86,83.0,63.38,84.87,77.27,73.21,76.74,100.0,72.12,100.0,71.91,58.53,60.68,58.8,73.62,76.09
Magomed Ankalaev,,Orthodox,7,71.98,90.64,46.34,60.04,86.54,79.67,65.12,35.96,21,1,1,12,3.0,0.0,0.0,15,1,5.0,0.0,['light heavyweight'],light heavyweight,1992/06/02,78.16,100.0,81.49,100.0,74.56,76.58,37.81,49.56,37.39,57.41,81.43,59.19,61.37,59.47,60.14,100.0
Lyoto Machida,The Dragon,Southpaw,8,71.81,97.18,61.45,68.0,74.38,63.67,65.12,17.17,24,8,0,16,8.0,0.0,0.0,24,2,Unranked,1.0,"['middleweight', 'light heavyweight']",light heavyweight,1978/05/30,73.55,80.13,88.31,100.0,73.93,78.29,51.94,55.63,67.5,71.28,71.51,96.74,62.44,68.11,44.7,73.79
Corey Anderson,Overtime,Orthodox,9,71.2,80.08,93.39,62.91,71.83,54.74,44.19,52.53,14,5,0,10,5.0,0.0,0.0,15,1,Unranked,4.0,"['light heavyweight', 'ultimate fighter 19 light heavyweight tournament']",light heavyweight,1989/09/22,82.3,98.73,72.07,67.22,71.53,73.13,91.74,100.0,76.4,100.0,74.31,58.53,60.68,58.8,73.62,68.35
Alex Pereira,Poatan,Orthodox,10,70.34,95.7,25.0,63.24,80.98,85.91,84.5,1.84,12,3,0,9,2.0,0.0,0.0,11,5,2.0,0.0,"['light heavyweight', 'middleweight']",light heavyweight,1987/07/07,94.33,84.42,98.23,100.0,70.54,68.69,21.66,22.42,29.03,22.46,78.04,58.53,62.0,58.8,73.62,100.0
Jan Blachowicz,,Orthodox,11,70.01,88.38,52.06,74.0,70.16,70.16,70.93,18.2,29,11,1,12,9.0,0.0,0.0,21,2,6.0,0.0,['light heavyweight'],light heavyweight,1983/02/24,74.29,100.0,75.88,93.02,65.89,68.75,44.03,54.37,52.08,58.88,70.44,93.1,63.1,79.9,59.89,75.57
Mauricio Rua,Shogun,Orthodox,12,67.33,98.01,71.27,61.77,56.36,46.21,80.98,25.18,27,14,1,11,13.0,0.0,0.0,24,1,Unranked,4.0,['light heavyweight'],light heavyweight,1981/11/25,82.38,79.18,84.2,100.0,62.92,65.29,62.48,80.62,66.46,89.21,57.75,80.01,64.38,57.99,44.7,39.47
Phil Davis,Mr. Wonderful,Orthodox,13,66.55,68.76,71.76,80.65,89.27,38.98,46.51,51.23,17,4,0,9,4.0,0.0,0.0,13,0,Unranked,3.0,['light heavyweight'],light heavyweight,1984/09/25,68.23,87.95,57.43,61.43,90.03,84.58,65.82,87.92,59.06,82.7,74.28,88.99,66.26,91.88,75.48,100.0
Chuck Liddell,The Iceman,Orthodox,14,66.29,90.64,46.76,60.04,71.76,62.73,73.84,8.27,21,8,0,16,7.0,0.0,0.0,23,5,Unranked,Unranked,"['light heavyweight', 'middleweight', 'interim light heavyweight']",light heavyweight,1969/12/17,74.94,81.53,63.42,100.0,69.39,70.44,38.56,40.36,58.32,45.45,74.51,59.19,61.37,59.47,60.14,72.71
Jiri Prochazka,,Orthodox,15,63.74,90.04,36.71,67.4,64.32,55.1,100.0,14.03,31,5,1,5,2.0,0.0,0.0,7,1,9.0,0.0,['light heavyweight'],light heavyweight,1992/10/14,98.45,87.62,87.1,86.99,58.53,50.35,32.55,32.57,43.96,35.09,72.6,59.95,63.51,70.74,75.41,75.8
Nikita Krylov,The Miner,Orthodox,16,63.18,88.62,60.44,78.0,59.29,34.06,80.34,32.92,30,10,0,11,8.0,0.0,0.0,19,0,Unranked,5.0,"['light heavyweight', 'catch weight', 'heavyweight']",light heavyweight,1992/03/07,85.3,92.26,85.23,91.68,54.36,68.82,56.53,65.89,54.55,73.01,60.5,90.99,78.37,100.0,19.09,53.48
Alexander Gustafsson,The Mauler,Orthodox,17,61.88,91.13,46.96,65.01,61.51,45.84,79.07,16.63,18,8,0,10,8.0,0.0,0.0,18,0,13.0,1.0,"['light heavyweight', 'heavyweight']",light heavyweight,1987/01/15,78.58,100.0,64.79,100.0,61.72,61.84,41.6,51.54,43.55,48.95,72.4,74.53,67.57,84.67,33.27,50.08
Ilir Latifi,The Sledgehammer,Orthodox,18,60.86,76.95,56.51,71.72,70.32,37.5,62.01,34.43,17,9,0,9,7.0,0.0,0.0,16,0,Unranked,3.0,"['heavyweight', 'light heavyweight']",light heavyweight,1982/07/28,65.33,81.55,74.39,86.53,68.25,67.67,49.9,62.25,47.65,62.27,80.72,61.25,65.57,83.03,77.04,64.64
Quinton Jackson,Rampage,Orthodox,18,60.86,88.95,47.15,60.21,74.22,44.67,49.42,18.09,37,12,0,8,5.0,0.0,0.0,13,2,Unranked,Unranked,"['catch weight', 'light heavyweight']",light heavyweight,1978/06/20,79.26,74.81,89.14,100.0,69.37,73.01,43.49,44.32,51.48,47.73,72.39,59.19,62.03,59.47,60.14,82.1
Carlos Ulberg,Black Jag,Orthodox,20,60.58,94.9,32.66,68.24,82.53,35.95,66.86,4.74,13,1,0,8,1.0,0.0,0.0,9,0,Unranked,3.0,['light heavyweight'],light heavyweight,1990/11/07,100.0,96.1,86.02,91.21,69.46,64.09,28.76,28.84,38.92,28.51,82.34,65.16,62.94,70.12,74.74,100.0
Stephan Bonnar,The American Psycho,Orthodox,21,60.26,74.78,60.63,79.74,66.57,29.8,65.12,48.76,15,9,0,8,7.0,0.0,0.0,15,0,Unranked,Unranked,"['light heavyweight', 'ultimate fighter 1 light heavyweight tournament']",light heavyweight,1977/04/04,67.07,99.34,61.66,71.05,65.02,67.97,51.66,62.57,55.76,78.29,65.94,100.0,66.22,78.11,72.48,67.34
