name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Khabib Nurmagomedov,The Eagle,Orthodox,1,88.8,74.48,97.62,80.8,99.23,94.55,67.8,63.46,29,0,0,13,,,,13,4,1.0,0.0,"['lightweight', 'catch weight']",lightweight,1988/09/20,77.26,73.8,75.76,71.1,84.04,82.3,100.0,100.0,76.03,100.0,88.16,85.5,67.11,96.98,73.61,100.0
Islam Makhachev,,Southpaw,2,87.45,77.05,78.48,91.32,94.28,100.0,78.2,39.85,27,1,0,16,1.0,0.0,0.0,17,5,1.0,0.0,"['lightweight', 'catch weight']",lightweight,1991/10/27,68.36,65.01,88.62,86.21,78.82,81.95,73.24,77.69,69.84,95.56,89.16,91.64,74.07,100.0,75.94,100.0
Rafael Dos Anjos,,Southpaw,3,79.83,86.61,92.9,78.05,71.9,75.01,60.13,31.64,32,17,0,21,15.0,0.0,0.0,36,2,4.0,0.0,"['lightweight', 'catch weight', 'welterweight', 'interim welterweight']",lightweight,1984/10/26,67.42,100.0,69.8,93.14,74.65,67.71,69.36,100.0,67.08,100.0,69.18,89.26,64.28,97.45,61.22,76.06
Charles Oliveira,Do Bronxs,Orthodox,4,79.42,87.58,68.73,96.53,69.08,78.11,90.9,20.22,35,11,0,23,11.0,0.0,1.0,35,2,3.0,0.0,"['lightweight', 'featherweight']",lightweight,1989/10/17,71.38,92.1,81.75,100.0,64.2,67.06,60.35,81.97,58.15,85.7,69.62,100.0,97.88,100.0,23.51,75.44
Dustin Poirier,The Diamond,Southpaw,5,74.7,100.0,57.24,74.23,73.59,71.68,77.8,18.18,30,9,0,22,9.0,0.0,0.0,31,1,5.0,1.0,"['lightweight', 'featherweight', 'interim lightweight']",lightweight,1989/01/19,85.14,100.0,76.08,100.0,69.67,62.17,46.58,65.12,49.81,71.73,75.52,100.0,73.54,87.69,22.46,87.0
Frankie Edgar,The Answer,Orthodox,6,74.27,77.92,84.62,70.0,74.04,71.23,50.38,27.71,23,11,1,18,12.0,0.0,0.0,30,3,9.0,1.0,"['bantamweight', 'featherweight', 'lightweight', 'interim featherweight']",lightweight,1981/10/16,67.81,100.0,62.2,69.85,78.2,69.77,66.76,100.0,60.01,100.0,73.55,81.85,56.75,70.94,70.46,74.65
Benson Henderson,Smooth,Southpaw,7,73.18,74.26,63.71,68.0,82.67,88.93,35.94,33.02,24,7,0,11,3.0,0.0,0.0,14,4,5.0,0.0,"['welterweight', 'lightweight']",lightweight,1983/11/16,66.15,84.88,71.13,74.87,78.58,78.37,59.1,67.28,58.32,76.22,74.6,74.0,65.73,72.59,59.68,99.13
Grant Dawson,KGD,Switch,8,69.37,71.73,87.87,78.02,82.22,35.86,61.31,79.32,23,2,1,11,2.0,0.0,0.0,13,0,Unranked,10.0,"['lightweight', 'catch weight', 'featherweight']",lightweight,1994/02/20,70.92,69.47,80.39,66.14,63.66,77.77,85.98,97.92,69.68,100.0,73.25,78.48,71.44,88.91,73.24,100.0
Jim Miller,A-10,Southpaw,9,68.95,79.38,74.39,95.62,72.44,35.3,72.35,20.86,38,19,0,27,18.0,0.0,1.0,46,0,Unranked,4.0,"['lightweight', 'welterweight', 'catch weight']",lightweight,1983/08/30,65.51,93.21,67.87,90.92,72.31,67.29,59.09,88.38,65.25,100.0,67.41,100.0,82.87,100.0,36.3,82.74
Michael Chiesa,Maverick,Southpaw,10,68.36,65.62,76.17,77.16,71.37,54.59,70.1,37.9,19,7,0,14,7.0,0.0,0.0,21,1,Unranked,5.0,"['welterweight', 'lightweight', 'ultimate fighter 15 lightweight tournament']",lightweight,1987/12/07,60.42,68.91,68.12,65.03,69.65,74.64,71.33,83.29,66.31,93.74,72.43,87.2,77.66,100.0,11.28,68.77
Beneil Dariush,,Southpaw,11,67.78,84.08,70.45,77.36,75.19,43.75,56.09,37.65,23,6,1,17,7.0,0.0,0.0,24,0,Unranked,3.0,['lightweight'],lightweight,1989/05/06,74.36,86.21,76.33,99.42,71.22,70.76,59.75,75.95,57.9,91.34,80.75,80.31,68.33,98.75,62.04,78.03
Nate Diaz,,Southpaw,12,67.43,82.52,43.67,100.0,71.22,51.69,82.56,15.66,22,13,0,16,11.0,0.0,0.0,27,1,Unranked,4.0,"['welterweight', 'lightweight', 'ultimate fighter 5 lightweight tournament']",lightweight,1985/04/16,75.01,100.0,67.61,76.49,69.49,65.68,37.71,51.84,39.49,51.47,64.74,100.0,75.65,100.0,74.31,84.96
Gregor Gillespie,The Gift,Orthodox,13,66.5,74.31,77.19,69.49,88.53,24.34,83.06,55.62,14,1,0,7,1.0,0.0,0.0,8,0,Unranked,8.0,['lightweight'],lightweight,1986/11/13,75.89,67.77,81.04,72.55,74.22,75.78,99.43,70.8,65.64,72.15,92.47,67.51,65.74,72.6,72.11,100.0
BJ Penn,The Prodigy,Orthodox,14,66.4,80.67,57.15,73.75,65.19,51.78,94.19,17.11,16,14,2,12,15.0,0.0,0.0,27,5,Unranked,Unranked,"['lightweight', 'featherweight', 'welterweight']",lightweight,1978/12/13,67.44,77.22,76.79,100.0,67.8,64.55,46.95,56.16,57.97,67.64,74.33,82.22,62.44,89.39,60.95,54.08
Gleison Tibau,,Southpaw,15,66.27,66.31,100.0,76.3,75.98,25.39,45.06,38.82,33,14,0,16,12.0,0.0,0.0,28,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1983/10/07,56.74,84.46,56.87,67.17,75.48,70.75,90.12,100.0,78.49,100.0,84.42,100.0,65.34,87.01,46.98,73.27
Donald Cerrone,Cowboy,Orthodox,16,66.19,97.69,43.42,83.31,69.51,46.34,78.77,9.21,36,17,0,23,14.0,0.0,1.0,38,0,Unranked,2.0,"['welterweight', 'lightweight']",lightweight,1983/03/29,77.0,100.0,71.4,100.0,68.74,59.64,36.27,52.71,38.31,45.81,77.67,90.32,74.6,100.0,61.95,72.0
Kevin Lee,The Motown Phenom,Orthodox,17,65.6,74.03,80.68,65.55,66.33,40.17,74.63,40.85,18,8,0,11,8.0,0.0,0.0,19,0,Unranked,4.0,"['welterweight', 'lightweight', 'interim lightweight']",lightweight,1992/09/04,69.59,100.0,64.77,60.23,64.15,63.21,73.82,92.63,65.73,100.0,76.08,72.78,70.87,94.38,24.17,61.89
Clay Guida,The Carpenter,Orthodox,18,65.38,77.43,98.65,67.67,64.49,26.41,50.38,43.58,38,22,0,18,19.0,0.0,0.0,37,0,Unranked,7.0,"['lightweight', 'featherweight']",lightweight,1981/12/08,60.86,100.0,57.63,87.45,71.41,65.44,81.55,100.0,68.97,100.0,70.56,100.0,66.67,100.0,0.0,50.55
Nik Lentz,The Carny,Orthodox,19,64.96,76.83,87.27,73.87,69.86,29.02,48.17,41.45,30,12,2,14,10.0,0.0,1.0,25,0,Unranked,7.0,"['catch weight', 'lightweight', 'featherweight']",lightweight,1984/08/13,66.71,100.0,69.38,65.9,66.72,67.99,77.93,100.0,62.99,100.0,64.63,99.26,69.08,69.78,57.37,80.1
Anthony Pettis,Showtime,Orthodox,20,64.75,75.6,37.04,74.09,67.19,72.92,74.63,11.77,24,10,0,11,9.0,0.0,0.0,20,2,5.0,0.0,"['welterweight', 'lightweight', 'featherweight', 'interim featherweight']",lightweight,1987/01/27,69.21,74.94,75.23,83.02,68.14,64.93,31.5,35.29,40.85,39.31,70.34,70.18,73.12,91.0,62.05,65.35
Sean Sherk,The Muscle Shark,Orthodox,21,64.64,63.12,86.25,65.0,73.66,44.3,40.7,63.95,36,4,1,8,4.0,0.0,0.0,12,2,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1973/08/05,60.02,72.59,62.01,57.86,70.63,71.2,86.14,100.0,71.37,100.0,70.25,66.4,58.63,64.06,70.92,82.56
Arman Tsarukyan,Ahalkalakets,Orthodox,22,63.62,75.62,62.56,59.07,87.82,40.73,54.27,47.91,22,3,0,9,2.0,0.0,0.0,11,0,13.0,1.0,['lightweight'],lightweight,1996/10/11,75.03,74.33,76.01,77.12,71.47,79.58,62.29,69.57,52.63,69.04,81.68,56.62,52.43,56.54,70.69,100.0
Mateusz Gamrot,Gamer,Southpaw,23,63.37,72.0,71.8,62.42,86.06,31.53,58.14,36.0,25,3,0,8,3.0,0.0,0.0,11,0,Unranked,5.0,['lightweight'],lightweight,1990/12/11,71.59,71.91,78.87,65.64,76.41,71.35,80.06,90.6,54.88,65.86,88.38,57.68,54.94,65.05,72.02,100.0
Kenny Florian,KenFlo,Southpaw,24,63.08,65.99,51.04,86.64,79.95,36.99,88.37,24.72,14,6,0,12,5.0,0.0,0.0,17,0,Unranked,Unranked,"['featherweight', 'lightweight', 'welterweight', 'ultimate fighter 1 middleweight tournament']",lightweight,1976/05/26,63.98,65.71,68.69,65.58,77.9,77.29,48.09,60.39,44.29,55.38,72.58,91.37,77.08,100.0,62.67,92.03
Gray Maynard,,Orthodox,25,62.81,71.91,74.87,67.06,72.75,43.23,29.59,35.63,13,7,1,11,9.0,0.0,0.0,20,0,Unranked,3.0,"['lightweight', 'featherweight']",lightweight,1979/05/09,59.58,73.46,60.86,93.74,77.28,69.36,67.54,86.95,63.77,87.11,78.91,87.25,59.91,53.81,67.28,65.45
Tony Ferguson,El Cucuy,Orthodox,26,62.55,78.86,21.88,79.17,70.23,67.79,81.4,3.13,26,11,0,15,9.0,0.0,0.0,24,2,9.0,1.0,"['welterweight', 'lightweight', 'interim lightweight', 'ultimate fighter 13 welterweight tournament']",lightweight,1984/02/12,80.72,90.23,70.39,74.09,70.83,60.71,19.02,22.03,22.84,20.74,74.97,100.0,69.93,100.0,36.22,74.41
Joe Lauzon,,Orthodox,27,61.97,70.43,59.22,95.12,64.87,28.91,83.72,20.12,28,16,0,15,12.0,0.0,0.0,27,0,Unranked,9.0,['lightweight'],lightweight,1984/05/22,67.22,70.04,67.56,76.9,70.05,54.17,55.96,66.95,55.28,66.29,69.58,100.0,84.29,100.0,59.79,65.68
Joe Stevenson,Daddy,Orthodox,28,61.21,66.78,60.1,80.11,65.82,38.82,73.84,33.03,33,16,0,8,8.0,0.0,0.0,16,1,Unranked,Unranked,"['featherweight', 'lightweight', 'ultimate fighter 2 welterweight tournament', 'welterweight']",lightweight,1982/06/15,61.12,68.02,72.38,65.6,72.13,70.31,60.29,66.56,56.71,68.82,60.33,100.0,84.46,77.56,45.78,60.51
Michel Prazeres,Tractor,Orthodox,29,60.9,70.49,69.61,71.16,78.95,28.84,44.19,41.83,26,4,0,10,4.0,0.0,0.0,14,0,Unranked,Unranked,"['welterweight', 'lightweight']",lightweight,1981/07/25,63.77,71.64,75.16,71.4,74.25,74.42,72.46,90.61,56.56,74.52,67.96,81.0,63.05,80.55,60.05,99.17
Renato Moicano,,Orthodox,30,60.85,76.9,45.68,74.79,69.63,42.4,76.74,18.36,20,7,1,12,7.0,0.0,0.0,19,0,Unranked,4.0,"['lightweight', 'featherweight', 'catch weight']",lightweight,1989/05/21,74.52,92.45,72.55,68.09,72.97,64.78,42.11,48.03,44.17,49.42,71.95,69.86,66.48,100.0,51.39,68.81
Mark Bocek,,Orthodox,31,60.61,64.81,75.74,79.21,71.25,23.13,58.14,65.22,12,5,0,8,5.0,0.0,0.0,13,0,Unranked,Unranked,['lightweight'],lightweight,1981/10/24,63.83,63.3,71.91,60.21,74.62,73.5,77.68,89.69,62.45,95.85,58.82,96.6,73.28,87.38,59.58,78.06
Thiago Tavares,,Orthodox,32,60.13,63.09,72.19,83.46,67.43,24.29,65.12,37.1,21,7,1,10,8.0,0.0,0.0,18,0,Unranked,15.0,"['featherweight', 'lightweight']",lightweight,1984/11/08,60.95,62.35,68.99,60.07,72.78,70.19,73.93,83.81,61.05,80.86,69.42,85.42,77.99,96.89,73.54,57.33
