name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Anderson Silva,The Spider,Southpaw,1,77.77,100.0,39.92,74.2,75.37,98.35,87.69,2.72,34,11,0,17,7.0,0.0,1.0,25,11,1.0,0.0,"['middleweight', 'light heavyweight']",middleweight,1975/04/14,78.26,76.32,94.45,100.0,73.61,72.16,33.36,33.88,50.88,38.15,71.41,81.88,62.39,82.88,69.64,84.3
Chris Weidman,The All-American,Orthodox,2,77.13,78.92,78.08,73.52,61.0,92.04,70.93,18.18,16,8,0,12,8.0,0.0,0.0,20,4,2.0,0.0,"['catch weight', 'middleweight', 'light heavyweight']",middleweight,1984/06/17,74.4,80.06,72.34,88.89,62.65,59.3,72.07,99.9,61.16,90.86,69.37,77.83,62.78,83.4,70.07,52.67
Dricus Du Plessis,Stillknocks,Switch,3,74.81,88.06,45.88,67.47,86.73,86.85,76.74,10.76,23,2,0,9,,,,9,3,4.0,0.0,['middleweight'],middleweight,1994/01/14,97.9,100.0,72.31,80.08,76.72,56.79,47.94,50.25,46.72,42.87,70.85,64.22,61.44,74.09,70.14,100.0
Anthony Hernandez,Fluffy,Orthodox,4,70.32,80.27,93.05,79.87,72.88,30.02,75.58,42.17,14,2,0,8,2.0,0.0,0.0,10,0,Unranked,7.0,['middleweight'],middleweight,1993/10/18,88.67,76.32,92.71,63.38,61.99,68.71,100.0,100.0,70.89,100.0,70.92,88.07,79.21,93.97,58.23,89.9
Michael Bisping,The Count,Orthodox,5,69.98,86.11,46.08,55.77,74.02,87.31,65.12,6.48,30,9,0,20,9.0,0.0,0.0,29,3,9.0,0.0,"['middleweight', 'light heavyweight', 'ultimate fighter 3 light heavyweight tournament']",middleweight,1979/02/28,82.67,97.91,62.72,100.0,78.55,67.62,38.37,55.14,43.34,49.35,69.26,74.28,53.23,52.73,42.85,80.66
Sean Strickland,,Orthodox,6,68.85,92.26,47.38,60.7,75.67,77.96,45.06,7.47,29,7,0,16,7.0,0.0,0.0,23,1,7.0,0.0,"['middleweight', 'light heavyweight', 'welterweight', 'catch weight']",middleweight,1991/02/27,91.36,100.0,62.82,85.53,76.97,55.49,38.27,46.15,52.12,50.33,77.87,54.74,54.08,64.28,69.7,92.35
Khamzat Chimaev,Borz,Orthodox,7,68.77,83.84,56.72,82.76,88.86,41.62,75.58,20.4,14,0,0,8,,,,8,0,14.0,3.0,"['catch weight', 'middleweight', 'welterweight']",middleweight,1994/05/01,96.33,78.17,87.01,73.85,60.91,67.55,64.96,51.55,50.91,53.4,91.0,70.57,93.25,95.27,71.95,100.0
Rich Franklin,Ace,Southpaw,8,68.66,89.93,53.8,63.77,73.18,61.66,80.07,10.8,29,7,0,14,6.0,0.0,0.0,20,3,Unranked,Unranked,"['middleweight', 'catch weight', 'light heavyweight']",middleweight,1974/10/05,83.2,90.58,70.99,100.0,74.82,71.48,47.0,49.66,59.57,60.61,68.28,62.89,60.16,63.35,68.68,78.14
Thales Leites,,Orthodox,9,68.21,74.22,77.22,88.59,69.18,41.56,67.8,25.1,28,9,0,13,8.0,0.0,0.0,21,0,Unranked,9.0,['middleweight'],middleweight,1981/09/06,63.36,87.45,65.04,81.03,68.22,66.66,63.48,100.0,55.13,100.0,55.71,100.0,65.55,99.96,68.56,86.13
Robert Whittaker,The Reaper,Orthodox,10,67.49,93.22,37.07,53.85,75.41,84.67,47.88,6.37,27,8,0,17,6.0,0.0,0.0,23,2,8.0,0.0,"['middleweight', 'welterweight', 'ultimate fighter australia vs. uk welterweight tournament', 'interim middleweight']",middleweight,1990/12/20,85.98,99.45,68.94,100.0,74.05,62.99,30.73,40.68,34.73,38.28,78.06,54.05,50.64,54.25,56.45,86.55
Yushin Okami,Thunder,Southpaw,11,67.28,72.32,83.74,58.26,73.33,53.14,48.17,30.45,34,12,0,14,7.0,0.0,0.0,21,0,Unranked,3.0,"['welterweight', 'middleweight', 'light heavyweight']",middleweight,1981/07/21,63.79,79.03,64.07,82.39,72.35,69.45,65.5,96.94,63.34,100.0,76.65,69.81,55.81,52.64,54.77,74.87
