name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Amanda Nunes,The Lioness,Orthodox,1,90.76,100.0,88.82,83.33,84.57,100.0,73.84,39.66,23,5,0,16,2.0,0.0,0.0,18,11,1.0,0.0,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1988/05/30,85.98,75.24,87.71,100.0,72.16,76.52,78.31,100.0,79.07,99.87,80.8,100.0,71.47,100.0,60.15,100.0
Ronda Rousey,Rowdy,Orthodox,2,80.25,81.66,76.49,100.0,63.8,78.36,100.0,12.04,12,2,0,6,2.0,0.0,0.0,8,6,4.0,0.0,"[""women's bantamweight""]",women's bantamweight,1987/02/01,82.27,60.93,89.91,93.52,51.31,62.34,100.0,60.87,87.4,60.76,61.34,88.54,100.0,100.0,75.8,80.22
Raquel Pennington,Rocky,Orthodox,3,72.66,81.13,61.23,85.93,77.46,75.99,39.36,46.8,16,10,0,13,6.0,0.0,0.0,19,1,5.0,0.0,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1988/09/05,73.32,100.0,76.1,72.75,78.05,70.25,48.01,76.93,49.35,76.59,69.07,99.42,68.92,100.0,75.07,92.47
Julianna Pena,The Venezuelan Vixen,Orthodox,4,68.93,69.8,64.7,67.83,64.63,77.81,65.12,43.42,13,6,0,8,4.0,0.0,0.0,12,3,3.0,0.0,"[""women's bantamweight"", ""ultimate fighter 18 women's bantamweight tournament""]",women's bantamweight,1989/08/19,64.73,82.65,69.33,62.49,69.21,73.89,62.39,70.78,71.56,75.22,45.5,73.85,76.49,90.9,30.08,69.92
Miesha Tate,Cupcake,Orthodox,5,66.8,73.19,71.04,79.62,59.72,57.66,60.13,57.16,20,10,0,7,7.0,0.0,0.0,14,1,15.0,0.0,"[""women's bantamweight"", ""women's flyweight""]",women's bantamweight,1986/08/18,59.34,91.55,68.6,73.27,57.76,66.8,61.9,96.38,55.98,83.03,60.41,100.0,77.82,83.96,42.87,53.91
Sara McMann,,Orthodox,6,65.91,70.42,100.0,65.14,53.85,40.28,60.13,77.24,13,6,0,7,6.0,0.0,0.0,13,0,Unranked,3.0,"[""women's bantamweight""]",women's bantamweight,1980/09/24,59.67,66.89,76.78,78.34,49.15,71.43,100.0,100.0,99.13,100.0,53.99,85.88,70.41,90.57,13.69,40.84
Macy Chiasson,,Orthodox,7,64.68,78.92,59.67,70.38,67.31,49.62,73.84,55.24,11,4,0,8,4.0,0.0,0.0,12,1,Unranked,4.0,"[""women's featherweight"", ""women's bantamweight"", 'catch weight', ""ultimate fighter 28 women's featherweight tournament""]",women's bantamweight,1991/07/27,70.54,82.44,74.64,88.06,50.82,71.87,55.63,69.15,51.94,63.59,70.42,60.99,68.15,90.15,62.23,76.14
Holly Holm,The Preacher's Daughter,Southpaw,8,62.59,74.23,59.32,55.8,67.19,63.53,40.7,40.22,15,7,0,8,7.0,0.0,1.0,16,1,6.0,0.0,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1981/10/17,66.27,79.36,64.03,87.26,64.45,68.97,46.65,69.56,49.06,71.72,72.16,63.37,58.9,57.47,43.46,63.19
Ketlen Vieira,Fenomeno,Orthodox,9,60.81,67.02,66.42,70.97,75.3,41.72,31.01,65.28,15,4,0,9,4.0,0.0,0.0,13,0,11.0,2.0,"[""women's featherweight"", ""women's bantamweight""]",women's bantamweight,1991/08/26,62.09,79.18,64.39,62.42,61.8,65.81,53.8,68.51,59.83,78.38,83.85,74.26,65.58,70.65,73.39,89.73
Kayla Harrison,,Southpaw,10,60.21,81.62,46.38,0.0,100.0,54.29,76.74,77.07,19,1,0,3,,,,3,1,3.0,0.0,"[""women's bantamweight""]",women's bantamweight,1990/07/02,82.56,70.16,100.0,67.42,86.55,90.23,49.57,40.56,43.01,40.96,91.77,43.86,,64.83,56.4,100.0
