name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Georges St-Pierre,Rush,Orthodox,1,90.64,90.71,100.0,81.73,89.47,100.0,51.16,34.52,26,2,0,20,2.0,0.0,0.0,22,13,2.0,0.0,"['welterweight', 'interim welterweight', 'middleweight']",welterweight,1981/05/19,83.63,70.99,89.04,100.0,88.8,79.32,92.41,100.0,84.76,100.0,78.2,100.0,67.62,81.96,56.16,100.0
Kamaru Usman,The Nigerian Nightmare,Switch,2,83.48,96.16,84.92,63.04,82.21,97.0,45.06,38.04,21,4,0,16,3.0,0.0,0.0,19,7,1.0,0.0,"['welterweight', 'middleweight', 'ultimate fighter 21 welterweight tournament']",welterweight,1987/05/11,82.05,100.0,81.33,100.0,69.07,70.33,69.45,100.0,61.17,100.0,81.16,60.6,54.85,66.13,70.57,100.0
Matt Hughes,,Switch,3,73.3,76.44,77.92,84.01,65.15,64.12,80.62,24.33,45,9,0,18,7.0,0.0,0.0,25,9,Unranked,Unranked,"['welterweight', 'catch weight', 'lightweight', 'interim welterweight']",welterweight,1973/10/13,67.63,66.5,88.45,83.18,62.71,74.93,72.96,88.55,65.75,100.0,52.44,100.0,73.02,100.0,34.45,70.52
Demian Maia,,Southpaw,4,72.13,69.66,78.83,100.0,75.68,49.3,68.29,28.09,28,11,0,22,11.0,0.0,0.0,33,0,Unranked,1.0,"['welterweight', 'middleweight']",welterweight,1977/11/06,60.77,79.01,71.46,67.4,76.47,72.78,64.07,100.0,50.13,100.0,66.31,100.0,70.28,100.0,72.19,87.16
Colby Covington,Chaos,Orthodox,5,71.96,78.25,87.1,65.36,70.2,61.03,59.3,38.21,17,5,0,12,5.0,0.0,0.0,17,1,Unranked,1.0,"['welterweight', 'interim welterweight']",welterweight,1988/02/22,70.13,100.0,58.37,60.1,65.87,65.29,78.44,100.0,61.66,100.0,69.16,66.23,57.83,77.56,59.82,80.48
Jon Fitch,,Orthodox,6,69.82,75.56,86.03,81.03,77.05,44.84,43.19,46.87,30,7,1,14,4.0,0.0,0.0,18,0,Unranked,9.0,"['welterweight', 'middleweight']",welterweight,1978/02/24,69.95,75.08,82.16,75.05,66.95,76.57,81.38,97.39,68.5,100.0,64.75,100.0,63.7,82.65,68.51,99.93
Leon Edwards,Rocky,Southpaw,7,69.64,83.64,46.41,65.33,77.37,86.04,43.19,18.39,22,5,0,14,5.0,0.0,0.0,19,3,3.0,0.0,['welterweight'],welterweight,1991/08/25,69.54,87.05,86.48,91.49,66.49,71.85,38.47,53.96,39.77,57.3,68.69,82.32,57.88,64.36,56.77,100.0
Belal Muhammad,Remember the Name,Orthodox,8,69.35,78.7,57.89,63.62,80.0,78.07,37.21,21.2,24,4,0,15,5.0,0.0,0.0,20,1,5.0,0.0,['welterweight'],welterweight,1988/07/09,77.5,100.0,65.59,56.79,69.68,62.9,49.57,73.74,44.78,65.49,82.34,64.17,54.49,65.7,70.11,100.0
Johny Hendricks,Bigg Rigg,Southpaw,9,69.28,83.16,71.0,63.0,66.59,68.2,50.09,23.12,18,8,0,13,8.0,0.0,0.0,21,1,8.0,0.0,"['middleweight', 'welterweight']",welterweight,1983/09/12,77.08,83.74,75.11,96.7,64.99,59.24,71.47,89.04,56.64,81.55,67.14,76.42,54.94,53.7,66.93,74.99
Robbie Lawler,Ruthless,Southpaw,10,65.9,94.45,37.73,50.96,64.23,80.43,67.44,7.07,30,16,0,15,10.0,0.0,0.0,25,3,4.0,0.0,"['welterweight', 'middleweight']",welterweight,1982/03/20,77.96,100.0,75.24,100.0,71.28,54.07,31.3,36.21,42.75,40.22,67.54,57.57,54.23,57.6,34.44,64.03
