name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Valentina Shevchenko,Bullet,Southpaw,1,89.5,87.03,100.0,74.86,86.57,100.0,64.64,36.46,25,4,1,14,4.0,0.0,0.0,18,10,1.0,0.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1988/03/07,67.63,89.55,90.99,99.94,81.39,82.51,84.76,100.0,84.46,100.0,77.86,97.11,60.96,80.2,61.17,100.0
Gillian Robertson,The Savage,Orthodox,2,72.34,73.16,86.91,100.0,73.48,36.55,82.69,49.94,16,8,0,13,6.0,0.0,0.0,19,0,Unranked,8.0,"[""women's strawweight"", ""women's flyweight""]",women's flyweight,1995/05/17,63.47,86.01,80.39,62.77,68.19,75.43,81.6,100.0,68.2,100.0,61.02,100.0,80.54,100.0,65.92,89.28
Jasmine Jasudavicius,,Orthodox,3,66.0,77.26,70.83,81.58,81.95,33.82,53.12,66.22,14,3,0,8,2.0,0.0,0.0,10,0,Unranked,5.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1989/03/01,70.98,81.04,75.83,81.19,61.17,71.54,69.13,74.2,60.84,83.33,79.97,85.82,70.01,94.39,76.09,100.0
Erin Blanchfield,Cold Blooded,Orthodox,4,65.26,72.59,50.48,82.75,89.24,46.65,57.14,45.08,13,2,0,7,1.0,0.0,0.0,8,0,4.0,2.0,"[""women's flyweight""]",women's flyweight,1999/05/04,84.04,66.04,75.22,65.05,77.94,68.28,47.96,54.31,41.86,55.2,84.43,85.81,74.74,94.38,76.08,100.0
Alexa Grasso,,Orthodox,5,62.15,77.44,29.87,74.49,71.64,72.73,43.75,12.94,16,5,1,8,6.0,0.0,0.0,14,1,1.0,0.0,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1993/08/09,70.28,97.87,64.48,77.13,71.47,68.06,26.22,29.95,30.38,31.5,66.94,84.75,69.14,81.73,62.34,80.09
Manon Fiorot,The Beast,Orthodox,6,61.05,79.95,31.32,60.22,94.03,53.48,46.42,18.98,12,2,0,7,1.0,0.0,0.0,8,0,4.0,1.0,"[""women's flyweight""]",women's flyweight,1990/02/17,81.34,95.91,64.91,77.64,90.57,73.01,28.63,33.11,27.88,29.45,87.26,55.31,54.11,57.68,73.77,100.0
Miranda Maverick,Fear The,Southpaw,7,59.95,70.1,59.85,73.76,80.01,29.35,53.12,40.88,17,6,0,8,4.0,0.0,0.0,12,0,Unranked,10.0,"[""women's flyweight""]",women's flyweight,1997/07/01,66.65,77.34,73.15,63.26,77.77,80.98,59.01,70.46,53.45,67.02,63.4,71.31,65.16,82.62,75.96,97.89
Maycee Barber,The Future,Switch,8,59.51,79.77,43.8,60.81,82.8,39.18,58.34,25.53,14,2,0,9,2.0,0.0,0.0,11,0,14.0,4.0,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1998/05/18,78.77,84.09,92.09,64.13,66.89,77.82,42.62,44.66,44.18,45.4,69.17,55.32,56.43,57.7,73.79,100.0
Joanne Wood,JoJo,Orthodox,9,59.18,100.0,53.9,58.04,57.7,38.52,41.66,20.98,17,8,0,9,8.0,0.0,0.0,17,0,Unranked,3.0,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1985/12/23,97.11,98.05,88.27,100.0,56.27,56.08,50.25,55.29,56.65,56.48,65.8,86.23,63.2,71.46,11.27,52.65
Lauren Murphy,Lucky,Orthodox,10,58.38,73.56,43.05,69.1,69.26,47.72,53.12,24.83,16,7,0,8,7.0,0.0,0.0,15,0,12.0,2.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1983/07/27,70.28,85.62,59.86,78.49,68.68,56.92,37.07,55.3,34.2,45.93,74.02,75.89,58.43,68.64,73.44,77.42
Luana Santos,,Orthodox,11,58.3,75.31,44.73,81.09,88.65,12.34,81.25,42.41,9,2,0,4,1.0,0.0,0.0,5,0,Unranked,Unranked,"[""women's bantamweight"", ""women's flyweight""]",women's flyweight,2000/04/16,73.62,67.97,93.27,66.38,81.79,73.55,45.55,38.36,46.5,42.32,84.02,84.04,84.78,81.04,74.51,100.0
Viviane Araujo,Vivi,Orthodox,12,58.04,81.07,55.21,68.98,72.37,30.93,35.71,31.04,13,7,0,7,6.0,0.0,0.0,13,0,Unranked,5.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1986/11/21,69.56,99.1,77.14,78.48,67.0,60.01,50.39,62.41,49.99,58.02,78.07,85.95,64.69,54.97,70.31,84.4
Montana De La Rosa,,Orthodox,13,57.92,70.05,54.69,81.26,63.03,27.84,75.0,41.37,13,9,1,6,6.0,0.0,0.0,12,0,Unranked,5.0,"[""women's flyweight""]",women's flyweight,1995/02/14,63.49,78.58,58.66,79.46,45.92,67.63,51.25,62.68,45.65,61.19,70.32,92.95,74.69,94.32,63.07,68.25
Natalia Silva,,Southpaw,14,57.6,86.91,16.49,60.22,100.0,42.04,46.42,6.78,19,5,1,7,,,,7,0,6.0,1.0,"[""women's flyweight""]",women's flyweight,1997/02/03,80.4,92.2,77.24,97.8,88.61,82.59,14.51,15.3,15.5,14.82,89.71,55.31,54.11,57.68,73.77,100.0
Karine Silva,Killer,Orthodox,15,57.01,69.53,47.55,88.06,73.26,16.89,81.25,28.51,18,5,0,4,1.0,0.0,0.0,5,0,Unranked,10.0,"[""women's flyweight""]",women's flyweight,1993/12/02,66.76,66.42,62.71,82.22,54.78,77.2,60.24,46.71,54.35,46.15,43.61,79.16,100.0,95.02,76.6,100.0
Tracy Cortez,,Orthodox,16,56.82,74.4,57.47,64.08,86.85,23.06,25.0,56.73,12,2,0,6,1.0,0.0,0.0,7,0,Unranked,8.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1993/12/10,72.31,76.16,84.62,64.51,72.78,78.63,57.88,57.06,55.35,62.67,73.93,67.83,59.74,56.5,72.26,100.0
