name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Zhang Weili,Magnum,Switch,1,84.24,83.07,80.91,73.96,89.19,99.86,55.0,44.62,26,3,0,10,2.0,0.0,0.0,12,6,1.0,0.0,"[""women's strawweight""]",women's strawweight,1989/08/13,80.83,74.73,83.53,93.19,72.32,85.7,77.54,86.26,69.37,95.6,82.45,80.29,64.34,79.33,71.88,100.0
Rose Namajunas,Thug,Orthodox,2,82.91,82.75,76.73,77.42,83.89,97.74,63.75,30.27,15,7,0,12,6.0,0.0,0.0,18,4,2.0,0.0,"[""women's flyweight"", ""women's strawweight""]",women's strawweight,1992/06/29,63.78,82.71,61.62,100.0,89.29,78.71,67.25,83.85,70.91,93.78,74.2,91.65,63.56,93.42,61.05,93.36
Tatiana Suarez,,Southpaw,3,82.06,72.1,98.83,82.6,92.1,63.62,86.08,82.16,11,1,0,7,1.0,0.0,0.0,8,1,7.0,1.0,"[""women's flyweight"", ""women's strawweight"", ""ultimate fighter 23 women's strawweight tournament""]",women's strawweight,1990/12/19,63.23,62.69,100.0,62.45,57.85,96.87,100.0,98.9,79.72,100.0,85.38,70.22,72.82,100.0,76.61,100.0
Jessica Andrade,Bate Estaca,Orthodox,4,81.26,100.0,91.59,65.2,66.57,79.98,72.2,26.46,26,14,0,17,12.0,0.0,0.0,29,1,4.0,0.0,"[""women's flyweight"", ""women's strawweight"", ""women's bantamweight""]",women's strawweight,1991/09/25,89.67,100.0,75.35,100.0,69.76,56.09,83.83,100.0,80.51,100.0,77.73,82.23,65.74,99.82,13.01,62.7
Carla Esparza,Cookie Monster,Orthodox,5,75.49,57.37,100.0,64.25,72.69,86.03,40.0,46.16,20,8,0,10,6.0,0.0,0.0,16,2,3.0,0.0,"[""women's strawweight""]",women's strawweight,1987/10/10,49.01,65.03,57.21,58.23,69.06,80.88,100.0,100.0,72.56,100.0,62.67,70.43,60.13,66.79,59.66,78.16
Joanna Jedrzejczyk,,Orthodox,6,71.96,79.14,45.25,59.31,84.73,100.0,40.0,12.76,16,5,0,10,5.0,0.0,0.0,15,6,5.0,0.0,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,1987/08/18,85.91,94.15,69.87,66.64,86.1,78.88,35.57,39.47,52.37,45.9,84.09,59.37,54.79,53.22,69.87,89.86
Virna Jandiroba,Carcara,Orthodox,7,69.98,59.66,77.58,86.03,89.53,47.74,62.5,67.26,22,3,0,8,3.0,0.0,0.0,11,0,8.0,1.0,"[""women's strawweight""]",women's strawweight,1988/05/30,46.93,67.39,55.62,68.7,77.76,87.35,76.15,86.19,60.65,92.56,81.27,86.42,91.64,93.06,73.0,100.0
Loopy Godinez,,Orthodox,8,68.7,73.77,90.42,77.38,86.56,31.01,43.75,56.74,13,5,0,8,5.0,0.0,0.0,13,0,Unranked,10.0,"[""women's strawweight"", ""women's flyweight"", 'catch weight']",women's strawweight,1993/09/06,67.49,90.43,70.2,66.96,85.99,74.35,92.92,100.0,74.02,98.4,86.56,88.78,71.41,78.35,70.98,99.33
Claudia Gadelha,Claudinha,Orthodox,9,67.28,63.67,87.71,72.2,79.45,46.99,35.71,57.36,18,5,0,7,5.0,0.0,0.0,12,0,12.0,1.0,"[""women's strawweight""]",women's strawweight,1988/12/07,61.9,59.15,62.6,71.03,79.18,68.25,92.04,100.0,71.47,98.05,73.32,90.58,65.35,64.12,68.75,97.04
Amanda Lemos,,Southpaw,10,67.1,86.67,55.92,67.3,69.13,58.25,74.16,21.97,15,4,1,9,4.0,0.0,0.0,13,0,9.0,3.0,"[""women's strawweight"", ""women's bantamweight""]",women's strawweight,1987/05/22,60.33,67.31,88.51,100.0,50.07,75.2,51.85,51.46,63.5,58.31,69.84,64.07,71.67,83.22,50.25,81.41
Mackenzie Dern,,Orthodox,11,65.66,66.83,60.04,98.59,74.41,44.73,62.5,46.07,15,5,0,10,5.0,0.0,0.0,15,0,12.0,4.0,"[""women's strawweight""]",women's strawweight,1993/03/24,61.39,64.42,60.4,81.11,69.34,75.35,51.7,78.46,46.4,83.1,52.69,100.0,79.18,100.0,72.7,100.0
Yan Xiaonan,,Orthodox,12,63.36,75.97,53.11,58.09,85.0,58.25,33.34,15.05,19,5,0,9,4.0,0.0,0.0,13,0,8.0,1.0,"[""women's strawweight""]",women's strawweight,1989/06/16,71.78,88.72,65.81,77.57,83.7,80.52,46.76,48.83,65.28,50.33,75.72,55.11,53.25,53.62,70.39,100.0
Cynthia Calvillo,,Orthodox,13,62.21,63.99,60.8,79.63,74.85,41.43,62.5,32.09,9,6,1,6,7.0,0.0,0.0,13,0,10.0,2.0,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,1987/07/13,67.66,78.99,53.38,55.93,87.65,68.48,58.43,64.5,55.78,62.5,80.14,77.73,72.41,94.36,74.02,63.13
