name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
AJ Cunningham,177.8,61.23,180.34,11,5,0,29.0,6.31,48.0,4.22,0.0,46.0,0.0,,0.0,0.0,26.0,52.0,127.0,0.0,0.0,Orthodox,The Savage,1994/09/07,"['bantamweight', 'lightweight']",bantamweight,[],"['Decision - Unanimous', 'KO/TKO']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Aaron Phillips,175.26,61.23,180.34,12,5,0,53.0,3.66,43.0,1.51,0.86,44.0,50.0,0.6,0.0,1.0,434.0,24.0,55.0,3.0,6.0,Southpaw,The Dragon,1989/08/05,"['bantamweight', 'featherweight']",bantamweight,[],"['Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous']",[],12.0,0,0,4,0,0.0,1.0,3.0,0.0,4.0,0,0,0,Unranked,Unranked
Adrian Yanez,170.18,61.22999999999999,177.8,17,6,0,41.0,5.75,54.0,6.23,0.0,81.0,0.0,0.0,6.0,0.0,118.0,145.0,381.0,0.0,1.0,Orthodox,,1993/11/29,['bantamweight'],bantamweight,"['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Split']","['Decision - Split', 'KO/TKO', 'KO/TKO']","[1.0, 1.0, 2.0, 3.0, 1.0, 3.0]",27.0,0,0,9,6,2.0,0.0,1.0,0.0,3.0,5,0,1,Unranked,12.0
Aiemann Zahabi,172.72,61.22999999999999,172.72,13,2,0,46.0,4.13,69.0,4.42,0.14,83.0,14.0,0.0,3.0,0.0,334.0,99.0,199.0,1.0,7.0,Orthodox,,1987/11/19,"['bantamweight', 'featherweight']",bantamweight,"['Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'KO/TKO']","[3.0, 3.0, 1.0, 3.0, 1.0, 3.0, 3.0]",27.0,0,0,9,7,1.0,0.0,1.0,0.0,2.0,2,0,5,Unranked,10.0
Alatengheili,165.1,61.22999999999999,167.64,17,10,2,32.0,5.12,57.0,2.82,1.74,75.0,43.0,0.0,1.0,0.0,1026.0,230.0,743.0,14.0,32.0,Orthodox,The Mongolian Knight,1991/12/14,['bantamweight'],bantamweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 1.0, 3.0, 3.0, 3.0]",27.0,0,0,9,5,0.0,0.0,4.0,0.0,4.0,1,0,4,Unranked,Unranked
Albert Morales,175.26,61.23,182.88,7,4,1,35.0,3.9599999999999995,56.0,3.81,0.91,70.0,35.0,0.20000000000000004,0.0,0.0,732.0,125.0,421.0,3.0,8.0,Orthodox,The Warrior,1991/05/25,['bantamweight'],bantamweight,['Decision - Split'],"['Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Majority']",[3.0],18.0,0,0,6,1,1.0,1.0,3.0,0.0,5.0,0,0,1,Unranked,Unranked
Alejandro Perez,167.64,61.230000000000004,170.18,23,9,1,35.0,3.18,61.0,3.45,0.54,70.0,22.0,0.3,1.0,3.0,530.0,186.0,502.0,5.0,22.0,Orthodox,Turbo,1989/09/02,"['featherweight', 'bantamweight', 'ultimate fighter latin america bantamweight tournament']",bantamweight,"['Submission', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO']","['Decision - Unanimous', 'KO/TKO', 'Decision - Majority', 'Submission', 'Decision - Unanimous']","[2.0, 3.0, 3.0, 2.0, 3.0, 3.0, 2.0, 1.0]",39.0,1,1,13,8,1.0,1.0,3.0,0.0,5.0,3,1,4,Unranked,12.0
Aleksandre Topuria,170.18,61.23,172.72,6,1,0,51.0,2.53,70.0,2.73,1.0,100.0,50.0,,0.0,0.0,302.0,41.0,79.0,1.0,2.0,Orthodox,El Conquistador,1996/01/28,['bantamweight'],bantamweight,['Decision - Unanimous'],[],[3.0],3.0,0,0,1,1,0.0,0.0,0.0,,,0,0,1,Unranked,Unranked
Alex Soto,172.72,61.23,,8,3,1,25.0,5.02,59.0,2.95,2.82,0.0,30.0,0.0,0.0,0.0,55.0,6.0,8.0,3.0,10.0,Southpaw,Extremo,1984/02/15,['bantamweight'],bantamweight,[],"['Decision - Unanimous', 'KO/TKO']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Ali AlQaisi,167.64,61.23,172.72,8,5,0,42.0,1.97,56.0,2.43,3.5,60.0,29.0,1.0,0.0,1.0,475.0,44.0,105.0,7.0,24.0,Orthodox,The Royal Fighter,1990/09/23,['bantamweight'],bantamweight,[],"['Decision - Unanimous', 'Decision - Split']",[],6.0,0,0,2,0,0.0,0.0,2.0,0.0,2.0,0,0,0,Unranked,Unranked
