name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Aalon Cruz,182.88,65.77,198.12,8,4,0,39.0,8.88,58.0,7.58,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,3.0,Switch,,1989/09/20,"['featherweight', 'lightweight']",featherweight,[],"['KO/TKO', 'KO/TKO']",[],6.0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Akira Corassani,172.72,65.77,172.72,12,6,0,45.0,4.91,50.0,3.25,0.6999999999999998,86.0,28.0,0.0,0.0,0.0,296.0,69.0,159.0,2.0,7.0,Orthodox,,1982/08/27,['featherweight'],featherweight,"['DQ', 'Decision - Unanimous', 'Decision - Split']","['KO/TKO', 'KO/TKO', 'KO/TKO']","[1.0, 3.0, 3.0]",18.0,0,0,6,3,3.0,0.0,0.0,0.0,3.0,0,0,2,Unranked,Unranked
Alan Omer,177.8,65.77,,20,5,0,,2.21,,3.49,1.69,66.0,42.0,0.0,0.0,0.0,388.0,0.0,0.0,3.0,7.0,Orthodox,,1988/09/14,['featherweight'],featherweight,[],"['Submission', 'Decision - Split']",[],6.0,0,0,2,0,0.0,1.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Alex Caceres,177.8,65.77,185.42,21,15,0,49.0,3.0899999999999994,62.0,4.21,0.5400000000000001,64.0,68.0,0.7,5.0,13.0,2653.0,484.0,1030.0,13.0,19.0,Southpaw,Bruce Leeroy,1988/06/20,"['featherweight', 'bantamweight']",featherweight,"['Decision - Unanimous', 'KO/TKO', 'Submission', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', ""TKO - Doctor's Stoppage"", 'Decision - Unanimous', 'Submission', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Submission']","['Decision - Unanimous', 'Submission', 'Submission', 'Decision - Unanimous', 'Overturned', 'Decision - Split', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Split', 'KO/TKO', 'Submission', 'Submission']","[3.0, 1.0, 2.0, 3.0, 1.0, 3.0, 3.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0]",92.0,0,0,30,16,1.0,5.0,7.0,1.0,13.0,2,4,10,Unranked,10.0
Alex Torres,177.8,65.77,,5,4,0,37.0,2.73,69.0,2.47,2.0,50.0,22.0,,0.0,0.0,195.0,37.0,99.0,2.0,9.0,Orthodox,Rolo,1988/05/29,['featherweight'],featherweight,[],['Decision - Split'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Alexander Volkanovski,167.64,65.77,180.34,27,4,0,56.0,3.36,58.0,6.18,1.67,70.0,34.0,0.2,6.0,0.0,3422.0,530.0,972.0,31.0,90.0,Orthodox,The Great,1988/09/29,"['featherweight', 'catch weight', 'lightweight']",featherweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO']","['KO/TKO', 'KO/TKO', 'Decision - Unanimous']","[5.0, 3.0, 5.0, 4.0, 5.0, 5.0, 2.0, 3.0, 3.0, 5.0, 3.0, 2.0, 3.0, 2.0]",71.0,10,7,17,14,2.0,0.0,1.0,0.0,3.0,5,0,9,1.0,0.0
Andre Fili,180.34,65.77,187.96,24,12,0,37.0,4.15,51.0,3.84,2.17,70.0,44.0,0.2,6.0,2.0,2442.0,546.0,1443.0,36.0,81.0,Orthodox,Touchy,1990/06/25,['featherweight'],featherweight,"['KO/TKO', 'Decision - Split', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO']","['Submission', 'KO/TKO', 'Could Not Continue', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Submission', 'Submission']","[1.0, 3.0, 3.0, 1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 3.0, 2.0]",72.0,0,0,24,12,3.0,3.0,5.0,0.0,12.0,4,0,8,Unranked,15.0
Andy Ogle,172.72,65.77,175.26,9,6,0,44.0,2.23,50.0,2.24,1.4400000000000002,58.0,26.0,0.0,1.0,0.0,2217.0,21.0,49.0,7.0,26.0,Orthodox,The Little Axe,1989/02/16,['featherweight'],featherweight,['Decision - Unanimous'],"['KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Submission']",[3.0],18.0,0,0,6,1,1.0,1.0,3.0,0.0,5.0,0,0,1,Unranked,Unranked
Anistavio Medeiros,167.64,65.77,,19,10,0,,5.0,,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,Gasparzinho,1988/05/01,['featherweight'],featherweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Antonio Carvalho,175.26,65.77,177.8,15,6,0,29.0,3.62,64.0,3.03,0.0,100.0,0.0,0.0,1.0,0.0,147.0,37.0,153.0,0.0,3.0,Orthodox,Pato,1979/05/30,['featherweight'],featherweight,"['Decision - Split', 'KO/TKO']","['KO/TKO', 'Decision - Unanimous']","[3.0, 1.0]",12.0,0,0,4,2,1.0,0.0,1.0,0.0,2.0,1,0,1,Unranked,Unranked
