name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Alessandro Costa,162.56,56.7,170.18,14,4,0,47.0,3.5,57.0,4.14,0.27,90.0,12.0,0.0,2.0,0.0,167.0,136.0,259.0,1.0,8.0,Orthodox,Nono,1996/01/28,['flyweight'],flyweight,"['KO/TKO', 'KO/TKO']","['Decision - Unanimous', 'KO/TKO']","[2.0, 2.0]",12.0,0,0,4,2,1.0,0.0,1.0,0.0,2.0,2,0,0,Unranked,Unranked
Alex Perez,167.64,56.70000000000001,165.1,25,9,0,46.0,3.2000000000000006,58.0,4.19,2.04,77.0,46.0,0.8,4.0,0.0,1520.0,142.0,323.0,12.0,26.0,Orthodox,,1992/03/21,"['flyweight', 'bantamweight']",flyweight,"['Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Submission', 'Decision - Unanimous', 'Submission']","['KO/TKO', 'Decision - Unanimous', 'Submission', 'Submission', 'KO/TKO']","[3.0, 1.0, 2.0, 1.0, 1.0, 3.0, 2.0]",42.0,1,0,12,7,2.0,2.0,1.0,0.0,5.0,3,2,2,Unranked,4.0
Alexandre Pantoja,165.1,56.7,170.18,30,5,0,50.0,3.8799999999999994,49.0,4.36,2.8,69.0,47.0,1.0,4.0,12.0,4164.0,250.0,524.0,40.0,84.0,Orthodox,The Cannibal,1990/04/16,['flyweight'],flyweight,"['Submission', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Submission', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'Submission', 'Decision - Split', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 2.0, 5.0, 5.0, 1.0, 2.0, 3.0, 1.0, 1.0, 3.0, 3.0, 5.0, 1.0, 3.0]",61.0,5,5,17,14,0.0,0.0,3.0,0.0,3.0,2,6,6,4.0,0.0
Ali Bagautinov,162.56,56.7,165.1,15,6,0,42.0,3.09,52.0,2.85,2.5100000000000002,65.0,36.0,0.3,2.0,0.0,1907.0,233.0,637.0,19.0,52.0,Orthodox,Puncher,1985/06/10,['flyweight'],flyweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 3.0, 3.0, 3.0]",23.0,1,0,7,4,0.0,0.0,3.0,0.0,3.0,1,0,3,Unranked,4.0
Allan Nascimento,172.72,56.7,175.26,21,6,0,60.0,1.96,50.0,2.64,1.42,30.0,24.0,0.9,0.0,1.0,1149.0,56.0,113.0,5.0,15.0,Orthodox,Puro Osso,1991/09/11,['flyweight'],flyweight,"['Submission', 'Decision - Unanimous', 'Decision - Unanimous']",['Decision - Split'],"[1.0, 3.0, 3.0]",12.0,0,0,4,3,0.0,0.0,1.0,0.0,1.0,0,1,2,Unranked,Unranked
Alptekin Ozkilic,165.1,56.7,165.1,9,5,0,32.0,5.72,59.0,3.81,4.21,75.0,58.0,0.0,0.0,0.0,750.0,115.0,346.0,14.0,24.0,Orthodox,The Turkish Delight,1986/03/27,['flyweight'],flyweight,['Decision - Split'],"['KO/TKO', 'Decision - Unanimous', 'KO/TKO']",[3.0],12.0,0,0,4,1,2.0,0.0,1.0,0.0,3.0,0,0,1,Unranked,Unranked
Amir Albazi,165.1,56.70000000000001,172.72,17,2,0,34.0,3.7099999999999995,61.0,2.72,1.39,50.0,32.0,0.5,2.0,1.0,1248.0,118.0,408.0,8.0,25.0,Orthodox,The Prince,1993/10/27,"['flyweight', 'bantamweight']",flyweight,"['KO/TKO', 'Submission', 'Decision - Unanimous', 'Decision - Split', 'Submission']",['Decision - Unanimous'],"[3.0, 1.0, 3.0, 5.0, 1.0]",22.0,0,0,6,5,0.0,0.0,1.0,0.0,1.0,1,2,2,Unranked,2.0
Andre Lima,170.18,56.7,170.18,11,0,0,60.0,2.49,57.0,4.06,1.36,75.0,75.0,,0.0,0.0,863.0,207.0,354.0,5.0,7.0,Orthodox,Mascote,1999/02/04,['flyweight'],flyweight,"['Submission', 'Decision - Unanimous', 'Decision - Split', 'DQ']",[],"[3.0, 3.0, 3.0, 2.0]",12.0,0,0,4,4,0.0,0.0,0.0,,,0,1,2,Unranked,Unranked
Ashkan Mokhtarian,167.64,56.7,170.18,13,3,0,43.0,3.66,43.0,1.95,0.54,33.0,16.0,,0.0,0.0,151.0,54.0,124.0,1.0,6.0,Southpaw,The Assassin,1985/09/15,['flyweight'],flyweight,[],"['KO/TKO', 'Decision - Unanimous']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Askar Askarov,167.64,56.7,170.18,14,1,1,54.0,2.8,57.0,3.05,2.6,66.0,24.0,0.4,0.0,2.0,1409.0,202.0,364.0,13.0,53.0,Orthodox,Bullet,1992/10/09,['flyweight'],flyweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Split']","[3.0, 3.0, 3.0]",15.0,0,0,5,3,0.0,0.0,2.0,0.0,2.0,0,0,3,Unranked,2.0
