name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Aaron Brink,190.5,92.99,,26,26,0,42.0,5.71,57.0,3.49,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,5.0,0.0,1.0,Orthodox,,1974/11/12,['heavyweight'],heavyweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Adam Milstead,190.5,92.99,193.04,8,4,0,46.0,4.79,43.0,3.85,0.0,64.0,0.0,0.0,0.0,0.0,20.0,116.0,249.0,0.0,0.0,Orthodox,The Prototype,1987/07/03,"['light heavyweight', 'heavyweight']",heavyweight,['KO/TKO'],"['KO/TKO', 'Overturned', 'Decision - Split']",[2.0],12.0,0,0,4,1,1.0,0.0,1.0,1.0,2.0,1,0,0,Unranked,Unranked
Adam Wieczorek,195.58,113.40000000000002,205.74,10,2,0,38.0,1.87,48.0,1.68,0.41,58.0,33.0,0.4,0.0,0.0,266.0,55.0,122.0,1.0,3.0,Orthodox,Siwy,1992/02/05,['heavyweight'],heavyweight,"['Submission', 'Decision - Unanimous']",['Decision - Unanimous'],"[2.0, 3.0]",9.0,0,0,3,2,0.0,0.0,1.0,0.0,1.0,0,1,1,Unranked,Unranked
Alan Baudot,190.5,110.22,200.66,8,3,0,58.0,4.82,46.0,5.36,0.0,62.0,0.0,0.0,1.0,0.0,165.0,107.0,194.0,0.0,0.0,Orthodox,The Black Samourai,1988/02/01,['heavyweight'],heavyweight,[],"['Overturned', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO']",[],12.0,0,0,4,0,2.0,0.0,1.0,1.0,3.0,0,0,0,Unranked,Unranked
Aleksei Oleinik,187.96,108.86,203.2,60,17,1,48.0,3.8,44.0,3.29,1.82,37.0,46.0,1.9,2.0,10.0,2110.0,137.0,266.0,14.0,30.0,Orthodox,The Boa Constrictor,1977/06/20,['heavyweight'],heavyweight,"['Submission', 'Decision - Split', 'Submission', 'Submission', 'Submission', 'Submission', 'Submission', 'Submission', 'KO/TKO']","['Decision - Unanimous', 'KO/TKO', 'KO/TKO', ""TKO - Doctor's Stoppage"", 'Decision - Majority', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO']","[1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",57.0,0,0,17,9,5.0,0.0,3.0,0.0,8.0,1,7,1,Unranked,8.0
Alex Hunter,175.26,102.51,,2,0,0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,Orthodox,,,['heavyweight'],heavyweight,"['Decision - Split', 'Submission']",[],"[1.0, 1.0]",2.0,0,0,2,2,0.0,0.0,0.0,,,0,1,1,Unranked,Unranked
Alexander Volkov,200.66,113.4,203.2,38,11,0,57.0,2.99,54.0,4.97,0.61,72.0,66.0,0.2,4.0,0.0,1190.0,629.0,1124.0,10.0,15.0,Orthodox,Drago,1988/10/24,['heavyweight'],heavyweight,"['KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'KO/TKO', 'KO/TKO', 'Decision - Split']","['Submission', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO']","[1.0, 1.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 4.0, 3.0]",65.0,0,0,17,12,1.0,1.0,3.0,0.0,5.0,6,1,5,Unranked,2.0
Alexandr Romanov,187.96,118.84,190.5,18,3,0,51.0,2.13,54.0,3.78,4.49,28.0,55.0,0.9,0.0,5.0,2542.0,41.0,90.0,26.0,47.0,Southpaw,King Kong,1990/12/11,['heavyweight'],heavyweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'KO/TKO', 'Decision - Split', 'Submission', 'Submission']","['Submission', 'KO/TKO', 'Decision - Majority']","[3.0, 3.0, 1.0, 2.0, 3.0, 1.0, 2.0]",30.0,0,0,10,7,1.0,1.0,1.0,0.0,3.0,1,3,3,Unranked,12.0
Alexandre Dantas,187.96,107.95,,0,3,0,25.0,1.87,60.0,0.21,0.0,0.0,0.0,,0.0,0.0,503.0,15.0,47.0,2.0,15.0,Orthodox,Cafe,1979/03/01,"['heavyweight', 'middleweight']",heavyweight,[],"['KO/TKO', 'KO/TKO']",[],6.0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Alistair Overeem,193.04,120.2,203.2,47,19,0,64.0,2.44,57.0,3.6700000000000004,1.42,73.0,55.0,0.8,10.0,2.0,2891.0,205.0,280.0,10.0,29.0,Orthodox,The Demolition Man,1980/05/17,['heavyweight'],heavyweight,"['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Majority', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[5.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 1.0]",76.0,1,0,20,12,8.0,0.0,0.0,0.0,8.0,9,0,3,Unranked,1.0
