name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Aaron Rosa,193.04,92.99,195.58,18,6,0,47.0,4.41,45.0,4.03,0.36000000000000004,85.0,33.0,0.4,0.0,0.0,60.0,73.0,191.0,0.0,1.0,Orthodox,,1983/05/28,"['light heavyweight', 'heavyweight']",light heavyweight,['Decision - Majority'],"['KO/TKO', 'KO/TKO']",[3.0],9.0,0,0,3,1,2.0,0.0,0.0,0.0,2.0,0,0,1,Unranked,Unranked
Abdul-Kerim Edilov,187.96,92.99,,17,4,0,61.0,0.13,92.0,10.22,3.98,0.0,100.0,,0.0,0.0,331.0,77.0,125.0,2.0,2.0,Orthodox,,1991/11/25,['light heavyweight'],light heavyweight,['KO/TKO'],[],[2.0],3.0,0,0,1,1,0.0,0.0,0.0,,,1,0,0,Unranked,Unranked
Aleksa Camur,185.42,92.99,187.96,6,3,0,57.0,4.26,54.0,4.73,0.46,50.0,22.0,0.0,0.0,0.0,387.0,85.0,166.0,2.0,9.0,Orthodox,,1995/09/25,['light heavyweight'],light heavyweight,['Decision - Unanimous'],"['Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous']",[3.0],12.0,0,0,4,1,0.0,0.0,3.0,0.0,3.0,0,0,1,Unranked,Unranked
Aleksandar Rakic,193.04,92.99,198.12,14,5,0,50.0,2.91,51.0,4.16,0.66,85.0,23.0,,4.0,0.0,2197.0,476.0,950.0,5.0,21.0,Orthodox,Rocket,1992/02/06,['light heavyweight'],light heavyweight,"['Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Split']","[3.0, 3.0, 1.0, 1.0, 3.0, 3.0]",32.0,0,0,10,6,2.0,0.0,2.0,0.0,4.0,2,0,4,Unranked,2.0
Alex Pereira,193.04,92.99,200.65999999999997,12,3,0,62.0,3.5,53.0,5.0,0.11,78.0,50.0,0.2,7.0,0.0,141.0,224.0,350.0,1.0,2.0,Orthodox,Poatan,1987/07/07,"['light heavyweight', 'middleweight']",light heavyweight,"['KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Split', 'KO/TKO', 'KO/TKO']","['Decision - Unanimous', 'KO/TKO']","[4.0, 2.0, 1.0, 3.0, 2.0, 2.0, 3.0, 5.0, 1.0]",47.0,7,5,11,9,1.0,0.0,1.0,0.0,2.0,7,0,2,2.0,0.0
Alexander Gustafsson,195.58,92.99,200.66,18,8,0,40.0,3.53,51.0,4.03,1.53,83.0,39.0,0.4,9.0,2.0,1839.0,415.0,983.0,19.0,48.0,Orthodox,The Mauler,1987/01/15,"['light heavyweight', 'heavyweight']",light heavyweight,"['KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Submission', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Submission']","['Submission', 'KO/TKO', 'Submission', 'KO/TKO', 'Submission', 'KO/TKO', 'Decision - Split', 'Decision - Unanimous']","[5.0, 3.0, 2.0, 3.0, 1.0, 1.0, 3.0, 1.0, 2.0, 2.0]",68.0,3,0,18,10,3.0,3.0,2.0,0.0,8.0,5,2,3,13.0,1.0
Alexandre Ferreira,170.18,92.99,,18,6,0,60.0,8.14,42.0,2.57,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,10.0,0.0,3.0,Orthodox,Cacareco,1979/04/25,['light heavyweight'],light heavyweight,[],['KO/TKO'],[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Alonzo Menifield,182.88,92.99,193.04,17,5,1,53.0,3.76,50.0,3.79,0.5,78.0,31.0,0.2,5.0,1.0,1988.0,119.0,250.0,5.0,14.0,Orthodox,Atomic,1987/10/18,['light heavyweight'],light heavyweight,"['Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Submission', 'KO/TKO', 'KO/TKO', 'Submission', 'KO/TKO']","['KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Majority', 'KO/TKO']","[3.0, 3.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0]",48.0,0,0,16,10,3.0,0.0,3.0,0.0,6.0,4,2,4,Unranked,11.0
Amar Suloev,175.26,83.01,,24,7,0,37.0,2.19,70.0,1.98,0.27,88.0,100.0,,0.0,0.0,3.0,35.0,84.0,1.0,1.0,Orthodox,,1976/07/01,"['middleweight', 'light heavyweight']",light heavyweight,[],"['KO/TKO', 'Decision - Unanimous']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Andre Gusmao,182.88,92.99,,6,3,0,43.0,3.28,60.0,2.79,0.0,60.0,0.0,,0.0,0.0,110.0,51.0,117.0,0.0,1.0,Orthodox,,1977/05/19,['light heavyweight'],light heavyweight,[],"['KO/TKO', 'Decision - Unanimous']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
