name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Aaron Riley,172.72,70.31,175.26,30,14,1,34.0,3.7799999999999994,61.0,3.45,1.18,60.0,34.0,0.1,0.0,0.0,1117.0,94.0,284.0,8.0,23.0,Southpaw,,1980/12/09,"['lightweight', 'welterweight']",lightweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Split', ""TKO - Doctor's Stoppage"", ""TKO - Doctor's Stoppage"", 'KO/TKO', ""TKO - Doctor's Stoppage"", 'Decision - Unanimous']","[3.0, 3.0, 3.0]",27.0,0,0,9,3,4.0,0.0,2.0,0.0,6.0,0,0,3,Unranked,Unranked
Aaron Wilkinson,177.8,70.31,,11,7,0,0.0,0.0,100.0,0.0,7.32,0.0,100.0,,0.0,0.0,64.0,0.0,1.0,1.0,1.0,Orthodox,The Daywalker,1987/01/31,['lightweight'],lightweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Abdul-Kareem Al-Selwady,172.72,70.31,175.26,15,4,0,,3.6,,4.14,2.32,20.0,30.0,0.0,0.0,0.0,164.0,0.0,0.0,3.0,7.0,Orthodox,Pride of Palestine,1995/04/10,['lightweight'],lightweight,[],['KO/TKO'],[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Abel Trujillo,172.72,70.31,177.8,15,8,0,41.0,2.31,59.0,2.65,2.18,40.0,45.0,0.4,3.0,1.0,1134.0,180.0,474.0,15.0,33.0,Orthodox,Killa,1983/09/18,['lightweight'],lightweight,"['Decision - Unanimous', 'Submission', 'KO/TKO', 'DQ', 'KO/TKO', 'KO/TKO']","['Submission', 'Decision - Unanimous', 'Submission', 'Could Not Continue', 'Decision - Unanimous']","[3.0, 1.0, 2.0, 1.0, 2.0, 2.0]",33.0,0,0,11,6,0.0,2.0,2.0,0.0,5.0,3,1,1,Unranked,Unranked
Abner Lloveras,180.34,70.31,,20,9,1,49.0,6.87,43.0,6.27,2.0,0.0,20.0,,0.0,0.0,171.0,94.0,189.0,2.0,10.0,Unknown,Skullman,1982/09/04,['lightweight'],lightweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Adriano Martins,177.8,70.31,182.87999999999997,28,9,0,38.0,2.14,65.0,1.8,0.83,81.0,80.0,0.4000000000000001,2.0,1.0,375.0,75.0,181.0,4.0,5.0,Southpaw,,1982/12/16,['lightweight'],lightweight,"['KO/TKO', 'KO/TKO', 'Submission', 'Decision - Split']","['KO/TKO', 'Decision - Split', 'KO/TKO']","[1.0, 1.0, 2.0, 3.0]",21.0,0,0,7,4,2.0,0.0,1.0,0.0,3.0,2,1,1,Unranked,Unranked
Akbarh Arreola,177.8,70.31,180.34,23,11,1,45.0,4.01,56.0,2.32,1.07,33.0,100.0,0.4,2.0,0.0,174.0,67.0,141.0,3.0,3.0,Southpaw,El Caballero,1983/01/14,['lightweight'],lightweight,['Submission'],"['Decision - Unanimous', ""TKO - Doctor's Stoppage"", 'Decision - Unanimous']",[1.0],12.0,0,0,4,1,1.0,0.0,2.0,0.0,3.0,0,1,0,Unranked,Unranked
Al Iaquinta,177.8,70.31,177.8,14,7,1,40.0,4.53,61.0,4.06,0.63,74.0,18.0,0.2,7.0,3.0,687.0,385.0,962.0,8.0,43.0,Orthodox,Raging,1987/04/30,"['lightweight', 'ultimate fighter 15 lightweight tournament']",lightweight,"['KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous']","['KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Submission']","[1.0, 3.0, 3.0, 3.0, 5.0, 3.0, 2.0, 2.0, 3.0]",51.0,2,0,15,9,1.0,2.0,3.0,0.0,6.0,4,0,5,Unranked,4.0
Alan Patrick,180.34,70.31,187.96,15,4,0,40.0,2.95,43.0,1.8199999999999998,3.01,43.0,33.0,0.3,1.0,2.0,2525.0,123.0,350.0,23.0,69.0,Southpaw,Nuguette,1983/07/19,['lightweight'],lightweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']","['Could Not Continue', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO']","[3.0, 3.0, 3.0, 1.0, 3.0]",30.0,0,0,10,5,3.0,0.0,1.0,0.0,5.0,1,0,4,Unranked,Unranked
Alberto Crane,165.1,70.31,,15,5,0,25.0,2.61,57.0,0.43,0.0,50.0,0.0,,1.0,0.0,270.0,8.0,32.0,0.0,11.0,Orthodox,,1976/07/14,['lightweight'],lightweight,[],"['KO/TKO', 'KO/TKO']",[],6.0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Alex Da Silva,172.72,70.31,185.42,21,4,0,46.0,2.52,56.0,2.14,1.97,76.0,43.0,,1.0,0.0,1662.0,114.0,246.0,7.0,16.0,Orthodox,Leko,1996/02/04,['lightweight'],lightweight,['Decision - Unanimous'],"['Decision - Majority', 'Decision - Unanimous', 'Submission']",[3.0],12.0,0,0,4,1,0.0,1.0,2.0,0.0,3.0,0,0,1,Unranked,Unranked
Alex Gorgees,187.96,70.31,187.96,6,1,0,,2.27,,0.67,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,Hitman,1995/08/11,['lightweight'],lightweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Alex Reyes,180.34,70.31,185.42,13,5,0,46.0,6.919999999999999,48.0,4.46,1.5,0.0,28.0,0.0,0.0,0.0,275.0,75.0,153.0,2.0,7.0,Orthodox,The Executioner,1986/10/02,"['lightweight', 'welterweight']",lightweight,[],"['KO/TKO', 'Decision - Unanimous', 'KO/TKO']",[],9.0,0,0,3,0,2.0,0.0,1.0,0.0,3.0,0,0,0,Unranked,Unranked
Alex Ricci,180.34,70.31,,10,5,0,41.0,2.53,64.0,2.48,0.0,64.0,0.0,,0.0,0.0,88.0,49.0,119.0,0.0,2.0,Orthodox,,1982/07/21,['lightweight'],lightweight,[],"['KO/TKO', 'Decision - Unanimous']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Alex White,182.88,70.31,180.34,13,6,0,42.0,3.07,60.0,3.7599999999999993,0.9200000000000002,71.0,28.0,0.5,4.0,4.0,527.0,269.0,647.0,7.0,25.0,Southpaw,The Spartan,1988/10/22,"['lightweight', 'featherweight']",lightweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO']","['Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO']","[3.0, 2.0, 3.0, 1.0]",30.0,0,0,10,4,1.0,1.0,4.0,0.0,6.0,2,0,2,Unranked,Unranked
Alexander Hernandez,175.25999999999996,70.31,182.88,16,8,0,40.0,4.62,57.0,4.38,1.24,71.0,36.0,0.1,4.0,0.0,1434.0,272.0,597.0,13.0,36.0,Orthodox,The Great Ape,1992/10/01,"['lightweight', 'featherweight']",lightweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO']","['Decision - Split', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[3.0, 1.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0]",45.0,0,0,15,8,3.0,1.0,3.0,0.0,7.0,3,0,5,Unranked,11.0
Alexander Munoz,175.26,70.31,182.88,7,2,0,42.0,4.73,55.0,3.7000000000000006,3.0,100.0,40.0,0.0,1.0,0.0,429.0,117.0,313.0,8.0,24.0,Switch,,1990/02/27,['lightweight'],lightweight,['Decision - Unanimous'],"['Decision - Split', 'Decision - Unanimous']",[3.0],9.0,0,0,3,1,0.0,0.0,2.0,0.0,2.0,0,0,1,Unranked,Unranked
Alfonso Alcarez,160.02,65.77,,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,127.0,34.0,62.0,1.0,2.0,Unknown,,1970/06/10,['lightweight'],lightweight,[],['Decision - Majority'],[],2.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Allan Zuniga,170.18,70.31,177.8,13,1,0,52.0,1.8,61.0,3.93,0.0,57.0,0.0,,0.0,0.0,0.0,59.0,112.0,0.0,0.0,Orthodox,Tigre,1992/04/04,['lightweight'],lightweight,[],['Decision - Majority'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Allen Berube,172.72,70.31,,4,3,0,80.0,0.92,33.0,0.92,6.87,0.0,100.0,,0.0,0.0,160.0,4.0,5.0,2.0,2.0,Orthodox,Monstah Lobstah,1974/08/25,['lightweight'],lightweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Alvaro Herrera Mendoza,182.88,70.31,187.96,9,6,0,38.0,3.4,55.0,1.89,0.0,33.0,0.0,1.1,1.0,1.0,11.0,23.0,58.0,0.0,0.0,Orthodox,Chango,1990/05/14,"['lightweight', 'welterweight']",lightweight,['KO/TKO'],"['Submission', 'KO/TKO', 'Submission']",[1.0],12.0,0,0,4,1,1.0,2.0,0.0,0.0,3.0,1,0,0,Unranked,Unranked
Alvin Robinson,175.26,70.31,172.72,15,9,0,50.0,1.29,51.0,1.57,1.24,25.0,50.0,1.2,0.0,1.0,671.0,13.0,35.0,3.0,6.0,Southpaw,,1982/07/16,['lightweight'],lightweight,['Decision - Unanimous'],"['Submission', 'Submission', 'KO/TKO']",[3.0],12.0,0,0,4,1,1.0,2.0,0.0,0.0,3.0,0,0,1,Unranked,Unranked
Andre Winner,180.34,70.31,185.42,21,11,2,33.0,4.57,51.0,2.52,0.0,74.0,0.0,0.0,2.0,0.0,466.0,74.0,244.0,0.0,3.0,Orthodox,,1981/11/09,"['lightweight', 'ultimate fighter 9 lightweight tournament']",lightweight,"['Decision - Unanimous', 'KO/TKO']","['Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous']","[3.0, 1.0]",18.0,1,0,6,2,0.0,1.0,3.0,0.0,4.0,1,0,1,Unranked,Unranked
Andrew Holbrook,180.34,70.31,177.8,12,3,0,49.0,3.0,54.0,2.2,0.85,10.0,18.0,,0.0,0.0,376.0,78.0,158.0,2.0,11.0,Southpaw,,1986/02/06,['lightweight'],lightweight,"['Decision - Split', 'Decision - Split']","['KO/TKO', 'KO/TKO', 'KO/TKO']","[3.0, 3.0]",15.0,0,0,5,2,3.0,0.0,0.0,0.0,3.0,0,0,2,Unranked,Unranked
Andy Wang,167.64,70.31,,7,8,1,36.0,10.29,62.0,3.43,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,11.0,0.0,1.0,Orthodox,,1977/05/28,['lightweight'],lightweight,[],['KO/TKO'],[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Anshul Jubli,182.88,70.31,175.26,7,2,0,46.0,5.72,50.0,6.419999999999999,0.81,63.0,18.0,,0.0,0.0,432.0,141.0,246.0,2.0,10.0,Switch,King of Lions,1995/01/13,"['lightweight', 'road to  1 lightweight tournament']",lightweight,['KO/TKO'],"['KO/TKO', 'KO/TKO']",[2.0],9.0,1,1,3,1,2.0,0.0,0.0,0.0,2.0,1,0,0,Unranked,Unranked
Anthony Christodoulou,175.26,70.31,,12,7,0,26.0,5.9,45.0,2.19,0.0,40.0,0.0,0.0,0.0,0.0,46.0,9.0,38.0,0.0,1.0,Orthodox,,1987/07/30,['lightweight'],lightweight,[],"['Submission', 'KO/TKO']",[],6.0,0,0,2,0,1.0,1.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Anthony Njokuani,185.42,70.31,190.5,16,12,0,46.0,2.41,65.0,3.94,0.5,53.0,45.0,0.2,1.0,1.0,121.0,217.0,518.0,3.0,8.0,Orthodox,The Assassin,1980/03/01,['lightweight'],lightweight,"['KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[2.0, 3.0, 3.0]",24.0,0,0,8,3,0.0,0.0,5.0,0.0,5.0,1,0,2,Unranked,Unranked
Anthony Pettis,177.8,70.31,182.88,24,10,0,47.0,3.44,54.0,3.05,0.61,60.0,50.0,1.1,4.0,3.0,1616.0,196.0,455.0,8.0,20.0,Orthodox,Showtime,1987/01/27,"['welterweight', 'lightweight', 'featherweight', 'interim featherweight']",lightweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Submission', 'KO/TKO', 'KO/TKO', 'Decision - Split', 'KO/TKO', 'Submission', 'Submission']","['Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous']","[3.0, 3.0, 3.0, 3.0, 2.0, 1.0, 1.0, 3.0, 2.0, 2.0, 1.0]",72.0,4,2,20,11,3.0,1.0,5.0,0.0,9.0,3,4,4,5.0,0.0
Anthony Rocco Martin,182.88,77.11,185.42,17,6,0,37.0,2.5899999999999994,58.0,2.68,0.7099999999999999,68.0,27.0,1.0,2.0,6.0,2911.0,210.0,599.0,9.0,33.0,Orthodox,,1989/12/11,"['welterweight', 'lightweight']",lightweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Submission', 'KO/TKO', 'Submission']","['Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Majority', 'Submission', 'Submission']","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0]",45.0,0,0,15,9,0.0,2.0,4.0,0.0,6.0,1,3,5,Unranked,Unranked
Anton Kuivanen,172.72,70.31,182.88,24,10,0,38.0,1.63,67.0,2.27,1.2,71.0,100.0,0.4,0.0,0.0,499.0,47.0,108.0,3.0,3.0,Orthodox,,1984/05/01,['lightweight'],lightweight,['Decision - Split'],"['Decision - Unanimous', 'Submission']",[3.0],9.0,0,0,3,1,0.0,1.0,1.0,0.0,2.0,0,0,1,Unranked,Unranked
Antonio McKee,172.72,70.31,,29,6,2,45.0,0.74,74.0,1.37,1.47,57.0,33.0,,0.0,0.0,168.0,25.0,55.0,1.0,4.0,Southpaw,Mandingo,1970/03/12,['lightweight'],lightweight,[],['Decision - Split'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Arman Tsarukyan,170.18,70.31,182.88,22,3,0,48.0,1.84,53.0,3.7899999999999996,3.25,75.0,37.0,0.0,3.0,0.0,3380.0,208.0,443.0,30.0,81.0,Orthodox,Ahalkalakets,1996/10/11,['lightweight'],lightweight,"['KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Unanimous']","[3.0, 3.0, 2.0, 1.0, 3.0, 3.0, 1.0, 3.0, 3.0]",37.0,0,0,11,9,0.0,0.0,2.0,0.0,2.0,4,0,5,13.0,1.0
Austin Hubbard,177.8,70.31,180.34,17,9,0,43.0,3.82,56.0,3.87,1.59,68.0,31.0,0.1,0.0,0.0,1578.0,262.0,627.0,15.0,47.0,Orthodox,Thud,1991/12/22,['lightweight'],lightweight,"['Decision - Unanimous', 'Decision - Unanimous', ""TKO - Doctor's Stoppage"", 'Decision - Unanimous']","['Decision - Split', 'Submission', 'Decision - Split', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 3.0, 2.0, 3.0]",33.0,0,0,11,4,0.0,2.0,5.0,0.0,7.0,1,0,3,Unranked,Unranked
BJ Penn,175.26,70.31,177.8,16,14,2,48.0,3.2,56.0,2.76,1.1899999999999997,74.0,55.0,0.5,7.0,7.0,3491.0,179.0,495.0,26.0,45.0,Orthodox,The Prodigy,1978/12/13,"['lightweight', 'featherweight', 'welterweight']",lightweight,"[""TKO - Doctor's Stoppage"", 'Submission', 'KO/TKO', 'Submission', 'Submission', 'Submission', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","['Decision - Unanimous', 'Submission', 'Decision - Majority', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Majority', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Split', 'Decision - Majority']","[5.0, 4.0, 3.0, 2.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0]",107.0,11,5,27,12,4.0,1.0,10.0,0.0,15.0,7,4,1,Unranked,Unranked
Ben Wall,177.8,70.31,,8,7,1,29.0,8.53,29.0,1.47,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,1.0,Orthodox,Manimal,1989/03/25,"['welterweight', 'lightweight']",lightweight,[],"['KO/TKO', 'KO/TKO']",[],6.0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Beneil Dariush,177.80000000000004,70.31,182.88,23,6,1,49.0,2.61,57.0,3.78,2.12,82.0,38.0,0.8,7.0,6.0,5312.0,340.0,753.0,31.0,81.0,Southpaw,,1989/05/06,['lightweight'],lightweight,"['Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'Decision - Unanimous', 'Decision - Split', 'Submission', 'Decision - Split', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Submission']","['KO/TKO', 'KO/TKO', 'Decision - Majority', 'Submission', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[3.0, 3.0, 1.0, 2.0, 2.0, 3.0, 3.0, 1.0, 2.0, 3.0, 3.0, 1.0, 3.0, 3.0, 2.0, 3.0, 1.0]",74.0,0,0,24,17,5.0,1.0,1.0,0.0,7.0,3,5,9,Unranked,3.0
Benoit Saint Denis,180.34,70.31,185.42,14,3,0,55.0,4.61,41.0,5.39,4.19,70.0,39.0,1.5,4.0,2.0,1802.0,169.0,336.0,19.0,48.0,Southpaw,God of War,1995/12/18,"['lightweight', 'welterweight']",lightweight,"['Submission', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Submission', 'Submission']","[""TKO - Doctor's Stoppage"", 'KO/TKO', 'Decision - Unanimous']","[2.0, 2.0, 2.0, 1.0, 1.0, 2.0]",31.0,0,0,9,6,2.0,0.0,1.0,0.0,3.0,3,3,0,Unranked,11.0
Benson Henderson,175.26,77.11,177.8,24,7,0,45.0,1.7900000000000003,63.0,2.93,2.4,63.0,45.0,0.8,3.0,5.0,3903.0,334.0,766.0,32.0,65.0,Southpaw,Smooth,1983/11/16,"['welterweight', 'lightweight']",lightweight,"['Decision - Split', 'Submission', 'Submission', 'Decision - Split', 'Decision - Split', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","['KO/TKO', 'Submission', 'Decision - Unanimous']","[5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 3.0]",62.0,5,4,14,11,1.0,1.0,1.0,0.0,3.0,0,2,9,5.0,0.0
Bernardo Magalhaes,175.26,70.31,,13,4,0,27.0,3.37,68.0,1.8,0.0,0.0,0.0,,0.0,0.0,10.0,54.0,200.0,0.0,18.0,Orthodox,Trekko,1981/04/08,['lightweight'],lightweight,[],"['Decision - Split', 'Decision - Unanimous']",[],6.0,0,0,2,0,0.0,0.0,2.0,0.0,2.0,0,0,0,Unranked,Unranked
Bob Cook,175.26,77.11,,5,0,0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.0,1.0,5.0,Orthodox,Crazy,,['lightweight'],lightweight,['Submission'],[],[2.0],3.0,0,0,1,1,0.0,0.0,0.0,,,0,1,0,Unranked,Unranked
Bolaji Oki,177.80000000000004,70.31,185.42,10,2,0,,4.76,,7.05,1.24,85.0,75.0,0.0,0.0,0.0,180.0,0.0,0.0,3.0,4.0,Orthodox,The Zulu Warrior,1995/11/15,['lightweight'],lightweight,"['Decision - Unanimous', 'Decision - Split']",['Submission'],"[3.0, 3.0]",9.0,0,0,3,2,0.0,1.0,0.0,0.0,1.0,0,0,2,Unranked,Unranked
Brad Gumm,180.34,77.11,,10,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,12.0,35.0,0.0,4.0,Orthodox,,,"['welterweight', 'lightweight']",lightweight,[],"['Decision - Unanimous', 'Decision - Unanimous']",[],4.0,0,0,2,0,0.0,0.0,2.0,0.0,2.0,0,0,0,Unranked,Unranked
Brad Riddell,170.18,70.31,180.34,10,4,0,53.0,3.53,53.0,4.71,1.77,63.0,36.0,0.0,1.0,0.0,563.0,89.0,137.0,9.0,25.0,Orthodox,Quake,1991/09/30,['lightweight'],lightweight,"['Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous']","['Submission', 'Submission', 'KO/TKO']","[3.0, 3.0, 3.0, 3.0]",21.0,0,0,7,4,1.0,2.0,0.0,0.0,3.0,0,0,4,Unranked,12.0
Brandon Jenkins,182.88,70.31,180.34,15,9,0,41.0,8.05,33.0,2.93,0.0,27.0,0.0,,0.0,0.0,14.0,59.0,143.0,0.0,0.0,Switch,The Human Highlight Reel,1991/09/30,['lightweight'],lightweight,[],"['KO/TKO', 'KO/TKO']",[],6.0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Brandon Melendez,180.34,70.31,,25,25,0,26.0,0.56,63.0,0.84,0.0,25.0,0.0,,0.0,0.0,82.0,6.0,23.0,0.0,0.0,Southpaw,The Murderer,1983/03/24,['lightweight'],lightweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
