name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
AJ Dobson,185.42,83.91,193.04,7,3,0,46.0,5.31,46.0,4.29,1.67,65.0,75.0,0.3,0.0,0.0,424.0,73.0,207.0,5.0,6.0,Orthodox,,1992/01/18,['middleweight'],middleweight,['Decision - Unanimous'],"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']",[3.0],12.0,0,0,4,1,1.0,0.0,2.0,0.0,3.0,0,0,1,Unranked,Unranked
Aaron Simpson,182.88,77.11,185.42,12,5,0,52.0,2.53,56.0,3.6,3.78,83.0,34.0,0.5,6.0,1.0,3208.0,145.0,219.0,32.0,92.0,Orthodox,A-Train,1974/07/20,"['welterweight', 'middleweight']",middleweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']","['KO/TKO', 'Decision - Split', 'Decision - Unanimous', 'KO/TKO']","[3.0, 3.0, 3.0, 2.0, 1.0, 3.0, 3.0]",33.0,0,0,11,7,2.0,0.0,2.0,0.0,4.0,2,0,5,Unranked,Unranked
Abdul Razak Alhassan,177.8,83.91,185.42,12,7,0,49.0,4.01,54.0,3.64,0.84,51.0,33.0,0.20000000000000004,9.0,0.0,772.0,144.0,300.0,5.0,15.0,Orthodox,,1985/08/11,"['middleweight', 'welterweight']",middleweight,"['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","['Could Not Continue', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Submission', 'Decision - Split']","[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]",42.0,0,0,14,6,2.0,1.0,4.0,0.0,8.0,6,0,0,Unranked,Unranked
Abu Azaitar,175.26,83.91,193.04,14,4,1,43.0,4.32,51.0,4.38,1.0,42.0,37.0,0.0,0.0,0.0,353.0,156.0,347.0,3.0,8.0,Orthodox,Captain Morocco,1986/03/10,['middleweight'],middleweight,['Decision - Unanimous'],"['Decision - Unanimous', 'KO/TKO']",[3.0],9.0,0,0,3,1,1.0,0.0,1.0,0.0,2.0,0,0,1,Unranked,Unranked
Abus Magomedov,187.96,83.91,198.12,28,6,1,48.0,3.68,56.0,3.2099999999999995,2.65,100.0,57.0,0.20000000000000004,1.0,1.0,1018.0,163.0,342.0,12.0,21.0,Orthodox,,1990/09/02,['middleweight'],middleweight,"['Submission', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']","['Decision - Unanimous', 'KO/TKO']","[3.0, 3.0, 1.0, 3.0]",20.0,0,0,6,4,1.0,0.0,1.0,0.0,2.0,1,1,2,Unranked,14.0
Adam Cella,187.96,77.11,,6,8,0,42.0,2.61,51.0,1.91,3.92,50.0,75.0,,0.0,0.0,0.0,2.0,12.0,0.0,0.0,Unknown,El Naturel,1985/06/26,['middleweight'],middleweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Adam Yandiev,175.26,83.91,187.96,9,1,0,,6.14,,0.18,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,Boroda,1988/08/07,['middleweight'],middleweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Adriano Santos,,,,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.0,36.0,2.0,3.0,Unknown,,,['middleweight'],middleweight,[],['KO/TKO'],[],1.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Alan Belcher,187.96,83.91,190.5,18,8,0,41.0,3.1,59.0,2.7,0.44,55.0,26.0,0.9,3.0,4.0,1577.0,177.0,498.0,4.0,15.0,Orthodox,The Talent,1984/04/24,"['middleweight', 'catch weight', 'light heavyweight']",middleweight,"['KO/TKO', 'KO/TKO', 'Submission', 'Decision - Split', ""TKO - Doctor's Stoppage"", 'Submission', 'KO/TKO', 'KO/TKO', 'Submission']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Submission', 'Decision - Unanimous']","[1.0, 1.0, 2.0, 3.0, 2.0, 1.0, 3.0, 1.0, 2.0]",45.0,0,0,15,9,1.0,1.0,4.0,0.0,6.0,5,3,1,Unranked,9.0
Albert Duraev,180.34,83.91,190.5,16,5,0,40.0,3.01,59.0,2.99,1.97,66.0,29.0,0.6,0.0,1.0,757.0,55.0,173.0,6.0,23.0,Orthodox,,1989/01/05,['middleweight'],middleweight,"['Decision - Unanimous', 'Decision - Split']","['Submission', ""TKO - Doctor's Stoppage""]","[3.0, 3.0]",12.0,0,0,4,2,1.0,1.0,0.0,0.0,2.0,0,0,2,Unranked,Unranked
