name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
AJ Fletcher,177.8,77.11,170.18,10,3,0,49.0,4.61,46.0,3.36,1.54,33.0,35.0,0.9,0.0,1.0,612.0,59.0,115.0,4.0,12.0,Switch,The Ghost,1997/02/18,['welterweight'],welterweight,['Submission'],"['Decision - Unanimous', 'Submission', 'Decision - Unanimous']",[2.0],12.0,0,0,4,1,0.0,1.0,2.0,0.0,3.0,0,1,0,Unranked,Unranked
Abubakar Nurmagomedov,180.34,77.11,182.88,17,4,1,53.0,2.61,65.0,2.78,1.25,88.0,22.0,0.0,0.0,0.0,1219.0,60.0,120.0,4.0,18.0,Orthodox,,1989/11/13,['welterweight'],welterweight,"['Decision - Unanimous', 'Decision - Unanimous']","['Decision - Split', 'Submission']","[3.0, 3.0]",12.0,0,0,4,2,0.0,1.0,1.0,0.0,2.0,0,0,2,Unranked,Unranked
Adam Fugitt,185.42,77.11,195.58,10,4,0,45.0,4.48,51.0,4.72,2.04,50.0,29.0,,0.0,0.0,291.0,174.0,379.0,5.0,17.0,Southpaw,,1989/01/12,['welterweight'],welterweight,"['Decision - Split', 'KO/TKO']","['Submission', 'KO/TKO']","[3.0, 1.0]",12.0,0,0,4,2,1.0,1.0,0.0,0.0,2.0,1,0,1,Unranked,Unranked
Adlan Amagov,187.96,77.11,193.04,14,2,1,47.0,0.82,78.0,3.29,5.84,100.0,56.0,,1.0,0.0,274.0,53.0,125.0,6.0,11.0,Orthodox,Borz,1986/10/30,['welterweight'],welterweight,"['KO/TKO', 'Decision - Unanimous']",[],"[1.0, 3.0]",6.0,0,0,2,2,0.0,0.0,0.0,,,1,0,1,Unranked,Unranked
Adrian Serrano,172.72,77.11,,56,29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,187.0,6.0,23.0,0.0,2.0,Unknown,,1963/12/23,['welterweight'],welterweight,[],['Decision - Unanimous'],[],2.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Akihiro Gono,170.18,77.11,172.72,35,21,8,48.0,2.67,63.0,2.18,1.01,46.0,84.0,0.5,1.0,1.0,343.0,63.0,127.0,4.0,5.0,Switch,,1974/10/07,['welterweight'],welterweight,['Submission'],"['Decision - Unanimous', 'Decision - Split']",[2.0],9.0,0,0,3,1,0.0,0.0,2.0,0.0,2.0,0,1,0,Unranked,Unranked
Alan Jouban,182.88,77.11,185.42000000000002,17,7,0,50.0,3.77,60.0,5.67,0.51,58.0,44.0,0.3,9.0,2.0,480.0,231.0,413.0,4.0,9.0,Southpaw,Brahma,1981/11/25,['welterweight'],welterweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","['Decision - Split', 'KO/TKO', 'KO/TKO', 'Submission', 'Decision - Unanimous']","[3.0, 3.0, 3.0, 3.0, 1.0, 2.0, 1.0, 1.0]",39.0,0,0,13,8,2.0,1.0,2.0,0.0,5.0,4,0,4,Unranked,Unranked
Albert Cheng,180.34,77.11,,7,4,0,,2.6,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,Orthodox,,1985/02/07,['welterweight'],welterweight,[],"[""TKO - Doctor's Stoppage""]",[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Albert Tumenov,180.34,77.11,185.42,18,4,0,42.0,3.34,58.0,3.76,0.2,75.0,20.0,0.0,5.0,0.0,164.0,252.0,611.0,1.0,5.0,Orthodox,Einstein,1991/12/26,['welterweight'],welterweight,"['KO/TKO', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO']","['Submission', 'Submission', 'Decision - Split']","[1.0, 3.0, 1.0, 3.0, 1.0]",24.0,0,0,8,5,0.0,2.0,1.0,0.0,3.0,3,0,2,Unranked,13.0
Alberto Mina,182.88,77.11,195.58,13,1,0,38.0,3.7,47.0,3.23,1.85,50.0,20.0,0.0,3.0,0.0,254.0,85.0,196.0,5.0,24.0,Orthodox,Soldier of God,1982/05/02,['welterweight'],welterweight,"['KO/TKO', 'KO/TKO', 'Decision - Split']",['Decision - Unanimous'],"[1.0, 2.0, 3.0]",12.0,0,0,4,3,0.0,0.0,1.0,0.0,1.0,2,0,1,Unranked,Unranked
Aleksei Kunchenko,172.72,77.11,177.8,20,2,0,44.0,2.83,63.0,3.67,0.25,80.0,33.0,0.0,0.0,0.0,130.0,176.0,343.0,1.0,3.0,Orthodox,,1984/05/02,['welterweight'],welterweight,"['Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Unanimous']","[3.0, 3.0]",12.0,0,0,4,2,0.0,0.0,2.0,0.0,2.0,0,0,2,Unranked,Unranked
Alex Garcia,175.26,77.11,182.88,15,6,0,31.0,3.03,59.0,1.81,3.72,66.0,52.0,0.1,3.0,0.0,1955.0,162.0,549.0,29.0,55.0,Orthodox,The Dominican Nightmare,1987/07/14,['welterweight'],welterweight,"['Submission', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO']","['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[2.0, 1.0, 3.0, 3.0, 1.0]",30.0,0,0,10,5,1.0,0.0,4.0,0.0,5.0,2,1,2,Unranked,Unranked
Alex Karalexis,172.72,70.31,167.64,10,6,0,42.0,2.39,54.0,2.57,2.7000000000000006,86.0,45.0,0.9,0.0,0.0,262.0,36.0,126.0,1.0,5.0,Orthodox,The Assassin,1977/09/20,['welterweight'],welterweight,['KO/TKO'],"['Submission', ""TKO - Doctor's Stoppage""]",[1.0],9.0,0,0,3,1,1.0,1.0,0.0,0.0,2.0,1,0,0,Unranked,Unranked
