name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Ailin Perez,165.1,61.23,167.64,12,2,0,54.0,1.79,55.0,3.1,4.68,66.0,46.0,0.2,1.0,1.0,1920.0,180.0,343.0,23.0,49.0,Switch,Fiona,1994/10/05,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,"['Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']",['Submission'],"[1.0, 3.0, 3.0, 3.0, 3.0]",18.0,0,0,6,5,0.0,1.0,0.0,0.0,1.0,0,1,4,Unranked,7.0
Alexis Davis,167.64000000000001,61.23,172.72,21,11,0,49.0,4.45,54.0,4.63,0.95,34.0,44.0,0.7,0.0,8.0,3463.0,205.0,457.0,12.0,26.0,Orthodox,,1984/10/04,"[""women's bantamweight"", ""women's flyweight""]",women's bantamweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Submission', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'KO/TKO']","[3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 3.0, 3.0]",44.0,1,0,14,8,1.0,1.0,4.0,0.0,6.0,0,1,7,Unranked,2.0
Amanda Nunes,172.72,61.22999999999999,175.26,23,5,0,51.0,2.62,57.0,4.55,2.73,82.0,54.0,0.7,8.0,7.0,4202.0,187.0,312.0,38.0,67.0,Orthodox,The Lioness,1988/05/30,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,"['Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'Submission']","['Submission', 'KO/TKO']","[5.0, 1.0, 5.0, 5.0, 1.0, 5.0, 5.0, 1.0, 3.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0]",78.0,12,11,18,16,1.0,1.0,0.0,0.0,2.0,7,3,6,1.0,0.0
Anna Elmose,160.02,52.16,,3,2,0,49.0,4.64,56.0,3.68,0.0,33.0,0.0,0.0,1.0,0.0,248.0,6.0,10.0,0.0,5.0,Orthodox,Panda,1984/10/06,"[""women's strawweight"", ""women's bantamweight""]",women's bantamweight,[],"['Decision - Unanimous', 'KO/TKO']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Ashlee Evans-Smith,172.72,61.22999999999999,170.18,6,6,0,34.0,4.59,53.0,4.03,0.9499999999999998,50.0,22.0,0.0,0.0,0.0,811.0,185.0,569.0,7.0,31.0,Orthodox,Rebel Girl,1987/07/09,"[""women's bantamweight"", ""women's flyweight""]",women's bantamweight,"['KO/TKO', 'Decision - Unanimous', 'Decision - Split']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Submission']","[3.0, 3.0, 3.0]",27.0,0,0,9,3,0.0,2.0,4.0,0.0,6.0,1,0,2,Unranked,10.0
Aspen Ladd,167.64000000000001,61.23,167.64000000000001,9,3,0,47.0,4.65,47.0,3.78,1.56,62.0,47.0,0.6,1.0,3.0,1608.0,26.0,64.0,8.0,17.0,Orthodox,,1995/03/01,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,"['KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO']","['Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO']","[3.0, 3.0, 1.0, 2.0]",25.0,0,0,7,4,1.0,0.0,2.0,0.0,3.0,3,0,1,9.0,2.0
Bea Malecki,175.26,61.23,187.96,4,1,0,46.0,6.96,62.0,6.84,0.0,78.0,0.0,1.1,0.0,2.0,273.0,130.0,247.0,0.0,0.0,Orthodox,,1991/08/23,"[""women's bantamweight""]",women's bantamweight,"['Submission', 'Decision - Unanimous']",['KO/TKO'],"[2.0, 3.0]",9.0,0,0,3,2,1.0,0.0,0.0,0.0,1.0,0,1,1,Unranked,Unranked
Bethe Correia,165.1,61.23,162.56,11,6,1,43.0,4.93,56.0,4.37,0.38999999999999996,85.0,18.0,0.0,0.0,0.0,1181.0,369.0,856.0,4.0,22.0,Orthodox,Pitbull,1983/06/22,"[""women's bantamweight""]",women's bantamweight,"['KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Split']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Majority', 'Decision - Split', 'Submission', 'KO/TKO', 'KO/TKO']","[2.0, 3.0, 3.0, 3.0, 3.0]",40.0,1,0,12,5,2.0,1.0,4.0,0.0,7.0,1,0,4,Unranked,5.0
Cat Zingano,167.64000000000001,65.77,172.72,10,4,0,61.0,1.6300000000000001,47.0,2.57,2.77,42.0,65.0,0.8,0.0,3.0,1866.0,35.0,43.0,13.0,20.0,Southpaw,Alpha,1982/07/01,"[""women's featherweight"", ""women's bantamweight""]",women's bantamweight,"['Decision - Unanimous', 'KO/TKO', 'KO/TKO']","['KO/TKO', 'Decision - Split', 'Decision - Unanimous', 'Submission']","[3.0, 3.0, 3.0]",23.0,1,0,7,3,1.0,1.0,2.0,0.0,4.0,2,0,1,Unranked,1.0
Chelsea Chandler,172.72,61.23,172.72,6,4,0,45.0,4.44,40.0,3.55,0.8699999999999999,28.0,60.0,0.0,0.0,0.0,858.0,174.0,385.0,3.0,5.0,Southpaw,,1990/11/23,"[""women's bantamweight"", ""women's featherweight"", 'catch weight']",women's bantamweight,"['Decision - Unanimous', 'KO/TKO']","['KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 1.0]",15.0,0,0,5,2,1.0,0.0,2.0,0.0,3.0,1,0,1,Unranked,13.0
