name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Alexa Grasso,165.1,56.7,167.64000000000001,16,5,1,41.0,3.73,58.0,4.11,0.41,54.0,35.0,0.6,1.0,4.0,1272.0,458.0,1101.0,6.0,17.0,Orthodox,,1993/08/09,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Submission', 'Decision - Unanimous', 'Decision - Majority']","[5.0, 3.0, 4.0, 1.0, 3.0, 3.0, 3.0, 3.0]",50.0,3,1,14,8,0.0,1.0,5.0,0.0,6.0,0,2,6,1.0,0.0
Andrea Lee,167.64000000000001,56.7,175.26,13,11,0,45.0,3.91,61.0,4.62,1.65,53.0,52.0,0.6,1.0,5.0,1826.0,560.0,1187.0,22.0,42.0,Orthodox,KGB,1989/02/11,"[""women's flyweight""]",women's flyweight,"['Submission', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Split']","[2.0, 3.0, 2.0, 3.0, 3.0]",42.0,0,0,14,5,0.0,0.0,9.0,0.0,9.0,1,1,3,Unranked,6.0
Antonina Shevchenko,172.72,56.7,170.18,10,4,0,55.0,2.93,52.0,3.86,0.43,53.0,42.0,0.4,0.0,3.0,1337.0,178.0,355.0,3.0,7.0,Southpaw,La Pantera,1984/11/20,"[""women's flyweight""]",women's flyweight,"['Decision - Split', 'KO/TKO', 'Submission', 'Decision - Unanimous']","['KO/TKO', 'Submission', 'Decision - Unanimous', 'Decision - Split']","[3.0, 2.0, 2.0, 3.0]",24.0,0,0,8,4,1.0,1.0,2.0,0.0,4.0,1,1,2,Unranked,11.0
Ariane da Silva,167.64000000000001,56.7,170.18,17,11,0,41.0,4.4,50.0,4.05,0.47000000000000003,68.0,38.0,0.3,3.0,2.0,1342.0,147.0,346.0,5.0,13.0,Orthodox,Queen of Violence,1994/01/26,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,"['Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Submission']","['Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous']","[3.0, 3.0, 3.0, 1.0, 3.0, 2.0]",42.0,0,0,14,6,3.0,1.0,4.0,0.0,8.0,0,2,4,Unranked,11.0
Ariel Beck,167.64,56.7,167.64,4,5,0,,4.31,,4.44,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,Southpaw,,1990/09/16,"[""women's flyweight""]",women's flyweight,[],['KO/TKO'],[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Barb Honchak,162.56,56.7,165.1,10,4,0,30.0,4.67,66.0,4.04,0.0,0.0,0.0,1.3,0.0,2.0,21.0,24.0,80.0,0.0,1.0,Orthodox,Little Warrior,1979/08/30,"[""women's flyweight""]",women's flyweight,[],"['Decision - Split', 'KO/TKO']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,4.0
Brogan Walker,162.56,56.7,170.18,8,4,0,30.0,3.7,47.0,2.04,0.0,11.0,0.0,0.0,0.0,0.0,140.0,29.0,145.0,0.0,0.0,Switch,The Bear,1988/08/02,"[""women's flyweight""]",women's flyweight,[],"['KO/TKO', 'Decision - Unanimous']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Carli Judice,170.18,56.7,172.72,4,2,0,53.0,10.01,53.0,11.18,0.95,70.0,25.0,0.0,1.0,0.0,66.0,17.0,43.0,2.0,4.0,Southpaw,Crispy,1999/03/02,"[""women's flyweight""]",women's flyweight,['KO/TKO'],['Decision - Split'],[1.0],6.0,0,0,2,1,0.0,0.0,1.0,0.0,1.0,1,0,0,Unranked,Unranked
Casey O'Neill,167.64000000000001,56.7,175.26,10,2,0,52.0,5.65,57.0,7.89,1.45,70.0,34.0,0.6999999999999998,0.0,3.0,1290.0,467.0,835.0,8.0,23.0,Orthodox,King,1997/10/07,"[""women's flyweight""]",women's flyweight,"['Decision - Unanimous', 'Submission', 'Decision - Split', 'KO/TKO', 'KO/TKO']","['Submission', 'Decision - Unanimous']","[3.0, 3.0, 3.0, 2.0, 2.0]",21.0,0,0,7,5,0.0,1.0,1.0,0.0,2.0,2,1,2,Unranked,10.0
Christina Marks,170.18,56.7,175.26,8,9,0,,3.0,,5.0,7.5,0.0,100.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,1.0,Orthodox,,1985/11/08,"[""women's flyweight""]",women's flyweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
