name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Aisling Daly,157.48,52.16,162.56,16,6,0,52.0,1.3999999999999997,55.0,2.92,2.15,33.0,41.0,0.9,0.0,1.0,1266.0,27.0,65.0,5.0,12.0,Orthodox,Ais the Bash,1987/12/24,"[""women's strawweight""]",women's strawweight,"['Decision - Unanimous', 'Submission']",['Decision - Unanimous'],"[3.0, 1.0]",9.0,0,0,3,2,0.0,0.0,1.0,0.0,1.0,0,1,1,Unranked,9.0
Aleksandra Albu,157.48,52.16,160.02,3,2,0,47.0,5.56,38.0,4.83,2.27,77.0,50.0,0.4,0.0,0.0,382.0,189.0,400.0,6.0,12.0,Orthodox,Stitch,1990/07/14,"[""women's strawweight""]",women's strawweight,"['Decision - Unanimous', 'Submission']","['Submission', 'Decision - Split']","[3.0, 2.0]",12.0,0,0,4,2,0.0,1.0,1.0,0.0,2.0,0,1,1,Unranked,Unranked
Alex Chambers,160.02,52.15999999999999,160.02,5,5,0,54.0,5.1,50.0,2.97,2.31,53.0,41.0,1.0,0.0,2.0,623.0,46.0,71.0,7.0,17.0,Southpaw,Astro Girl,1978/10/25,"[""women's strawweight""]",women's strawweight,['Submission'],"['Decision - Unanimous', 'Submission', 'Submission', 'Submission']",[3.0],15.0,0,0,5,1,0.0,3.0,1.0,0.0,4.0,0,1,0,Unranked,Unranked
Alexia Thainara,162.56,52.16,170.18,12,1,0,40.0,2.82,70.0,5.73,3.07,0.0,100.0,,0.0,0.0,204.0,11.0,21.0,1.0,1.0,Orthodox,Burguesinha,1995/11/20,"[""women's strawweight""]",women's strawweight,['Submission'],[],[1.0],3.0,0,0,1,1,0.0,0.0,0.0,,,0,1,0,Unranked,Unranked
Alice Ardelean,160.02,52.16,157.48,10,7,0,44.0,5.04,57.0,6.73,1.0,87.0,50.0,,0.0,0.0,427.0,303.0,681.0,3.0,6.0,Orthodox,,1992/04/19,"[""women's strawweight""]",women's strawweight,['Decision - Unanimous'],"['Decision - Unanimous', 'Decision - Split']",[3.0],9.0,0,0,3,1,0.0,0.0,2.0,0.0,2.0,0,0,1,Unranked,Unranked
Amanda Cooper,160.02,52.16,162.56,3,5,0,44.0,3.2000000000000006,51.0,3.5499999999999994,1.53,28.0,38.0,1.8,0.0,1.0,1018.0,127.0,306.0,5.0,13.0,Switch,ABC,1991/10/22,"[""women's strawweight"", ""ultimate fighter 23 women's strawweight tournament""]",women's strawweight,"['KO/TKO', 'Decision - Unanimous']","['Submission', 'Decision - Split', 'Submission', 'Submission']","[2.0, 3.0]",18.0,1,0,6,2,0.0,3.0,1.0,0.0,4.0,1,0,1,Unranked,Unranked
Amanda Lemos,162.56,52.16,165.09999999999997,15,4,1,54.0,3.46,44.0,2.89,1.14,59.0,62.0,0.7,6.0,1.0,1520.0,178.0,315.0,10.0,16.0,Southpaw,,1987/05/22,"[""women's strawweight"", ""women's bantamweight""]",women's strawweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'KO/TKO', 'Submission']","['Submission', 'Submission', 'Decision - Unanimous', 'KO/TKO']","[3.0, 3.0, 3.0, 1.0, 3.0, 3.0, 2.0, 1.0, 1.0]",47.0,1,0,13,9,1.0,2.0,1.0,0.0,4.0,3,2,4,9.0,3.0
Amanda Ribas,160.02,52.16,167.64,13,6,0,39.0,3.24,60.0,4.29,2.06,83.0,53.0,0.6,1.0,4.0,2562.0,359.0,902.0,21.0,39.0,Orthodox,,1993/08/26,"[""women's flyweight"", ""women's strawweight""]",women's strawweight,"['Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission']","['Decision - Unanimous', 'KO/TKO', 'Submission', 'Decision - Split', 'KO/TKO']","[3.0, 1.0, 3.0, 3.0, 3.0, 3.0, 2.0]",40.0,0,0,12,7,2.0,1.0,2.0,0.0,5.0,1,2,4,Unranked,7.0
Angela Hill,160.02,52.16,162.56,18,14,0,50.0,4.92,61.0,5.47,0.81,75.0,32.0,0.1,3.0,0.0,3492.0,1233.0,2478.0,21.0,64.0,Orthodox,Overkill,1985/01/12,"[""women's strawweight"", 'catch weight']",women's strawweight,"['Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'KO/TKO', ""TKO - Doctor's Stoppage"", 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Split', 'Decision - Split', 'Decision - Unanimous', 'Submission', 'Decision - Split', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous']","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0]",85.0,0,0,27,13,0.0,2.0,12.0,0.0,14.0,2,1,10,Unranked,9.0
Angela Magana,154.94,52.16,165.1,11,9,0,28.0,4.92,42.0,1.53,0.4000000000000001,28.0,25.0,0.4,0.0,1.0,479.0,49.0,176.0,1.0,4.0,Orthodox,Your Majesty,1983/08/02,"[""women's strawweight""]",women's strawweight,[],"['Submission', 'KO/TKO', 'Decision - Unanimous']",[],9.0,0,0,3,0,1.0,1.0,1.0,0.0,3.0,0,0,0,Unranked,Unranked
