,name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,stance,dob
0,AJ Cunningham,177.8,61.23,180.34,11,5,0,29.0,6.31,48.0,0.0,46.0,,Orthodox,1994/09/07
1,AJ Dobson,185.42,83.91,193.04,7,3,0,46.0,5.31,46.0,1.67,65.0,0.3,Orthodox,1992/01/18
2,AJ Fletcher,177.8,77.11,170.18,10,3,0,49.0,4.61,46.0,1.54,33.0,0.9,Switch,1997/02/18
3,Aalon Cruz,182.88,65.77,198.12,8,4,0,39.0,8.88,58.0,0.0,0.0,0.0,Switch,1989/09/20
4,Aaron Brink,190.5,92.99,,26,26,0,42.0,5.71,57.0,0.0,0.0,,Orthodox,1974/11/12
5,Aaron Phillips,175.26,61.23,180.34,12,5,0,53.0,3.66,43.0,0.86,44.0,0.6,Southpaw,1989/08/05
6,Aaron Riley,172.72,70.31,175.26,30,14,1,34.0,3.7799999999999994,61.0,1.18,60.0,0.1,Southpaw,1980/12/09
7,Aaron Rosa,193.04,92.99,195.58,18,6,0,47.0,4.41,45.0,0.36000000000000004,85.0,0.4,Orthodox,1983/05/28
8,Aaron Simpson,182.88,77.11,185.42,12,5,0,52.0,2.53,56.0,3.78,83.0,0.5,Orthodox,1974/07/20
9,Aaron Wilkinson,177.8,70.31,,11,7,0,0.0,0.0,100.0,7.32,0.0,,Orthodox,1987/01/31
10,Abdul Razak Alhassan,177.8,83.91,185.42,12,7,0,49.0,4.01,54.0,0.84,51.0,0.20000000000000004,Orthodox,1985/08/11
11,Abdul-Kareem Al-Selwady,172.72,70.31,175.26,15,4,0,,3.6,,2.32,20.0,0.0,Orthodox,1995/04/10
12,Abdul-Kerim Edilov,187.96,92.99,,17,4,0,61.0,0.13,92.0,3.98,0.0,,Orthodox,1991/11/25
13,Abel Trujillo,172.72,70.31,177.8,15,8,0,41.0,2.31,59.0,2.18,40.0,0.4,Orthodox,1983/09/18
14,Abner Lloveras,180.34,70.31,,20,9,1,49.0,6.87,43.0,2.0,0.0,,,1982/09/04
15,Abu Azaitar,175.26,83.91,193.04,14,4,1,43.0,4.32,51.0,1.0,42.0,0.0,Orthodox,1986/03/10
16,Abubakar Nurmagomedov,180.34,77.11,182.88,17,4,1,53.0,2.61,65.0,1.25,88.0,0.0,Orthodox,1989/11/13
17,Abus Magomedov,187.96,83.91,198.12,28,6,1,48.0,3.68,56.0,2.65,100.0,0.20000000000000004,Orthodox,1990/09/02
18,Adam Cella,187.96,77.11,,6,8,0,42.0,2.61,51.0,3.92,50.0,,,1985/06/26
19,Adam Fugitt,185.42,77.11,195.58,10,4,0,45.0,4.48,51.0,2.04,50.0,,Southpaw,1989/01/12
20,Adam Milstead,190.5,92.99,193.04,8,4,0,46.0,4.79,43.0,0.0,64.0,0.0,Orthodox,1987/07/03
21,Adam Wieczorek,195.58,113.40000000000002,205.74,10,2,0,38.0,1.87,48.0,0.41,58.0,0.4,Orthodox,1992/02/05
22,Adam Yandiev,175.26,83.91,187.96,9,1,0,,6.14,,0.0,25.0,0.0,Orthodox,1988/08/07
23,Adlan Amagov,187.96,77.11,193.04,14,2,1,47.0,0.82,78.0,5.84,100.0,,Orthodox,1986/10/30
24,Adrian Serrano,172.72,77.11,,56,29,4,0.0,0.0,0.0,0.0,0.0,,,1963/12/23
25,Adrian Yanez,170.18,61.22999999999999,177.8,17,6,0,41.0,5.75,54.0,0.0,81.0,0.0,Orthodox,1993/11/29
26,Adriano Martins,177.8,70.31,182.87999999999997,28,9,0,38.0,2.14,65.0,0.83,81.0,0.4000000000000001,Southpaw,1982/12/16
27,Adriano Santos,,,,0,1,0,0.0,0.0,0.0,0.0,0.0,,,
28,Aiemann Zahabi,172.72,61.22999999999999,172.72,13,2,0,46.0,4.13,69.0,0.14,83.0,0.0,Orthodox,1987/11/19
29,Ailin Perez,165.1,61.23,167.64,12,2,0,54.0,1.79,55.0,4.68,66.0,0.2,Switch,1994/10/05
30,Aisling Daly,157.48,52.16,162.56,16,6,0,52.0,1.3999999999999997,55.0,2.15,33.0,0.9,Orthodox,1987/12/24
31,Akbarh Arreola,177.8,70.31,180.34,23,11,1,45.0,4.01,56.0,1.07,33.0,0.4,Southpaw,1983/01/14
32,Akihiro Gono,170.18,77.11,172.72,35,21,8,48.0,2.67,63.0,1.01,46.0,0.5,Switch,1974/10/07
33,Akira Corassani,172.72,65.77,172.72,12,6,0,45.0,4.91,50.0,0.6999999999999998,86.0,0.0,Orthodox,1982/08/27
34,Al Iaquinta,177.8,70.31,177.8,14,7,1,40.0,4.53,61.0,0.63,74.0,0.2,Orthodox,1987/04/30
35,Alan Baudot,190.5,110.22,200.66,8,3,0,58.0,4.82,46.0,0.0,62.0,0.0,Orthodox,1988/02/01
36,Alan Belcher,187.96,83.91,190.5,18,8,0,41.0,3.1,59.0,0.44,55.0,0.9,Orthodox,1984/04/24
37,Alan Jouban,182.88,77.11,185.42000000000002,17,7,0,50.0,3.77,60.0,0.51,58.0,0.3,Southpaw,1981/11/25
38,Alan Omer,177.8,65.77,,20,5,0,,2.21,,1.69,66.0,0.0,Orthodox,1988/09/14
39,Alan Patrick,180.34,70.31,187.96,15,4,0,40.0,2.95,43.0,3.01,43.0,0.3,Southpaw,1983/07/19
40,Alatengheili,165.1,61.22999999999999,167.64,17,10,2,32.0,5.12,57.0,1.74,75.0,0.0,Orthodox,1991/12/14
41,Albert Cheng,180.34,77.11,,7,4,0,,2.6,,0.0,0.0,0.0,Orthodox,1985/02/07
42,Albert Duraev,180.34,83.91,190.5,16,5,0,40.0,3.01,59.0,1.97,66.0,0.6,Orthodox,1989/01/05
43,Albert Morales,175.26,61.23,182.88,7,4,1,35.0,3.9599999999999995,56.0,0.91,70.0,0.20000000000000004,Orthodox,1991/05/25
44,Albert Tumenov,180.34,77.11,185.42,18,4,0,42.0,3.34,58.0,0.2,75.0,0.0,Orthodox,1991/12/26
45,Alberta Cerra Leon,172.72,107.95,,0,1,0,0.0,0.0,0.0,0.0,0.0,,,
46,Alberto Crane,165.1,70.31,,15,5,0,25.0,2.61,57.0,0.0,50.0,,Orthodox,1976/07/14
47,Alberto Mina,182.88,77.11,195.58,13,1,0,38.0,3.7,47.0,1.85,50.0,0.0,Orthodox,1982/05/02
48,Alberto Uda,190.5,83.91,,12,2,0,52.0,3.49,45.0,2.83,66.0,0.0,Orthodox,1984/08/08
49,Alejandro Perez,167.64,61.230000000000004,170.18,23,9,1,35.0,3.18,61.0,0.54,70.0,0.3,Orthodox,1989/09/02
50,Aleksa Camur,185.42,92.99,187.96,6,3,0,57.0,4.26,54.0,0.46,50.0,0.0,Orthodox,1995/09/25
51,Aleksandar Rakic,193.04,92.99,198.12,14,5,0,50.0,2.91,51.0,0.66,85.0,,Orthodox,1992/02/06
52,Aleksandra Albu,157.48,52.16,160.02,3,2,0,47.0,5.56,38.0,2.27,77.0,0.4,Orthodox,1990/07/14
53,Aleksandre Topuria,170.18,61.23,172.72,6,1,0,51.0,2.53,70.0,1.0,100.0,,Orthodox,1996/01/28
54,Aleksei Kunchenko,172.72,77.11,177.8,20,2,0,44.0,2.83,63.0,0.25,80.0,0.0,Orthodox,1984/05/02
55,Aleksei Oleinik,187.96,108.86,203.2,60,17,1,48.0,3.8,44.0,1.82,37.0,1.9,Orthodox,1977/06/20
56,Alen Amedovski,177.8,83.91,187.96,8,4,0,30.0,3.85,46.0,0.0,0.0,0.0,Orthodox,1988/04/06
57,Alessandro Costa,162.56,56.7,170.18,14,4,0,47.0,3.5,57.0,0.27,90.0,0.0,Orthodox,1996/01/28
58,Alessio Di Chirico,182.88,83.91,187.96,13,7,0,39.0,3.4399999999999995,61.0,1.46,83.0,0.0,Orthodox,1989/12/12
59,Alessio Sakara,182.88,83.91,182.88,19,11,0,47.0,2.8,59.0,2.18,62.0,0.0,Orthodox,1981/09/02
60,Alex Andrade,180.34,90.72,,10,5,0,36.0,2.6,53.0,0.0,25.0,,Orthodox,1974/05/14
61,Alex Caceres,177.8,65.77,185.42,21,15,0,49.0,3.0899999999999994,62.0,0.5400000000000001,64.0,0.7,Southpaw,1988/06/20
62,Alex Chambers,160.02,52.15999999999999,160.02,5,5,0,54.0,5.1,50.0,2.31,53.0,1.0,Southpaw,1978/10/25
63,Alex Da Silva,172.72,70.31,185.42,21,4,0,46.0,2.52,56.0,1.97,76.0,,Orthodox,1996/02/04
64,Alex Garcia,175.26,77.11,182.88,15,6,0,31.0,3.03,59.0,3.72,66.0,0.1,Orthodox,1987/07/14
65,Alex Gorgees,187.96,70.31,187.96,6,1,0,,2.27,,0.0,54.0,0.0,Switch,1995/08/11
