name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,td_avg_acc,splm,stance,nick_name,dob,division
AJ Cunningham,177.8,61.23,180.34,11,5,0,29.0,6.31,48.0,0.0,46.0,,0.0,4.22,Orthodox,The Savage,1994/09/07,"['bantamweight', 'lightweight']"
AJ Dobson,185.42,83.91,193.04,7,3,0,46.0,5.31,46.0,1.67,65.0,0.3,75.0,4.29,Orthodox,,1992/01/18,['middleweight']
AJ Fletcher,177.8,77.11,170.18,10,3,0,49.0,4.61,46.0,1.54,33.0,0.9,35.0,3.36,Switch,The Ghost,1997/02/18,['welterweight']
Aalon Cruz,182.88,65.77,198.12,8,4,0,39.0,8.88,58.0,0.0,0.0,0.0,0.0,7.58,Switch,,1989/09/20,"['featherweight', 'lightweight']"
Aaron Brink,190.5,92.99,,26,26,0,42.0,5.71,57.0,0.0,0.0,,0.0,3.49,Orthodox,,1974/11/12,['heavyweight']
Aaron Phillips,175.26,61.23,180.34,12,5,0,53.0,3.66,43.0,0.86,44.0,0.6,50.0,1.51,Southpaw,The Dragon,1989/08/05,"['bantamweight', 'featherweight']"
Aaron Riley,172.72,70.31,175.26,30,14,1,34.0,3.7799999999999994,61.0,1.18,60.0,0.1,34.0,3.45,Southpaw,,1980/12/09,"['lightweight', 'welterweight']"
Aaron Rosa,193.04,92.99,195.58,18,6,0,47.0,4.41,45.0,0.36000000000000004,85.0,0.4,33.0,4.03,Orthodox,,1983/05/28,"['light heavyweight', 'heavyweight']"
Aaron Simpson,182.88,77.11,185.42,12,5,0,52.0,2.53,56.0,3.78,83.0,0.5,34.0,3.6,Orthodox,A-Train,1974/07/20,"['welterweight', 'middleweight']"
Aaron Wilkinson,177.8,70.31,,11,7,0,0.0,0.0,100.0,7.32,0.0,,100.0,0.0,Orthodox,The Daywalker,1987/01/31,['lightweight']
Abdul Razak Alhassan,177.8,83.91,185.42,12,7,0,49.0,4.01,54.0,0.84,51.0,0.20000000000000004,33.0,3.64,Orthodox,,1985/08/11,"['middleweight', 'welterweight']"
Abdul-Kareem Al-Selwady,172.72,70.31,175.26,15,4,0,,3.6,,2.32,20.0,0.0,30.0,4.14,Orthodox,Pride of Palestine,1995/04/10,['lightweight']
Abdul-Kerim Edilov,187.96,92.99,,17,4,0,61.0,0.13,92.0,3.98,0.0,,100.0,10.22,Orthodox,,1991/11/25,['light heavyweight']
