name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
AJ Cunningham,177.8,61.23,180.34,11,5,0,29.0,6.31,48.0,4.22,0.0,46.0,0.0,,0.0,0.0,26.0,52.0,127.0,0.0,0.0,Orthodox,The Savage,1994/09/07,"['bantamweight', 'lightweight']",bantamweight,[],"['Decision - Unanimous', 'KO/TKO']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
AJ Dobson,185.42,83.91,193.04,7,3,0,46.0,5.31,46.0,4.29,1.67,65.0,75.0,0.3,0.0,0.0,424.0,73.0,207.0,5.0,6.0,Orthodox,,1992/01/18,['middleweight'],middleweight,['Decision - Unanimous'],"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']",[3.0],12.0,0,0,4,1,1.0,0.0,2.0,0.0,3.0,0,0,1,Unranked,Unranked
AJ Fletcher,177.8,77.11,170.18,10,3,0,49.0,4.61,46.0,3.36,1.54,33.0,35.0,0.9,0.0,1.0,612.0,59.0,115.0,4.0,12.0,Switch,The Ghost,1997/02/18,['welterweight'],welterweight,['Submission'],"['Decision - Unanimous', 'Submission', 'Decision - Unanimous']",[2.0],12.0,0,0,4,1,0.0,1.0,2.0,0.0,3.0,0,1,0,Unranked,Unranked
Aalon Cruz,182.88,65.77,198.12,8,4,0,39.0,8.88,58.0,7.58,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,3.0,Switch,,1989/09/20,"['featherweight', 'lightweight']",featherweight,[],"['KO/TKO', 'KO/TKO']",[],6.0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Aaron Brink,190.5,92.99,,26,26,0,42.0,5.71,57.0,3.49,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,5.0,0.0,1.0,Orthodox,,1974/11/12,['heavyweight'],heavyweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Aaron Phillips,175.26,61.23,180.34,12,5,0,53.0,3.66,43.0,1.51,0.86,44.0,50.0,0.6,0.0,1.0,434.0,24.0,55.0,3.0,6.0,Southpaw,The Dragon,1989/08/05,"['bantamweight', 'featherweight']",bantamweight,[],"['Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous']",[],12.0,0,0,4,0,0.0,1.0,3.0,0.0,4.0,0,0,0,Unranked,Unranked
Aaron Riley,172.72,70.31,175.26,30,14,1,34.0,3.7799999999999994,61.0,3.45,1.18,60.0,34.0,0.1,0.0,0.0,1117.0,94.0,284.0,8.0,23.0,Southpaw,,1980/12/09,"['lightweight', 'welterweight']",lightweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Split', ""TKO - Doctor's Stoppage"", ""TKO - Doctor's Stoppage"", 'KO/TKO', ""TKO - Doctor's Stoppage"", 'Decision - Unanimous']","[3.0, 3.0, 3.0]",27.0,0,0,9,3,4.0,0.0,2.0,0.0,6.0,0,0,3,Unranked,Unranked
Aaron Rosa,193.04,92.99,195.58,18,6,0,47.0,4.41,45.0,4.03,0.36000000000000004,85.0,33.0,0.4,0.0,0.0,60.0,73.0,191.0,0.0,1.0,Orthodox,,1983/05/28,"['light heavyweight', 'heavyweight']",light heavyweight,['Decision - Majority'],"['KO/TKO', 'KO/TKO']",[3.0],9.0,0,0,3,1,2.0,0.0,0.0,0.0,2.0,0,0,1,Unranked,Unranked
Aaron Simpson,182.88,77.11,185.42,12,5,0,52.0,2.53,56.0,3.6,3.78,83.0,34.0,0.5,6.0,1.0,3208.0,145.0,219.0,32.0,92.0,Orthodox,A-Train,1974/07/20,"['welterweight', 'middleweight']",middleweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']","['KO/TKO', 'Decision - Split', 'Decision - Unanimous', 'KO/TKO']","[3.0, 3.0, 3.0, 2.0, 1.0, 3.0, 3.0]",33.0,0,0,11,7,2.0,0.0,2.0,0.0,4.0,2,0,5,Unranked,Unranked
Aaron Wilkinson,177.8,70.31,,11,7,0,0.0,0.0,100.0,0.0,7.32,0.0,100.0,,0.0,0.0,64.0,0.0,1.0,1.0,1.0,Orthodox,The Daywalker,1987/01/31,['lightweight'],lightweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Abdul Razak Alhassan,177.8,83.91,185.42,12,7,0,49.0,4.01,54.0,3.64,0.84,51.0,33.0,0.20000000000000004,9.0,0.0,772.0,144.0,300.0,5.0,15.0,Orthodox,,1985/08/11,"['middleweight', 'welterweight']",middleweight,"['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","['Could Not Continue', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Submission', 'Decision - Split']","[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]",42.0,0,0,14,6,2.0,1.0,4.0,0.0,8.0,6,0,0,Unranked,Unranked
Abdul-Kareem Al-Selwady,172.72,70.31,175.26,15,4,0,,3.6,,4.14,2.32,20.0,30.0,0.0,0.0,0.0,164.0,0.0,0.0,3.0,7.0,Orthodox,Pride of Palestine,1995/04/10,['lightweight'],lightweight,[],['KO/TKO'],[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Abdul-Kerim Edilov,187.96,92.99,,17,4,0,61.0,0.13,92.0,10.22,3.98,0.0,100.0,,0.0,0.0,331.0,77.0,125.0,2.0,2.0,Orthodox,,1991/11/25,['light heavyweight'],light heavyweight,['KO/TKO'],[],[2.0],3.0,0,0,1,1,0.0,0.0,0.0,,,1,0,0,Unranked,Unranked
Abel Trujillo,172.72,70.31,177.8,15,8,0,41.0,2.31,59.0,2.65,2.18,40.0,45.0,0.4,3.0,1.0,1134.0,180.0,474.0,15.0,33.0,Orthodox,Killa,1983/09/18,['lightweight'],lightweight,"['Decision - Unanimous', 'Submission', 'KO/TKO', 'DQ', 'KO/TKO', 'KO/TKO']","['Submission', 'Decision - Unanimous', 'Submission', 'Could Not Continue', 'Decision - Unanimous']","[3.0, 1.0, 2.0, 1.0, 2.0, 2.0]",33.0,0,0,11,6,0.0,2.0,2.0,0.0,5.0,3,1,1,Unranked,Unranked
Abner Lloveras,180.34,70.31,,20,9,1,49.0,6.87,43.0,6.27,2.0,0.0,20.0,,0.0,0.0,171.0,94.0,189.0,2.0,10.0,Unknown,Skullman,1982/09/04,['lightweight'],lightweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
