name,image_url
Mark Bocek,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Mark_Bocek/fighter_fullLength_MARK_BOCEK_RC.png?VersionId=OuyH6mxCwo7oDkttxoUvTi756pM94O4C&itok=f2FmrVY4
Jonavin Webb,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/8b59f462-0914-4c8c-9402-84d018450dcb%252Fjonavin-webb_528092_LeftFullBodyImage.png?itok=-V1T6i-Z
Johnny Eduardo,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-09/Johnny-Eduardo_205617_LeftFullBodyImage.png?itok=baBNGIGB
Alberto Mina,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67191/profile-galery/fullbodyleft-picture/Alberto-Mina_472511_LeftFullBodyImage.png?itok=ZyzCWhBV
Eric Schafer,https://ufc.com/images/styles/event_results_athlete_headshot/s3/image/fighter_images/Jorge_Rivera/Jorge_Rivera_500x325.png?VersionId=Ekvhl3wOxKtkTQ6WvaVGLluIJo4oZps_&itok=zrG-kYLg
Blagoy Ivanov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-07/IVANOV_BLAGOY_L_07-01.png?itok=utieoQQE
Kazushi Sakuraba,
John Howard,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/60582f01-faf1-480d-b322-02ee8bbc21db%252FJohn-Howard_450424_LeftFullBodyImage.png?itok=dgoBw6u-
Bobby Southworth,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
Charles Byrd,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67587/profile-galery/fullbodyleft-picture/BYRD_CHARLES_L.png?VersionId=qAx8l64VSdMJuGwxGJa0rGCRfL2Dek0D&itok=OsB-3FsF
Derrick Noble,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2018-10/ALVES_THIAGO.png?VersionId=vBL5eTvvMASA0vpn9zv38UEK6AgFvcSS&itok=jNJLxPZB
Jennifer Maia,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-03/MAIA_JENNIFER_L_03-18.png?itok=4Usezibr
Landon Quinones,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/QUINONES_LANDON_L_02-03.png?itok=K_ZxRw_3
Jordan Radev,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
He-Man Gipson,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
Daniel Spohn,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/4a43e9ec-df95-45ef-b54e-da405508df01%252FDaniel-Spohn_631537_LeftFullBodyImage.png?itok=RoFjMU_I
Cezar Ferreira,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Cezar_Ferreira/FERREIRA_CEZAR_L.png?itok=LSjHlzww
Cole Escovedo,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2023-06/CACERES_ALEX_06-03.png?itok=zlptEidl
Max Griffin,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-07/GRIFFIN_MAX_L_07-12.png?itok=enD8j-C-
Ruslan Magomedov,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69164/profile-galery/fullbodyleft-picture/Ruslan-Magomedov_475290_LeftFullBodyImage.png?VersionId=YJD7o1qdaOu4ZsefPESIaOHMHWIkbQT7&itok=1ykyF3fl
Ed Herman,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/HERMAN_ED_L_04-15.png?itok=5D8Ba5tx
Alex Steibling,https://www.ufc.com/themes/custom/ufc/assets/img/no-profile-image.png
