name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Demetrious Johnson,Mighty Mouse,Orthodox,1,91.25,76.89,100.0,93.19,93.86,100.0,62.79,39.96,27,3,1,27,3,1,18,12,1.0,0.0,"['flyweight', 'bantamweight']",flyweight,1986/08/13,32.63,36.35,73.32,27.72,97.38,93.59,34.57,100.0,56.01,100.0,65.0,75.0,14.27,83.33,100.0,85.19
Alexandre Pantoja,The Cannibal,Orthodox,2,85.21,79.54,73.53,100.0,82.85,99.52,70.1,36.41,30,5,0,30,5,0,17,5,4.0,0.0,['flyweight'],flyweight,1990/04/16,44.17,41.58,64.43,36.97,49.99,68.19,28.89,62.22,46.99,67.78,68.99,75.0,28.57,100.0,100.0,84.31
Deiveson Figueiredo,Deus da Guerra,Orthodox,3,75.55,93.03,49.68,92.5,70.13,82.31,73.16,17.44,24,5,1,24,5,1,19,3,8.0,0.0,"['bantamweight', 'flyweight']",flyweight,1987/12/18,25.07,58.56,73.32,100.0,49.99,70.94,17.44,57.02,35.0,39.91,57.99,100.0,39.99,66.66,80.0,59.64
Brandon Moreno,The Assassin Baby,Orthodox,4,73.03,76.48,58.36,77.06,79.16,79.01,68.29,23.45,23,8,2,23,8,2,18,3,9.0,0.0,"['flyweight', 'interim flyweight']",flyweight,1993/12/07,39.21,58.24,51.11,36.97,78.95,71.16,15.58,51.85,43.99,52.96,64.0,12.5,11.42,50.01,100.0,65.43
Henry Cejudo,Triple C,Orthodox,5,71.11,80.21,49.27,61.38,80.09,90.25,51.16,22.77,16,5,0,16,5,0,15,4,3.0,0.0,"['bantamweight', 'flyweight']",flyweight,1987/02/09,37.46,64.6,57.78,46.2,76.33,73.0,18.99,59.26,30.99,41.0,75.99,6.25,2.85,0.0,100.0,65.19
Muhammad Mokaev,The Punisher,Orthodox,6,66.43,61.72,69.96,84.74,91.37,36.56,63.13,69.38,13,0,0,13,0,0,7,0,Unranked,6.0,['flyweight'],flyweight,2000/07/30,10.04,10.87,53.33,9.25,71.06,97.14,54.59,55.54,41.0,44.47,24.99,25.0,22.85,66.66,100.0,100.0
Ray Borg,The Tazmexican Devil,Orthodox,7,64.49,64.07,84.44,77.01,68.21,41.23,43.19,66.32,13,5,0,13,5,0,12,0,Unranked,3.0,"['bantamweight', 'flyweight']",flyweight,1993/08/04,8.93,25.23,68.88,0.0,47.37,90.49,40.14,66.67,49.99,76.9,46.0,56.25,28.57,33.34,80.0,56.48
Tim Elliott,,Southpaw,8,62.02,71.23,86.07,65.28,61.43,36.4,38.76,40.42,21,13,1,21,13,1,20,0,Unranked,5.0,"['bantamweight', 'flyweight']",flyweight,1986/12/24,32.14,62.94,51.11,18.48,68.42,82.15,38.49,95.55,46.99,76.49,58.99,50.0,28.57,33.34,0.0,31.67
Tatsuro Taira,,Orthodox,9,61.73,75.32,55.26,81.8,80.98,26.93,69.77,55.79,16,1,0,16,1,0,7,0,Unranked,5.0,"['flyweight', 'catch weight']",flyweight,2000/01/27,27.17,13.1,86.66,18.48,42.11,81.81,28.18,25.17,43.99,42.56,45.0,50.0,45.71,33.34,100.0,87.3
Joseph Benavidez,,Southpaw,10,61.21,71.23,46.31,67.38,79.34,52.63,51.16,18.49,28,8,0,28,8,0,21,0,Unranked,1.0,"['flyweight', 'bantamweight']",flyweight,1984/07/31,33.74,13.49,28.88,55.43,81.59,82.03,14.54,57.78,30.0,40.06,62.0,25.0,17.15,16.67,80.0,63.49
Joshua Van,The Fearless,Orthodox,11,60.62,100.0,38.41,60.28,84.8,37.38,40.7,11.04,15,2,0,15,2,0,9,0,Unranked,1.0,['flyweight'],flyweight,2001/10/10,100.0,100.0,77.77,46.2,71.06,39.81,8.78,8.14,62.99,9.11,81.0,0.0,0.0,0.0,100.0,81.48
HyunSung Park,Peace of Mind,Orthodox,12,60.29,70.75,26.69,83.04,100.0,26.75,100.0,20.21,10,0,0,10,0,0,3,1,Unranked,Unranked,"['flyweight', 'road to  1 flyweight tournament']",flyweight,1995/11/04,43.04,7.22,55.56,18.48,78.95,74.94,19.6,3.69,33.0,5.55,100.0,6.25,82.85,33.34,100.0,100.0
Wilson Reis,,Southpaw,13,60.19,54.1,79.36,72.59,63.61,41.27,43.19,44.49,23,10,0,23,10,0,13,0,Unranked,3.0,"['flyweight', 'bantamweight']",flyweight,1985/01/06,12.77,45.7,17.77,0.0,65.8,77.8,53.15,88.14,41.99,55.66,47.0,31.25,17.15,33.34,80.0,41.02
Brandon Royval,Raw Dawg,Southpaw,14,59.13,77.87,43.05,80.71,62.15,41.18,70.1,7.81,17,8,0,17,8,0,11,0,Unranked,1.0,['flyweight'],flyweight,1992/08/16,58.93,73.89,44.44,27.72,34.2,64.19,6.92,5.93,75.01,9.31,45.0,43.75,31.42,50.01,80.0,53.53
Jussier Formiga,,Orthodox,15,58.35,59.91,54.02,81.24,73.79,39.0,46.51,35.16,23,8,0,23,8,0,16,0,Unranked,1.0,['flyweight'],flyweight,1985/04/14,7.69,7.3,40.0,18.48,89.47,85.81,18.77,45.92,35.0,51.51,86.99,43.75,17.15,50.01,100.0,41.67
