name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Jon Jones,Bones,Orthodox,1,92.35,91.19,85.9,98.1,97.27,100.0,68.29,29.4,28,1,0,28,1,0,24,16,1.0,0.0,"['heavyweight', 'light heavyweight', 'interim light heavyweight']",light heavyweight,1987/07/19,40.16,37.15,58.0,42.85,69.56,81.54,17.68,75.4,45.0,78.6,95.0,100.0,4.71,85.88,100.0,100.0
Daniel Cormier,DC,Orthodox,2,80.93,82.72,67.64,84.48,82.01,91.77,74.63,35.67,22,3,0,22,3,0,15,6,1.0,0.0,"['heavyweight', 'light heavyweight']",light heavyweight,1979/03/20,38.96,50.63,52.0,14.28,58.7,75.94,17.13,38.46,44.01,58.46,80.01,45.45,3.77,57.26,100.0,77.03
Glover Teixeira,,Orthodox,3,80.88,87.19,79.45,100.0,71.87,71.28,86.92,32.59,33,9,0,33,9,0,23,1,8.0,0.0,['light heavyweight'],light heavyweight,1979/10/28,34.19,83.99,48.99,35.72,55.43,63.48,19.75,82.31,32.99,73.13,60.01,100.0,8.48,100.0,80.0,62.8
Tito Ortiz,The People's Champ,Orthodox,4,75.12,76.74,100.0,72.78,66.42,56.91,76.74,48.42,19,12,1,19,12,1,27,6,Unranked,Unranked,"['light heavyweight', 'middleweight', 'lightweight', '13 lightweight tournament']",light heavyweight,1975/01/23,23.74,55.39,46.0,14.28,65.22,76.26,23.11,100.0,35.01,100.0,54.0,36.36,5.64,28.62,80.0,43.21
Ryan Bader,Darth,Orthodox,5,74.88,83.26,88.61,66.29,79.91,62.78,51.16,41.5,23,5,0,23,5,0,20,1,Unranked,3.0,"['light heavyweight', 'ultimate fighter 8 light heavyweight tournament']",light heavyweight,1983/06/07,25.85,43.55,43.0,50.0,77.17,88.53,31.54,80.0,44.01,71.16,80.01,45.45,3.77,14.3,60.01,58.33
Rashad Evans,Suga,Orthodox,6,72.78,74.03,91.75,62.91,74.62,61.15,60.13,37.64,19,8,1,19,8,1,23,2,Unranked,2.0,"['light heavyweight', 'middleweight', 'ultimate fighter 2 heavyweight tournament']",light heavyweight,1979/09/25,19.61,38.5,37.0,28.57,68.49,80.06,27.89,96.16,44.01,74.99,73.0,0.0,0.0,0.0,100.0,55.08
Magomed Ankalaev,,Orthodox,7,71.98,90.64,46.34,60.04,86.54,79.67,65.12,35.96,21,1,1,21,1,1,15,1,5.0,0.0,['light heavyweight'],light heavyweight,1992/06/02,33.56,69.73,52.0,50.0,61.95,79.72,7.5,33.84,22.0,48.06,87.01,0.0,0.0,0.0,80.0,82.97
Lyoto Machida,The Dragon,Southpaw,8,71.81,97.18,61.45,68.0,74.38,63.67,65.12,17.17,24,8,0,24,8,0,24,2,Unranked,1.0,"['middleweight', 'light heavyweight']",light heavyweight,1978/05/30,23.74,25.22,52.99,100.0,66.31,87.05,11.32,16.92,64.99,41.56,75.01,63.64,3.77,14.3,60.01,54.17
Corey Anderson,Overtime,Orthodox,9,71.2,80.08,93.39,62.91,71.83,54.74,44.19,52.53,14,5,0,14,5,0,15,1,Unranked,4.0,"['light heavyweight', 'ultimate fighter 19 light heavyweight tournament']",light heavyweight,1989/09/22,40.61,69.06,46.0,7.15,64.13,81.7,45.76,81.55,50.0,62.26,83.0,0.0,0.0,0.0,100.0,49.63
Alex Pereira,Poatan,Orthodox,10,70.34,95.7,25.0,63.24,80.98,85.91,84.5,1.84,12,3,0,12,3,0,11,5,2.0,0.0,"['light heavyweight', 'middleweight']",light heavyweight,1987/07/07,45.84,33.96,62.0,50.0,57.61,71.15,1.03,1.53,50.0,2.19,78.0,0.0,1.89,0.0,100.0,76.77
Jan Blachowicz,,Orthodox,11,70.01,88.38,52.06,74.0,70.16,70.16,70.93,18.2,29,11,1,29,11,1,21,2,6.0,0.0,['light heavyweight'],light heavyweight,1983/02/24,31.53,87.87,48.99,42.85,56.52,75.03,9.63,30.0,48.01,36.27,68.99,54.55,2.82,28.62,80.0,54.5
Mauricio Rua,Shogun,Orthodox,12,67.33,98.01,71.27,61.77,56.36,46.21,80.98,25.18,27,14,1,27,14,1,24,1,Unranked,4.0,['light heavyweight'],light heavyweight,1981/11/25,32.73,24.15,50.0,100.0,58.7,77.0,18.82,48.47,48.01,57.16,49.0,36.36,6.6,0.0,60.01,25.92
Phil Davis,Mr. Wonderful,Orthodox,13,66.55,68.76,71.76,80.65,89.27,38.98,46.51,51.23,17,4,0,17,4,0,13,0,Unranked,3.0,['light heavyweight'],light heavyweight,1984/09/25,26.13,52.56,34.0,0.0,78.26,89.04,27.99,66.92,37.99,52.98,72.02,45.45,5.64,42.94,100.0,79.49
Chuck Liddell,The Iceman,Orthodox,14,66.29,90.64,46.76,60.04,71.76,62.73,73.84,8.27,21,8,0,21,8,0,23,5,Unranked,Unranked,"['light heavyweight', 'middleweight', 'interim light heavyweight']",light heavyweight,1969/12/17,27.22,30.94,35.0,100.0,60.88,77.65,4.12,6.15,74.99,16.48,80.99,0.0,0.0,0.0,80.0,52.66
Jiri Prochazka,,Orthodox,15,63.74,90.04,36.71,67.4,64.32,55.1,100.0,14.03,31,5,1,31,5,1,7,1,9.0,0.0,['light heavyweight'],light heavyweight,1992/10/14,52.61,42.58,55.0,28.57,46.73,53.02,5.62,3.84,60.0,10.26,68.0,0.0,1.89,14.3,100.0,52.38
Nikita Krylov,The Miner,Orthodox,16,63.18,88.62,60.44,78.0,59.29,34.06,80.34,32.92,30,10,0,30,10,0,19,0,Unranked,5.0,"['light heavyweight', 'catch weight', 'heavyweight']",light heavyweight,1992/03/07,39.69,51.11,54.0,35.72,47.82,79.47,20.96,38.46,37.99,47.32,53.01,36.36,13.17,71.58,20.0,38.01
Alexander Gustafsson,The Mauler,Orthodox,17,61.88,91.13,46.96,65.01,61.51,45.84,79.07,16.63,18,8,0,18,8,0,18,0,13.0,1.0,"['light heavyweight', 'heavyweight']",light heavyweight,1987/01/15,36.93,95.34,40.0,64.28,55.43,70.91,14.32,36.92,39.01,28.51,83.0,18.18,3.77,28.62,40.01,34.57
Ilir Latifi,The Sledgehammer,Orthodox,18,60.86,76.95,56.51,71.72,70.32,37.5,62.01,34.43,17,9,0,17,9,0,16,0,Unranked,3.0,"['heavyweight', 'light heavyweight']",light heavyweight,1982/07/28,18.79,33.55,45.0,28.57,60.88,75.85,19.75,45.38,35.01,41.66,100.0,0.0,2.82,28.62,100.0,46.53
Quinton Jackson,Rampage,Orthodox,18,60.86,88.95,47.15,60.21,74.22,44.67,49.42,18.09,37,12,0,37,12,0,13,2,Unranked,Unranked,"['catch weight', 'light heavyweight']",light heavyweight,1978/06/20,29.79,17.66,54.0,57.15,59.79,79.3,14.24,15.39,55.99,21.44,73.0,0.0,0.93,0.0,80.0,59.83
Carlos Ulberg,Black Jag,Orthodox,20,60.58,94.9,32.66,68.24,82.53,35.95,66.86,4.74,13,1,0,13,1,0,9,0,Unranked,3.0,['light heavyweight'],light heavyweight,1990/11/07,62.05,58.09,55.0,35.72,55.43,65.29,5.43,3.84,60.0,3.22,85.0,9.09,1.89,14.3,100.0,81.48
Stephan Bonnar,The American Psycho,Orthodox,21,60.26,74.78,60.63,79.74,66.57,29.8,65.12,48.76,15,9,0,15,9,0,15,0,Unranked,Unranked,"['light heavyweight', 'ultimate fighter 1 light heavyweight tournament']",light heavyweight,1977/04/04,25.31,73.04,38.0,14.28,56.52,75.18,12.36,31.53,40.0,55.32,60.01,72.73,9.42,28.62,100.0,48.14
Ovince Saint Preux,,Southpaw,22,60.13,85.3,43.78,77.35,60.03,39.01,81.4,11.66,27,18,0,27,18,0,28,0,Unranked,5.0,"['light heavyweight', 'heavyweight', 'interim light heavyweight']",light heavyweight,1983/04/08,27.78,66.74,46.99,42.85,51.09,72.56,10.2,40.76,36.0,27.64,67.02,45.45,4.71,71.58,20.0,36.51
Forrest Griffin,,Orthodox,23,59.68,73.98,42.15,79.24,69.95,50.46,44.19,17.9,19,7,0,19,7,0,15,2,Unranked,Unranked,"['light heavyweight', 'ultimate fighter 1 light heavyweight tournament']",light heavyweight,1979/03/16,40.16,42.29,36.0,7.15,66.31,76.83,9.82,17.69,48.01,22.12,56.99,72.73,6.6,28.62,100.0,49.63
Dominick Reyes,The Devastator,Southpaw,24,59.35,95.26,19.47,68.41,70.28,47.53,84.5,6.45,15,4,0,15,4,0,13,0,15.0,1.0,['light heavyweight'],light heavyweight,1989/12/26,51.14,61.59,54.0,50.0,54.34,70.82,2.91,5.37,28.0,7.65,82.01,9.09,2.82,14.3,100.0,54.7
Matt Hamill,The Hammer,Orthodox,25,59.28,77.12,59.62,62.91,76.64,29.09,55.81,29.56,12,8,0,12,8,0,15,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1976/10/05,33.82,75.75,42.0,7.15,66.31,68.67,28.08,70.0,34.01,33.56,91.02,0.0,0.0,0.0,100.0,60.0
Renato Sobral,Babalu,Orthodox,26,59.27,69.14,55.07,93.29,66.42,23.89,76.74,47.72,37,11,0,37,11,0,10,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",light heavyweight,1975/09/07,20.44,5.05,45.0,0.0,61.95,87.39,23.22,18.45,41.99,38.51,65.01,100.0,24.48,57.26,100.0,41.11
Johnny Walker,,Orthodox,27,58.96,85.15,51.83,71.13,59.9,29.05,83.06,5.17,21,9,0,21,9,0,14,0,Unranked,5.0,['light heavyweight'],light heavyweight,1992/03/30,35.47,44.81,52.99,28.57,47.82,74.29,4.22,1.53,100.0,6.27,56.99,27.27,8.48,14.3,100.0,39.68
