name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Amanda Nunes,The Lioness,Orthodox,1,90.76,100.0,88.82,83.33,84.57,100.0,73.84,39.66,23,5,0,23,5,0,18,11,1.0,0.0,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1988/05/30,55.0,22.39,74.41,100.0,64.44,79.2,42.39,89.33,54.01,99.55,82.0,70.0,17.14,75.02,75.0,81.48
Ronda Rousey,Rowdy,Orthodox,2,80.25,81.66,76.49,100.0,63.8,78.36,100.0,12.04,12,2,0,12,2,0,8,6,4.0,0.0,"[""women's bantamweight""]",women's bantamweight,1987/02/01,49.32,1.0,76.74,30.25,35.56,58.42,97.19,14.67,68.0,16.61,50.01,50.0,100.0,75.02,100.0,58.33
Raquel Pennington,Rocky,Orthodox,3,72.66,81.13,61.23,85.93,77.46,75.99,39.36,46.8,16,10,0,16,10,0,19,1,5.0,0.0,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1988/09/05,48.27,78.1,69.78,15.12,73.35,69.63,12.9,77.34,27.01,94.28,62.0,70.0,14.69,75.02,100.0,67.83
Julianna Pena,The Venezuelan Vixen,Orthodox,4,68.93,69.8,64.7,67.83,64.63,77.81,65.12,43.42,13,6,0,13,6,0,12,3,3.0,0.0,"[""women's bantamweight"", ""ultimate fighter 18 women's bantamweight tournament""]",women's bantamweight,1989/08/19,33.33,43.78,58.14,0.0,64.44,80.03,26.39,44.0,54.01,63.94,24.0,20.0,19.59,50.01,25.0,50.92
Miesha Tate,Cupcake,Orthodox,5,66.8,73.19,71.04,79.62,59.72,57.66,60.13,57.16,20,10,0,20,10,0,14,1,15.0,0.0,"[""women's bantamweight"", ""women's flyweight""]",women's bantamweight,1986/08/18,26.16,59.52,58.14,15.12,51.12,73.32,30.6,100.0,30.01,90.85,56.0,100.0,29.39,50.01,50.0,38.89
Sara McMann,,Orthodox,6,65.91,70.42,100.0,65.14,53.85,40.28,60.13,77.24,13,6,0,13,6,0,13,0,Unranked,3.0,"[""women's bantamweight""]",women's bantamweight,1980/09/24,20.77,12.84,62.79,15.12,42.23,88.79,68.02,64.01,65.02,100.0,50.01,39.99,12.24,50.01,0.0,29.06
Macy Chiasson,,Orthodox,7,64.68,78.92,59.67,70.38,67.31,49.62,73.84,55.24,11,4,0,11,4,0,12,1,Unranked,4.0,"[""women's featherweight"", ""women's bantamweight"", 'catch weight', ""ultimate fighter 28 women's featherweight tournament""]",women's bantamweight,1991/07/27,39.15,39.84,62.79,30.25,37.79,78.39,32.3,64.01,35.01,63.18,71.01,0.0,9.78,50.01,75.0,57.41
Holly Holm,The Preacher's Daughter,Southpaw,8,62.59,74.23,59.32,55.8,67.19,63.53,40.7,40.22,15,7,0,15,7,0,16,1,6.0,0.0,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1981/10/17,33.79,36.18,48.85,30.25,60.0,75.1,13.51,66.67,30.01,87.92,76.0,9.99,2.44,0.0,50.0,46.53
Ketlen Vieira,Fenomeno,Orthodox,9,60.81,67.02,66.42,70.97,75.3,41.72,31.01,65.28,15,4,0,15,4,0,13,0,11.0,2.0,"[""women's featherweight"", ""women's bantamweight""]",women's bantamweight,1991/08/26,29.45,38.4,51.17,0.0,51.12,64.16,19.87,52.01,43.01,88.94,90.01,30.0,12.24,25.01,100.0,66.67
Kayla Harrison,,Southpaw,10,60.21,81.62,46.38,0.0,100.0,54.29,76.74,77.07,19,1,0,19,1,0,3,1,3.0,0.0,"[""women's bantamweight""]",women's bantamweight,1990/07/02,51.12,15.72,100.0,0.0,84.44,100.0,44.09,21.34,37.0,26.55,100.0,0.0,,50.01,100.0,100.0
