name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Georges St-Pierre,Rush,Orthodox,1,90.64,90.71,100.0,81.73,89.47,100.0,51.16,34.52,26,2,0,26,2,0,22,13,2.0,0.0,"['welterweight', 'interim welterweight', 'middleweight']",welterweight,1981/05/19,39.17,8.65,53.01,69.24,92.3,88.77,50.55,72.16,73.99,100.0,82.99,100.0,23.33,41.17,82.66,84.84
Kamaru Usman,The Nigerian Nightmare,Switch,2,83.48,96.16,84.92,63.04,82.21,97.0,45.06,38.04,21,4,0,21,4,0,19,7,1.0,0.0,"['welterweight', 'middleweight', 'ultimate fighter 21 welterweight tournament']",welterweight,1987/05/11,43.12,53.3,51.01,76.94,70.5,78.56,33.9,84.57,43.99,100.0,89.0,5.78,2.12,13.72,100.0,81.87
Matt Hughes,,Switch,3,73.3,76.44,77.92,84.01,65.15,64.12,80.62,24.33,45,9,0,45,9,0,25,9,Unranked,Unranked,"['welterweight', 'catch weight', 'lightweight', 'interim welterweight']",welterweight,1973/10/13,22.19,4.03,53.01,23.08,67.95,89.09,35.85,54.41,50.0,87.67,35.01,92.3,25.45,68.61,47.98,53.33
Demian Maia,,Southpaw,4,72.13,69.66,78.83,100.0,75.68,49.3,68.29,28.09,28,11,0,28,11,0,33,0,Unranked,1.0,"['welterweight', 'middleweight']",welterweight,1977/11/06,18.65,23.81,43.0,7.69,80.77,83.39,30.25,100.0,23.99,100.0,61.0,100.0,21.21,100.0,100.0,65.66
Colby Covington,Chaos,Orthodox,5,71.96,78.25,87.1,65.36,70.2,61.03,59.3,38.21,17,5,0,17,5,0,17,1,Unranked,1.0,"['welterweight', 'interim welterweight']",welterweight,1988/02/22,39.48,97.42,38.01,7.69,69.22,75.2,44.23,96.99,41.99,93.17,68.0,11.54,4.25,27.44,82.66,60.13
Jon Fitch,,Orthodox,6,69.82,75.56,86.03,81.03,77.05,44.84,43.19,46.87,30,7,1,30,7,1,18,0,Unranked,9.0,"['welterweight', 'middleweight']",welterweight,1978/02/24,27.06,16.47,50.01,15.39,69.22,86.76,43.74,62.68,51.0,95.54,56.01,80.76,16.96,41.17,100.0,75.92
Leon Edwards,Rocky,Southpaw,7,69.64,83.64,46.41,65.33,77.37,86.04,43.19,18.39,22,5,0,22,5,0,19,3,3.0,0.0,['welterweight'],welterweight,1991/08/25,27.15,31.35,54.01,38.47,67.95,80.57,14.35,42.58,36.01,50.19,63.01,40.39,8.48,13.72,82.66,77.19
Belal Muhammad,Remember the Name,Orthodox,8,69.35,78.7,57.89,63.62,80.0,78.07,37.21,21.2,24,4,0,24,4,0,20,1,5.0,0.0,['welterweight'],welterweight,1988/07/09,46.22,79.98,43.0,0.0,70.5,69.66,27.22,70.37,38.01,54.03,89.99,11.54,2.12,13.72,100.0,78.33
Johny Hendricks,Bigg Rigg,Southpaw,9,69.28,83.16,71.0,63.0,66.59,68.2,50.09,23.12,18,8,0,18,8,0,21,1,8.0,0.0,"['middleweight', 'welterweight']",welterweight,1983/09/12,36.17,27.87,45.01,46.16,67.95,67.97,46.53,72.16,45.98,59.75,63.01,34.61,6.37,0.0,100.0,55.02
Robbie Lawler,Ruthless,Southpaw,10,65.9,94.45,37.73,50.96,64.23,80.43,67.44,7.07,30,16,0,30,16,0,25,3,4.0,0.0,"['welterweight', 'middleweight']",welterweight,1982/03/20,39.9,61.95,47.01,76.94,75.63,62.5,7.9,13.6,63.99,23.93,64.99,0.0,0.0,0.0,47.98,45.78
Tyron Woodley,The Chosen One,Orthodox,11,65.23,87.84,28.71,62.94,68.28,78.43,76.74,8.16,19,7,1,19,7,1,16,4,6.0,0.0,['welterweight'],welterweight,1982/04/07,24.46,18.04,48.01,76.94,69.22,77.84,12.88,10.06,40.0,19.0,86.99,17.31,8.48,13.72,82.66,51.39
Sean Brady,,Orthodox,12,65.16,80.88,59.68,81.02,82.91,36.11,58.14,37.93,18,1,0,18,1,0,9,0,Unranked,1.0,['welterweight'],welterweight,1992/11/23,41.45,36.95,55.0,7.69,75.63,76.39,43.98,33.71,53.99,42.81,86.0,40.39,19.1,54.89,100.0,81.48
Gilbert Burns,Durinho,Orthodox,13,64.59,82.0,55.53,83.27,65.03,47.12,67.44,17.52,22,9,0,22,9,0,24,0,Unranked,1.0,"['welterweight', 'lightweight']",welterweight,1986/07/20,32.65,48.42,48.01,30.78,66.66,70.79,25.75,65.64,37.01,52.3,53.0,40.39,10.62,68.61,100.0,53.7
Jack Della Maddalena,,Switch,14,64.41,94.4,6.12,63.42,90.12,74.69,73.84,2.46,18,2,0,18,2,0,8,1,7.0,0.0,['welterweight'],welterweight,1996/09/10,70.88,35.59,52.0,46.16,82.05,63.63,1.95,3.56,11.0,2.33,68.99,5.78,4.25,13.72,100.0,100.0
Pat Miletich,The Croatian Sensation,Orthodox,15,64.16,68.85,50.61,73.99,75.79,55.46,73.84,11.51,29,7,2,29,7,2,10,5,Unranked,Unranked,"['welterweight', 'lightweight', 'middleweight']",welterweight,1968/03/09,18.55,4.24,45.01,7.69,80.77,86.67,23.82,10.64,100.0,11.73,54.0,28.85,21.21,41.17,82.66,66.67
Anthony Johnson,Rumble,Orthodox,16,63.61,95.05,48.38,49.59,68.24,49.45,89.27,13.68,22,6,0,22,6,0,19,0,Unranked,1.0,"['light heavyweight', 'welterweight', 'middleweight']",welterweight,1984/03/06,33.67,24.51,47.01,100.0,76.91,85.31,29.52,19.52,57.01,32.36,76.98,11.54,12.73,0.0,13.31,47.37
Shavkat Rakhmonov,Nomad,Orthodox,17,63.17,79.32,29.85,83.56,88.84,43.89,83.06,33.12,19,0,0,19,0,0,7,0,Unranked,2.0,['welterweight'],welterweight,1994/10/23,33.67,13.04,60.01,7.69,65.38,82.58,17.01,15.98,24.99,27.74,84.98,17.31,25.45,68.61,100.0,100.0
Jorge Masvidal,Gamebred,Orthodox,18,63.14,94.97,43.92,64.4,72.11,45.77,70.93,11.34,35,17,0,35,17,0,22,0,15.0,3.0,"['welterweight', 'lightweight']",welterweight,1984/11/12,41.98,82.81,47.01,69.24,82.05,75.51,16.78,18.93,59.0,32.19,72.0,11.54,6.37,13.72,100.0,56.06
Vicente Luque,The Silent Assassin,Orthodox,19,62.88,95.22,35.45,84.79,68.63,39.39,84.3,9.28,23,11,1,23,11,1,23,0,Unranked,4.0,['welterweight'],welterweight,1991/11/27,52.03,18.86,51.01,76.94,66.66,57.85,11.79,15.98,51.0,24.67,61.0,34.61,14.85,82.33,82.66,62.8
Dong Hyun Kim,Stun Gun,Southpaw,20,62.86,76.78,68.83,67.93,75.75,36.02,50.09,35.99,22,4,1,22,4,1,18,0,Unranked,6.0,['welterweight'],welterweight,1981/11/17,21.97,8.8,49.0,30.78,74.36,84.84,35.6,52.64,42.99,73.35,71.0,34.61,12.73,13.72,100.0,67.29
Gunnar Nelson,Gunni,Switch,21,61.82,75.69,50.25,93.84,68.99,31.76,79.07,22.93,19,6,1,19,6,1,16,0,Unranked,8.0,"['welterweight', 'catch weight']",welterweight,1988/07/28,18.34,4.74,61.0,7.69,61.54,75.44,24.3,24.83,51.99,43.39,68.0,40.39,21.21,100.0,100.0,61.8
Matt Brown,The Immortal,Orthodox,22,61.8,97.14,49.05,68.98,61.71,34.15,84.81,12.91,26,19,0,26,19,0,30,0,Unranked,5.0,['welterweight'],welterweight,1981/01/10,38.97,35.26,55.0,84.61,70.5,76.55,20.41,39.04,45.98,44.19,63.01,100.0,27.58,27.44,13.31,40.74
Josh Koscheck,,Orthodox,23,61.6,71.82,65.69,68.02,67.09,37.51,72.09,24.47,17,11,0,17,11,0,25,0,Unranked,8.0,"['welterweight', 'middleweight']",welterweight,1977/11/30,18.55,25.0,36.0,30.78,80.77,81.77,29.88,49.08,48.01,68.57,64.0,40.39,8.48,41.17,47.98,45.78
Diego Sanchez,Nightmare,Southpaw,24,61.35,78.7,62.43,67.29,66.35,43.98,44.06,20.73,31,13,0,31,13,0,32,1,Unranked,13.0,"['welterweight', 'lightweight', 'ultimate fighter 1 middleweight tournament', 'featherweight']",welterweight,1981/12/31,27.88,37.17,37.0,46.16,71.79,75.76,18.35,98.18,23.99,73.95,46.0,57.69,16.96,0.0,100.0,54.17
Rick Story,The Horror,Southpaw,25,61.19,86.61,60.38,68.63,72.57,32.17,46.51,25.97,19,9,0,19,9,0,19,0,Unranked,9.0,['welterweight'],welterweight,1984/08/28,39.39,81.12,41.01,46.16,79.48,82.58,30.74,49.08,48.01,55.78,63.01,17.31,19.1,27.44,82.66,59.07
Martin Kampmann,The Hitman,Orthodox,26,60.18,80.66,41.85,92.59,69.3,32.75,67.65,16.83,20,7,0,20,7,0,17,0,Unranked,6.0,"['welterweight', 'middleweight']",welterweight,1982/04/17,33.38,40.86,42.01,38.47,79.48,73.68,22.6,27.21,41.0,33.7,78.0,75.0,42.43,68.61,100.0,50.32
Mike Pierce,,Orthodox,27,59.08,74.97,61.47,62.17,74.74,30.6,54.27,38.31,17,7,0,17,7,0,14,0,Unranked,10.0,['welterweight'],welterweight,1980/09/01,27.15,29.61,42.01,23.08,79.48,81.05,37.42,44.35,41.99,58.58,71.0,17.31,4.25,13.72,82.66,62.7
Jake Matthews,The Celtic Kid,Orthodox,28,59.01,81.14,46.05,81.33,71.29,30.16,60.47,18.18,22,7,0,22,7,0,22,0,Unranked,Unranked,"['welterweight', 'lightweight']",welterweight,1994/08/19,35.66,35.49,43.0,38.47,76.91,78.9,18.35,34.89,41.99,43.67,67.01,51.93,12.73,82.33,47.98,57.58
Neil Magny,The Haitian Sensation,Orthodox,29,58.98,78.55,66.16,55.62,63.0,37.77,48.63,16.83,29,14,0,29,14,0,34,0,Unranked,5.0,['welterweight'],welterweight,1987/08/03,35.54,50.27,46.0,15.39,65.38,80.1,25.75,90.49,38.01,67.39,53.0,11.54,4.25,27.44,13.31,48.04
Nick Diaz,,Southpaw,30,58.59,84.45,30.34,72.65,67.66,39.95,90.03,11.35,26,10,0,26,10,0,15,0,Unranked,3.0,"['middleweight', 'interim welterweight', 'welterweight']",welterweight,1983/08/02,59.18,59.07,42.01,23.08,75.63,69.17,15.55,24.25,31.99,21.9,60.01,28.85,21.21,27.44,100.0,53.33
Rory MacDonald,Red King,Orthodox,31,58.21,74.36,37.94,66.57,75.05,45.58,61.24,13.11,19,4,0,19,4,0,13,0,Unranked,1.0,['welterweight'],welterweight,1989/07/22,38.86,32.28,42.01,7.69,79.48,77.52,21.5,26.02,47.01,21.48,87.98,28.85,8.48,13.72,100.0,60.69
Court McGee,The Crusher,Orthodox,32,58.16,76.2,52.86,76.9,64.09,37.82,42.28,20.39,23,14,0,23,14,0,24,1,Unranked,Unranked,"['welterweight', 'middleweight', 'ultimate fighter 11 middleweight tournament']",welterweight,1984/12/12,46.63,24.24,36.0,23.08,76.91,70.7,21.64,85.74,23.99,53.45,69.98,51.93,10.62,41.17,100.0,42.13
Chris Lytle,Lights Out,Orthodox,33,58.04,80.23,33.27,97.9,65.0,28.71,79.07,9.9,31,18,5,31,18,5,20,0,Unranked,Unranked,"['welterweight', 'ultimate fighter 4 welterweight tournament']",welterweight,1974/08/18,38.97,66.46,45.01,15.39,74.36,75.67,8.51,10.64,54.99,21.26,54.99,75.0,50.91,82.33,100.0,47.78
Karo Parisyan,The Heat,Orthodox,34,58.0,67.33,72.58,69.46,71.59,23.4,40.7,31.01,24,11,0,24,11,0,13,0,Unranked,Unranked,['welterweight'],welterweight,1982/08/28,25.8,7.84,41.01,0.0,74.36,82.42,64.03,52.64,59.0,44.03,58.99,34.61,21.21,13.72,100.0,60.69
TJ Grant,,Orthodox,35,57.17,84.75,35.92,65.54,74.81,36.19,58.14,19.89,21,5,0,21,5,0,11,0,Unranked,3.0,"['lightweight', 'welterweight']",welterweight,1984/02/26,40.94,8.7,54.01,38.47,71.79,74.23,19.8,18.93,42.99,23.89,36.0,11.54,12.73,13.72,100.0,75.76
Warlley Alves,,Orthodox,36,56.47,77.15,36.85,75.02,57.24,39.27,82.56,14.95,15,8,0,15,8,0,16,1,Unranked,Unranked,"['welterweight', 'middleweight', 'ultimate fighter brazil 3 middleweight tournament']",welterweight,1991/01/04,31.51,13.7,48.01,23.08,64.1,68.29,14.83,15.37,50.0,26.12,61.99,46.15,16.96,41.17,82.66,36.11
Matt Serra,The Terra,Orthodox,37,56.26,74.41,45.09,69.08,58.34,42.05,60.13,25.62,11,7,0,11,7,0,14,2,Unranked,Unranked,"['welterweight', 'ultimate fighter 4 welterweight tournament', 'lightweight']",welterweight,1974/06/02,20.52,15.16,39.0,38.47,58.97,78.81,24.91,65.05,20.0,42.9,38.01,34.61,19.1,13.72,100.0,44.44
Michael Morales,,Orthodox,38,56.13,88.55,20.78,58.28,89.08,32.4,69.77,3.36,18,0,0,18,0,0,6,0,Unranked,7.0,['welterweight'],welterweight,1999/06/24,58.24,14.13,49.0,46.16,67.95,73.43,13.24,2.37,41.0,2.45,89.0,0.0,0.0,0.0,100.0,100.0
Matthew Riddle,Deep Waters,Southpaw,39,56.11,69.38,67.76,63.17,77.2,20.5,29.9,46.8,8,3,0,8,3,0,12,0,Unranked,Unranked,"['welterweight', 'middleweight']",welterweight,1986/01/14,31.2,13.04,42.01,0.0,69.22,78.0,42.64,46.12,50.0,61.34,89.0,28.85,10.62,0.0,100.0,71.3
Thiago Alves,Pitbull,Orthodox,40,56.07,94.79,36.23,57.09,64.77,31.39,72.09,7.42,23,15,0,23,15,0,27,0,Unranked,11.0,"['welterweight', 'catch weight']",welterweight,1983/10/03,38.66,39.17,41.01,100.0,79.48,72.55,8.63,13.6,60.0,22.96,63.01,11.54,6.37,13.72,47.98,43.21
Carlos Condit,The Natural Born Killer,Orthodox,41,55.72,83.71,29.07,59.57,57.96,51.15,68.99,7.64,32,14,0,32,14,0,19,1,Unranked,2.0,"['welterweight', 'interim welterweight']",welterweight,1984/04/26,37.93,60.53,39.0,46.16,70.5,78.56,7.17,13.02,45.98,19.2,38.01,46.15,21.21,0.0,47.98,36.84
Marcus Davis,The Irish Hand Grenade,Southpaw,42,55.52,78.39,36.46,80.5,64.98,26.35,77.52,13.51,22,11,0,22,11,0,15,0,Unranked,Unranked,"['welterweight', 'lightweight']",welterweight,1973/08/24,28.19,22.55,39.0,46.16,83.32,77.61,19.44,17.14,48.01,22.13,47.0,40.39,29.7,54.89,82.66,43.7
Geoff Neal,Handz of Steel,Southpaw,43,55.17,93.28,27.26,60.59,72.93,27.65,75.58,10.59,16,6,0,16,6,0,12,0,Unranked,6.0,['welterweight'],welterweight,1990/08/28,52.33,35.49,51.01,61.55,73.07,56.33,6.81,5.92,50.0,14.65,86.99,5.78,2.12,13.72,82.66,63.89
Gabriel Bonfim,Marretinha,Orthodox,43,55.17,73.37,44.42,78.73,78.89,14.52,65.12,13.82,18,1,0,18,1,0,6,0,Unranked,13.0,['welterweight'],welterweight,1997/08/20,47.05,3.91,45.01,0.0,80.77,71.67,48.96,15.37,54.99,9.05,75.99,28.85,33.95,41.17,100.0,72.22
Jake Ellenberger,The Juggernaut,Orthodox,45,54.9,87.07,41.51,61.75,58.02,29.88,72.09,10.6,31,15,0,31,15,0,21,0,Unranked,4.0,['welterweight'],welterweight,1985/03/28,25.6,31.78,39.0,84.61,76.91,77.28,24.79,28.39,47.01,25.85,86.0,5.78,8.48,13.72,82.66,23.81
Alex Oliveira,Cowboy,Orthodox,46,54.86,83.65,54.52,61.53,56.4,22.36,67.65,20.87,22,12,1,22,12,1,22,0,Unranked,13.0,"['welterweight', 'lightweight']",welterweight,1988/02/21,30.98,16.69,51.01,46.16,58.97,79.53,28.56,50.87,38.01,51.65,63.01,17.31,12.73,41.17,13.31,34.84
Randy Brown,Rudeboy,Orthodox,47,54.71,86.28,30.84,69.43,69.5,30.86,58.14,11.6,20,6,0,20,6,0,20,0,Unranked,Unranked,['welterweight'],welterweight,1990/07/08,46.32,28.48,47.01,46.16,69.22,73.84,9.6,16.56,39.0,25.34,72.99,23.07,12.73,41.17,65.32,57.78
Stephen Thompson,Wonderboy,Orthodox,48,54.69,94.53,20.76,55.84,64.94,43.63,65.12,4.72,17,9,1,17,9,1,22,0,Unranked,1.0,['welterweight'],welterweight,1983/02/11,41.98,62.43,46.0,76.94,69.22,75.92,2.79,8.29,34.99,14.42,63.01,0.0,0.0,0.0,82.66,48.99
Michel Pereira,Demolidor,Orthodox,49,54.67,83.49,28.76,74.68,74.95,26.27,62.01,5.39,31,13,0,31,13,0,13,0,Unranked,13.0,"['middleweight', 'welterweight']",welterweight,1993/10/06,46.63,29.51,52.0,23.08,65.38,65.24,13.85,12.42,51.99,8.05,75.99,23.07,14.85,41.17,100.0,73.5
Jacobe Smith,Cobe,Southpaw,50,54.59,87.94,68.54,0.0,88.37,5.76,93.02,20.1,11,0,0,11,0,0,2,0,Unranked,Unranked,['welterweight'],welterweight,1996/01/17,64.36,5.27,66.01,7.69,60.25,77.05,90.15,1.19,90.0,4.39,100.0,0.0,,13.72,100.0,100.0
Rinat Fakhretdinov,Gladiator,Orthodox,51,54.41,82.05,49.16,62.82,82.57,14.52,37.21,47.08,23,1,1,23,1,1,6,0,Unranked,15.0,['welterweight'],welterweight,1991/09/28,49.54,4.62,52.0,23.08,67.95,71.26,47.98,34.31,33.99,30.85,90.99,0.0,4.25,13.72,100.0,85.19
Zak Cummings,,Southpaw,52,54.01,82.44,22.23,76.25,74.4,29.17,65.12,11.45,25,7,0,25,7,0,14,0,Unranked,Unranked,"['light heavyweight', 'middleweight', 'welterweight']",welterweight,1984/08/02,30.67,44.29,35.01,61.55,70.5,76.64,7.54,13.02,28.01,17.5,65.99,28.85,12.73,54.89,82.66,69.04
Ian Machado Garry,The Future,Orthodox,53,53.86,86.08,24.83,60.99,83.46,30.43,46.51,10.93,16,1,0,16,1,0,10,0,Unranked,6.0,['welterweight'],welterweight,1997/11/17,49.44,22.55,54.01,30.78,65.38,77.77,12.4,17.75,32.99,13.53,72.99,11.54,8.48,0.0,100.0,91.11
Tim Means,The Dirty Bird,Orthodox,54,53.41,100.0,37.5,52.57,61.65,22.7,60.47,9.34,33,17,1,33,17,1,30,0,Unranked,Unranked,"['welterweight', 'lightweight']",welterweight,1984/02/20,52.23,65.43,49.0,84.61,76.91,70.7,13.85,32.54,40.0,30.62,64.0,0.0,4.25,27.44,0.0,37.78
Mike Swick,Quick,Orthodox,55,53.24,72.62,32.88,68.08,70.07,29.22,72.09,12.58,15,6,0,15,6,0,15,0,Unranked,Unranked,"['welterweight', 'middleweight']",welterweight,1979/06/19,24.46,14.02,37.0,30.78,69.22,81.61,12.88,10.06,50.0,20.61,61.0,23.07,12.73,27.44,82.66,60.0
