name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Valentina Shevchenko,Bullet,Southpaw,1,89.5,87.03,100.0,74.86,86.57,100.0,64.64,36.46,25,4,1,25,4,1,18,10,1.0,0.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1988/03/07,17.08,60.47,78.56,66.69,71.06,93.34,35.26,100.0,60.01,100.0,75.01,85.7,10.7,30.67,80.01,75.92
Gillian Robertson,The Savage,Orthodox,2,72.34,73.16,86.91,100.0,73.48,36.55,82.69,49.94,16,8,0,16,8,0,19,0,Unranked,8.0,"[""women's strawweight"", ""women's flyweight""]",women's flyweight,1995/05/17,14.84,58.93,64.27,0.0,52.64,84.74,36.87,87.76,39.99,92.94,41.01,100.0,32.14,100.0,80.01,63.74
Jasmine Jasudavicius,,Orthodox,3,66.0,77.26,70.83,81.58,81.95,33.82,53.12,66.22,14,3,0,14,3,0,10,0,Unranked,5.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1989/03/01,21.63,46.5,53.57,33.34,39.47,76.47,35.13,52.03,44.01,64.88,75.01,57.14,21.42,45.99,100.0,82.22
Erin Blanchfield,Cold Blooded,Orthodox,4,65.26,72.59,50.48,82.75,89.24,46.65,57.14,45.08,13,2,0,13,2,0,8,0,4.0,2.0,"[""women's flyweight""]",women's flyweight,1999/05/04,33.83,15.25,50.0,0.0,60.51,70.25,25.04,44.88,30.99,44.16,80.01,57.14,28.57,45.99,100.0,88.89
Alexa Grasso,,Orthodox,5,62.15,77.44,29.87,74.49,71.64,72.73,43.75,12.94,16,5,1,16,5,1,14,1,1.0,0.0,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1993/08/09,24.82,88.86,39.28,33.34,57.89,75.4,5.52,17.34,35.01,21.12,53.99,57.14,21.42,30.67,80.01,56.34
Manon Fiorot,The Beast,Orthodox,6,61.05,79.95,31.32,60.22,94.03,53.48,46.42,18.98,12,2,0,12,2,0,8,0,4.0,1.0,"[""women's flyweight""]",women's flyweight,1990/02/17,36.55,83.6,39.28,33.34,78.93,76.91,14.28,31.63,28.99,17.36,86.99,0.0,0.0,0.0,100.0,88.89
Natalia Silva,,Southpaw,7,60.1,86.91,16.49,60.22,100.0,53.43,46.42,6.78,19,5,1,19,5,1,7,0,6.0,1.0,"[""women's flyweight""]",women's flyweight,1997/02/03,32.24,69.32,57.15,66.69,76.31,89.05,4.58,8.16,25.0,4.66,91.99,0.0,0.0,0.0,100.0,100.0
Miranda Maverick,Fear The,Southpaw,8,59.95,70.1,59.85,73.76,80.01,29.35,53.12,40.88,17,6,0,17,6,0,12,0,Unranked,10.0,"[""women's flyweight""]",women's flyweight,1997/07/01,17.71,40.76,50.0,0.0,65.78,91.29,29.07,58.16,39.99,48.06,45.02,28.57,14.27,30.67,100.0,70.37
Maycee Barber,The Future,Switch,9,59.51,79.77,43.8,60.81,82.8,39.18,58.34,25.53,14,2,0,14,2,0,11,0,14.0,4.0,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1998/05/18,29.53,51.67,82.13,0.0,47.36,84.32,19.39,27.55,43.0,27.52,53.0,0.0,3.57,0.0,100.0,83.83
Joanne Wood,JoJo,Orthodox,10,59.18,100.0,53.9,58.04,57.7,38.52,41.66,20.98,17,8,0,17,8,0,17,0,Unranked,3.0,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1985/12/23,48.68,78.12,74.99,100.0,39.47,62.94,20.46,34.69,55.0,34.94,58.0,57.14,10.7,15.33,0.0,35.29
