name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Ilia Topuria,El Matador,Orthodox,1,79.08,83.35,51.37,65.11,98.28,94.13,84.5,18.88,17,0,0,17,0,0,9,3,1.0,0.0,"['lightweight', 'featherweight']",featherweight,1997/01/21,40.23,33.17,58.47,51.18,81.82,68.3,23.37,13.12,61.0,20.04,92.98,0.0,21.67,17.26,100.0,100.0
Alexander Volkanovski,The Great,Orthodox,2,78.72,90.52,67.4,57.33,82.07,100.0,48.17,28.24,27,4,0,27,4,0,17,7,1.0,0.0,"['featherweight', 'catch weight', 'lightweight']",featherweight,1988/09/29,52.76,53.37,70.78,43.87,68.18,73.57,19.91,65.61,34.0,60.8,69.99,0.0,3.95,0.0,100.0,75.17
Max Holloway,Blessed,Orthodox,3,76.99,100.0,42.15,68.66,80.81,96.55,71.45,7.5,26,8,0,26,8,0,30,5,3.0,0.0,"['featherweight', 'interim lightweight', 'interim featherweight', 'catch weight', 'lightweight']",featherweight,1991/12/04,61.72,100.0,56.93,80.42,70.45,57.9,2.98,10.94,52.99,27.76,82.98,45.29,5.92,34.53,78.84,71.11
Jose Aldo,,Orthodox,4,70.18,79.89,53.73,58.96,74.12,90.68,43.19,16.3,32,10,0,32,10,0,23,8,1.0,0.0,"['featherweight', 'bantamweight', 'interim featherweight']",featherweight,1986/09/09,29.63,34.49,55.39,51.18,72.72,68.53,5.6,18.95,50.99,46.97,91.99,19.41,1.97,0.0,100.0,51.69
Zabit Magomedsharipov,,Orthodox,5,69.5,70.01,73.71,74.7,97.36,42.64,58.14,49.25,18,1,0,18,1,0,6,0,Unranked,2.0,['featherweight'],featherweight,1991/03/01,40.96,10.64,58.47,0.0,81.82,77.6,62.23,34.99,55.99,26.89,76.98,12.95,15.76,51.79,100.0,100.0
Conor McGregor,The Notorious,Southpaw,6,69.42,95.5,37.87,51.14,68.17,86.17,86.05,7.63,22,6,0,22,6,0,14,3,2.0,0.0,"['welterweight', 'featherweight', 'lightweight', 'interim featherweight']",featherweight,1988/07/14,44.9,39.38,60.0,95.04,59.09,59.01,7.99,6.55,54.99,14.8,65.99,0.0,1.97,0.0,57.7,52.38
Movsar Evloev,,Orthodox,7,69.4,70.09,87.36,58.64,94.1,51.71,23.26,69.16,19,0,0,19,0,0,9,0,Unranked,1.0,"['featherweight', 'catch weight']",featherweight,1994/02/11,32.74,35.7,58.47,0.0,72.72,81.41,55.67,63.43,47.99,56.63,60.99,12.95,3.95,0.0,100.0,100.0
Dennis Bermudez,The Menace,Orthodox,8,68.12,76.4,94.64,72.45,70.24,38.14,44.19,47.43,17,9,0,17,9,0,17,0,Unranked,6.0,"['lightweight', 'featherweight', 'ultimate fighter 14 featherweight tournament']",featherweight,1986/12/13,36.66,12.18,55.39,36.55,70.45,76.82,46.37,92.59,40.0,76.23,81.99,84.13,21.67,34.53,57.7,45.1
Darren Elkins,The Damage,Orthodox,9,67.53,67.16,100.0,79.38,67.8,34.04,48.97,50.44,29,12,0,29,12,0,30,0,Unranked,9.0,"['featherweight', 'lightweight']",featherweight,1984/05/16,27.35,39.48,43.07,14.62,52.27,73.79,34.21,100.0,34.0,100.0,55.98,77.65,21.67,51.79,78.84,54.44
Chad Mendes,Money,Orthodox,10,67.27,79.62,70.91,58.99,76.95,47.47,76.74,20.08,18,5,0,18,5,0,14,0,Unranked,1.0,"['featherweight', 'interim featherweight']",featherweight,1985/05/01,21.67,14.33,60.0,58.49,88.64,84.87,49.23,40.82,54.99,31.67,100.0,12.95,5.92,0.0,100.0,46.03
Ricardo Lamas,The Bully,Orthodox,11,63.72,70.2,55.76,77.01,70.26,49.7,74.63,25.64,20,8,0,20,8,0,17,0,Unranked,2.0,['featherweight'],featherweight,1982/05/21,24.87,25.37,56.93,14.62,65.9,79.06,21.94,49.57,33.0,42.77,46.01,32.36,17.74,51.79,100.0,54.9
Pat Sabatini,,Orthodox,12,61.9,71.83,77.87,80.8,71.97,21.2,53.15,69.05,20,5,0,20,5,0,9,0,Unranked,Unranked,['featherweight'],featherweight,1990/11/09,13.34,1.59,80.01,7.31,47.73,97.53,47.44,29.88,47.99,56.55,49.99,38.83,35.48,51.79,100.0,62.97
Yair Rodriguez,El Pantera,Orthodox,13,61.83,79.44,31.33,65.7,72.23,67.09,61.94,9.5,21,6,0,21,6,0,16,2,Unranked,1.0,"['featherweight', 'interim featherweight', 'ultimate fighter latin america featherweight tournament']",featherweight,1992/10/06,38.77,43.43,55.39,36.55,54.54,68.86,8.47,24.79,29.0,19.02,58.99,51.77,11.83,17.26,78.84,63.2
Jeremy Stephens,Lil' Heathen,Orthodox,14,61.53,91.67,72.77,51.23,64.58,29.58,60.47,22.24,28,20,0,28,20,0,35,0,Unranked,4.0,"['lightweight', 'featherweight']",featherweight,1986/05/25,25.05,94.85,46.15,100.0,68.18,76.02,13.24,56.86,38.0,76.22,62.01,19.41,7.88,0.0,36.54,38.41
Enrique Barzola,El Fuerte,Orthodox,15,61.1,65.22,79.4,58.33,81.86,36.12,23.26,52.29,17,5,2,17,5,2,10,1,Unranked,Unranked,"['featherweight', 'bantamweight', 'ultimate fighter latin america 2 lightweight tournament']",featherweight,1989/04/28,32.01,23.45,47.7,0.0,90.91,77.93,50.07,67.07,44.99,47.57,65.99,6.48,5.92,0.0,100.0,64.44
Chase Hooper,The Dream,Southpaw,16,60.87,72.73,58.94,91.43,68.35,24.26,75.58,42.67,16,3,1,16,3,1,11,0,Unranked,Unranked,"['lightweight', 'featherweight']",featherweight,1999/09/13,37.67,13.51,63.08,7.31,22.72,78.04,30.88,42.28,34.0,42.7,54.99,84.13,43.36,69.05,100.0,68.69
Bryce Mitchell,Thug Nasty,Southpaw,17,60.81,71.87,78.31,66.53,71.26,28.72,40.7,67.38,17,4,0,17,4,0,11,0,Unranked,9.0,['featherweight'],featherweight,1994/10/04,18.56,6.53,75.39,7.31,72.72,92.83,38.99,53.95,36.0,67.42,32.99,64.72,25.62,17.26,57.7,54.54
Diego Brandao,DB,Orthodox,18,60.79,69.8,62.66,66.43,69.37,36.12,76.74,21.66,22,11,0,22,11,0,10,1,Unranked,14.0,"['featherweight', 'ultimate fighter 14 featherweight tournament']",featherweight,1987/05/27,23.13,4.77,56.93,21.93,77.26,73.34,38.26,18.23,68.0,21.02,80.0,12.95,11.83,34.53,78.84,41.11
Arnold Allen,Almighty,Southpaw,19,60.47,69.81,41.59,68.97,89.55,46.67,48.63,17.71,20,3,0,20,3,0,13,0,Unranked,3.0,['featherweight'],featherweight,1994/01/22,27.79,30.59,47.7,21.93,74.99,78.94,11.09,16.76,46.99,23.1,74.99,19.41,5.92,34.53,100.0,86.32
Alex Caceres,Bruce Leeroy,Southpaw,20,60.09,81.14,61.21,72.42,70.19,29.57,49.42,16.9,21,15,0,21,15,0,30,0,Unranked,10.0,"['featherweight', 'bantamweight']",featherweight,1988/06/20,34.74,56.57,60.0,36.55,77.26,76.59,6.44,13.84,68.0,47.14,64.0,84.13,13.79,69.05,0.0,45.92
Mirsad Bektic,,Orthodox,21,59.96,64.45,85.18,61.72,69.58,22.73,58.14,71.07,13,4,0,13,4,0,10,0,Unranked,7.0,['featherweight'],featherweight,1991/02/16,18.47,12.25,47.7,14.62,65.9,91.04,47.44,37.17,51.99,64.66,91.99,19.41,7.88,17.26,78.84,41.11
Youssef Zalal,The Moroccan Devil,Switch,22,59.89,71.93,56.35,79.05,82.69,25.75,53.15,45.42,17,5,1,17,5,1,11,0,Unranked,9.0,"['featherweight', 'bantamweight']",featherweight,1996/09/04,24.32,28.5,61.55,14.62,86.37,91.04,24.92,45.2,30.0,45.45,58.99,38.83,25.62,51.79,100.0,67.68
Brian Ortega,T-City,Switch,23,59.09,74.19,32.63,79.73,66.81,44.44,91.28,11.39,16,4,0,16,4,0,13,0,Unranked,1.0,['featherweight'],featherweight,1991/02/21,33.55,52.82,41.54,36.55,47.73,37.4,12.77,33.53,26.0,17.6,54.99,6.48,21.67,69.05,100.0,60.69
Jean Silva,Lord,Orthodox,24,58.92,80.75,26.91,64.42,93.48,30.69,93.02,1.64,16,2,0,16,2,0,5,0,Unranked,10.0,"['featherweight', 'lightweight']",featherweight,1996/12/27,40.78,14.44,64.62,36.55,63.63,64.94,7.17,0.72,49.99,0.75,85.99,0.0,17.74,17.26,100.0,100.0
Nathaniel Wood,The Prospect,Orthodox,25,58.63,80.85,48.66,75.98,79.09,27.28,46.51,26.58,21,6,0,21,6,0,12,0,Unranked,Unranked,"['featherweight', 'catch weight', 'bantamweight']",featherweight,1993/05/08,48.0,21.86,63.08,29.24,63.63,67.64,16.82,22.59,47.99,29.01,71.98,32.36,11.83,51.79,100.0,71.3
Lerone Murphy,The Miracle,Orthodox,26,58.56,77.75,52.64,59.69,89.29,28.63,40.7,34.61,16,0,1,16,0,1,9,0,Unranked,6.0,['featherweight'],featherweight,1991/07/22,37.67,35.36,67.7,14.62,74.99,83.43,17.3,17.5,53.99,32.54,52.0,12.95,9.86,0.0,100.0,90.12
