name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Cain Velasquez,,Orthodox,1,86.45,95.76,85.38,57.9,81.76,100.0,88.37,41.74,14,3,0,14,3,0,15,4,3.0,0.0,['heavyweight'],heavyweight,1982/07/28,53.16,21.99,66.28,72.49,81.42,80.25,57.45,82.39,44.99,74.5,85.0,23.02,,0.0,77.87,66.67
Stipe Miocic,,Orthodox,2,77.76,90.21,60.94,57.25,75.07,99.57,75.08,25.29,20,5,0,20,5,0,19,6,2.0,0.0,['heavyweight'],heavyweight,1982/08/19,38.98,71.11,60.47,50.74,74.3,66.01,19.48,74.25,33.99,63.48,65.01,0.0,,0.0,100.0,60.23
Randy Couture,The Natural,Orthodox,3,77.45,74.2,90.93,85.11,71.75,66.53,78.2,50.51,19,11,0,19,11,0,24,10,Unranked,Unranked,"['heavyweight', 'light heavyweight', 'interim light heavyweight', '13 heavyweight tournament']",heavyweight,1963/06/22,23.8,21.99,66.28,7.26,84.28,87.02,31.14,100.0,46.0,100.0,58.01,84.38,,68.8,100.0,47.69
Tom Aspinall,,Orthodox,4,76.76,92.08,51.2,71.8,91.2,73.53,100.0,5.05,15,3,0,15,3,0,9,2,8.0,0.0,"['interim heavyweight', 'heavyweight']",heavyweight,1993/04/11,67.35,9.13,77.91,36.25,92.85,75.5,36.63,4.07,100.0,5.66,100.0,0.0,,34.41,100.0,81.48
Curtis Blaydes,Razor,Orthodox,5,73.54,77.6,100.0,57.25,74.1,54.02,70.1,41.29,19,5,0,19,5,0,20,0,Unranked,2.0,"['heavyweight', 'interim heavyweight']",heavyweight,1991/02/18,29.72,49.8,58.13,14.49,82.86,83.05,60.25,100.0,48.01,94.92,31.02,0.0,,0.0,100.0,58.33
Fabricio Werdum,Vai Cavalo,Orthodox,6,72.32,80.61,45.96,81.6,72.63,84.74,76.74,19.39,24,9,1,24,9,1,18,2,4.0,0.0,"['heavyweight', 'interim heavyweight']",heavyweight,1977/07/30,29.97,38.43,60.47,28.99,78.58,77.62,19.59,56.96,30.99,39.88,31.02,23.02,,68.8,100.0,57.41
Francis Ngannou,The Predator,Orthodox,7,71.94,80.37,31.88,63.52,86.96,90.71,94.19,7.95,17,3,0,17,3,0,14,2,4.0,0.0,['heavyweight'],heavyweight,1986/09/05,19.45,15.93,47.68,58.0,58.58,81.7,8.52,8.15,62.01,13.0,71.01,7.67,,17.2,100.0,87.3
Jailton Almeida,Malhadinho,Orthodox,8,71.61,72.8,82.65,90.27,84.18,34.25,84.3,61.34,22,3,0,22,3,0,9,0,Unranked,5.0,"['heavyweight', 'catch weight', 'light heavyweight']",heavyweight,1991/06/26,21.87,5.01,75.59,0.0,58.58,92.45,73.69,45.78,59.99,57.52,60.01,69.05,,68.8,100.0,81.48
Frank Mir,,Southpaw,9,69.5,81.26,51.28,100.0,62.23,60.93,85.47,14.84,18,11,0,18,11,0,27,2,Unranked,5.0,"['heavyweight', 'interim heavyweight']",heavyweight,1979/05/24,18.2,11.37,54.64,58.0,54.3,67.46,22.62,52.89,40.01,43.54,54.02,100.0,,100.0,100.0,40.74
Juan Espino,El Guapo,Orthodox,10,65.14,73.37,70.83,76.83,77.34,24.73,100.0,36.12,11,2,0,11,2,0,3,1,Unranked,Unranked,"['heavyweight', 'ultimate fighter 28 heavyweight tournament']",heavyweight,1980/10/09,19.87,1.65,81.4,0.0,57.14,83.47,100.0,14.25,78.0,9.83,50.02,23.02,,34.41,100.0,70.37
