name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Khabib Nurmagomedov,The Eagle,Orthodox,1,89.99,74.48,97.62,80.8,99.23,100.0,67.8,63.46,29,0,0,29,0,0,13,4,1.0,0.0,"['lightweight', 'catch weight']",lightweight,1988/09/20,45.06,24.65,59.99,15.41,65.0,87.32,62.67,71.32,47.99,75.22,84.0,37.9,16.82,54.34,100.0,100.0
Islam Makhachev,,Southpaw,2,86.37,77.05,78.48,91.32,94.28,95.1,78.2,39.85,27,1,0,27,1,0,17,5,1.0,0.0,"['lightweight', 'catch weight']",lightweight,1991/10/27,28.89,8.55,72.49,30.82,61.0,88.77,37.7,38.77,53.01,65.34,90.0,42.65,23.13,86.94,100.0,90.2
Rafael Dos Anjos,,Southpaw,3,79.02,86.61,92.9,78.05,71.9,71.34,60.13,31.64,32,17,0,32,17,0,36,2,4.0,0.0,"['lightweight', 'catch weight', 'welterweight', 'interim welterweight']",lightweight,1984/10/26,38.23,95.53,58.74,53.95,60.01,76.59,22.97,100.0,35.0,100.0,53.99,42.65,12.6,54.34,82.77,52.16
Charles Oliveira,Do Bronxs,Orthodox,4,78.57,87.58,68.73,96.53,69.08,74.28,90.9,20.22,35,11,0,35,11,0,35,2,3.0,0.0,"['lightweight', 'featherweight']",lightweight,1989/10/17,37.47,50.93,68.75,61.66,48.0,76.37,26.27,55.61,39.0,61.69,56.01,99.5,54.66,100.0,31.09,52.07
Dustin Poirier,The Diamond,Southpaw,5,73.93,100.0,57.24,74.23,73.59,68.17,77.8,18.18,30,9,0,30,9,0,31,1,5.0,1.0,"['lightweight', 'featherweight', 'interim lightweight']",lightweight,1989/01/19,58.23,74.34,62.5,100.0,52.0,68.62,14.6,43.25,36.0,55.48,64.0,80.55,27.34,43.47,31.09,59.5
Frankie Edgar,The Answer,Orthodox,6,73.5,77.92,84.62,70.0,74.04,67.74,50.38,27.71,23,11,1,23,11,1,30,3,9.0,1.0,"['bantamweight', 'featherweight', 'lightweight', 'interim featherweight']",lightweight,1981/10/16,41.42,93.56,50.0,23.13,65.0,79.56,26.98,100.0,31.0,83.86,65.0,37.9,6.31,21.73,100.0,51.48
Benson Henderson,Smooth,Southpaw,7,72.22,74.26,63.71,68.0,82.67,84.57,35.94,33.02,24,7,0,24,7,0,14,4,5.0,0.0,"['welterweight', 'lightweight']",lightweight,1983/11/16,32.2,43.3,56.25,23.13,63.0,87.04,28.27,36.51,44.99,51.63,63.02,23.68,16.82,21.73,82.77,69.84
Grant Dawson,KGD,Switch,8,68.98,71.73,87.87,78.02,82.22,34.1,61.31,79.32,23,2,1,23,2,1,13,0,Unranked,10.0,"['lightweight', 'catch weight', 'featherweight']",lightweight,1994/02/20,35.17,17.41,64.99,7.7,44.0,84.71,45.59,56.17,40.0,82.02,56.99,28.43,23.13,43.47,100.0,80.34
Jim Miller,A-10,Southpaw,9,68.57,79.38,74.39,95.62,72.44,33.57,72.35,20.86,38,19,0,38,19,0,46,0,Unranked,4.0,"['lightweight', 'welterweight', 'catch weight']",lightweight,1983/08/30,32.08,56.42,52.49,46.25,56.0,75.07,17.67,56.17,44.99,74.7,48.0,100.0,35.75,100.0,48.32,56.77
Michael Chiesa,Maverick,Southpaw,10,67.77,65.62,76.17,77.16,71.37,51.91,70.1,37.9,19,7,0,19,7,0,21,1,Unranked,5.0,"['welterweight', 'lightweight', 'ultimate fighter 15 lightweight tournament']",lightweight,1987/12/07,22.31,18.26,50.0,7.7,57.0,87.46,35.93,48.31,46.99,64.03,66.99,28.43,21.03,86.94,13.86,48.14
Beneil Dariush,,Southpaw,11,67.3,84.08,70.45,77.36,75.19,41.6,56.09,37.65,23,6,1,23,6,1,24,0,Unranked,3.0,['lightweight'],lightweight,1989/05/06,41.53,42.57,61.24,53.95,57.0,81.08,24.97,45.5,38.0,70.26,82.01,28.43,16.82,54.34,82.77,54.63
Nate Diaz,,Southpaw,12,66.88,82.52,43.67,100.0,71.22,49.16,82.56,15.66,22,13,0,22,13,0,27,1,Unranked,4.0,"['welterweight', 'lightweight', 'ultimate fighter 5 lightweight tournament']",lightweight,1985/04/16,50.2,89.09,56.25,30.82,52.0,72.68,12.37,38.2,30.0,37.52,40.99,85.29,27.34,100.0,100.0,58.02
Gregor Gillespie,The Gift,Orthodox,13,66.23,74.31,77.19,69.49,88.53,23.15,83.06,55.62,14,1,0,14,1,0,8,0,Unranked,8.0,['lightweight'],lightweight,1986/11/13,41.09,14.32,64.99,15.41,57.0,83.33,80.8,31.46,47.99,33.66,100.0,14.22,16.82,21.73,100.0,79.17
Gleison Tibau,,Southpaw,14,66.0,66.31,100.0,76.3,75.98,24.15,45.06,38.82,33,14,0,33,14,0,28,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1983/10/07,21.42,46.48,38.75,15.41,63.0,81.81,48.07,88.18,53.01,82.25,92.02,71.07,16.82,43.47,65.55,51.19
