name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Anderson Silva,The Spider,Southpaw,1,77.77,100.0,39.92,74.2,75.37,98.35,87.69,2.72,34,11,0,34,11,0,25,11,1.0,0.0,"['middleweight', 'light heavyweight']",middleweight,1975/04/14,39.29,13.73,61.01,100.0,69.76,82.28,5.66,2.95,76.99,13.85,69.0,40.29,15.71,41.59,100.0,62.67
Dricus Du Plessis,Stillknocks,Switch,2,77.38,88.06,45.88,67.47,86.73,98.54,76.74,10.76,23,2,0,23,2,0,9,3,4.0,0.0,['middleweight'],middleweight,1994/01/14,78.86,55.88,48.0,26.52,62.79,57.67,28.89,31.11,50.0,16.87,49.99,13.43,13.75,27.73,100.0,100.0
Chris Weidman,The All-American,Orthodox,3,77.13,78.92,78.08,73.52,61.0,92.04,70.93,18.18,16,8,0,16,8,0,20,4,2.0,0.0,"['catch weight', 'middleweight', 'light heavyweight']",middleweight,1984/06/17,40.07,23.59,45.0,33.13,59.31,70.89,37.05,77.04,41.99,65.65,72.02,33.57,15.71,41.59,100.0,37.22
Khamzat Chimaev,Borz,Orthodox,4,71.34,83.84,56.72,82.76,88.86,53.3,75.58,20.4,14,0,0,14,0,0,8,0,14.0,3.0,"['catch weight', 'middleweight', 'welterweight']",middleweight,1994/05/01,69.06,20.13,58.0,13.25,47.68,71.92,48.84,22.23,45.99,27.15,100.0,20.15,54.99,55.45,100.0,100.0
Anthony Hernandez,Fluffy,Orthodox,5,70.32,80.27,93.05,79.87,72.88,30.02,75.58,42.17,14,2,0,14,2,0,10,0,Unranked,7.0,['middleweight'],middleweight,1993/10/18,57.98,17.5,63.0,0.0,53.49,77.45,71.05,74.07,44.99,64.11,66.01,47.0,37.31,55.45,80.0,66.67
Michael Bisping,The Count,Orthodox,6,69.98,86.11,46.08,55.77,74.02,87.31,65.12,6.48,30,9,0,30,9,0,29,3,9.0,0.0,"['middleweight', 'light heavyweight', 'ultimate fighter 3 light heavyweight tournament']",middleweight,1979/02/28,55.8,49.81,38.0,53.01,75.57,76.58,11.9,44.43,42.99,33.58,62.99,33.57,5.89,0.0,59.99,59.0
Sean Strickland,,Orthodox,7,68.85,92.26,47.38,60.7,75.67,77.96,45.06,7.47,29,7,0,29,7,0,23,1,7.0,0.0,"['middleweight', 'light heavyweight', 'welterweight', 'catch weight']",middleweight,1991/02/27,76.68,100.0,42.0,39.77,69.76,60.51,8.27,20.73,64.0,30.89,75.99,0.0,3.93,13.86,100.0,66.19
Rich Franklin,Ace,Southpaw,8,68.66,89.93,53.8,63.77,73.18,61.66,80.07,10.8,29,7,0,29,7,0,20,3,Unranked,Unranked,"['middleweight', 'catch weight', 'light heavyweight']",middleweight,1974/10/05,52.83,36.93,43.99,66.28,72.09,82.11,14.84,16.29,66.0,37.96,62.99,13.43,13.75,13.86,100.0,57.78
Thales Leites,,Orthodox,9,68.21,74.22,77.22,88.59,69.18,41.56,67.8,25.1,28,9,0,28,9,0,21,0,Unranked,9.0,['middleweight'],middleweight,1981/09/06,27.44,36.03,40.0,26.52,60.46,74.16,23.79,100.0,26.99,79.9,29.99,100.0,21.6,69.31,100.0,62.43
Robert Whittaker,The Reaper,Orthodox,10,67.49,93.22,37.07,53.85,75.41,84.67,47.88,6.37,27,8,0,27,8,0,23,2,8.0,0.0,"['middleweight', 'welterweight', 'ultimate fighter australia vs. uk welterweight tournament', 'interim middleweight']",middleweight,1990/12/20,58.5,49.63,43.0,72.9,68.6,70.54,9.07,31.11,38.01,26.35,81.02,0.0,0.0,0.0,80.0,63.29
Yushin Okami,Thunder,Southpaw,11,67.28,72.32,83.74,58.26,73.33,53.14,48.17,30.45,34,12,0,34,12,0,21,0,Unranked,3.0,"['welterweight', 'middleweight', 'light heavyweight']",middleweight,1981/07/21,26.55,23.74,38.0,26.52,69.76,80.56,22.43,64.45,38.98,96.95,84.01,26.85,9.82,0.0,80.0,55.56
Antonio Carlos Junior,Cara de Sapato,Orthodox,12,67.18,66.74,78.2,81.57,70.62,41.08,80.07,38.33,11,5,0,11,5,0,13,1,Unranked,11.0,"['middleweight', 'light heavyweight', 'ultimate fighter brazil 3 heavyweight tournament']",middleweight,1990/03/16,25.11,18.96,42.0,0.0,60.46,81.51,38.75,64.45,38.98,71.02,53.0,40.29,15.71,69.31,100.0,59.83
Derek Brunson,The One,Southpaw,13,66.8,82.69,77.43,68.46,67.21,41.45,68.1,20.26,23,9,0,23,9,0,21,0,Unranked,4.0,['middleweight'],middleweight,1984/01/04,45.22,29.78,47.0,39.77,59.31,73.65,35.57,84.45,33.0,70.28,85.02,26.85,11.78,27.73,100.0,48.14
Evan Tanner,,Orthodox,14,66.37,76.6,60.87,83.64,62.61,49.69,87.31,20.61,32,8,0,32,8,0,17,1,Unranked,Unranked,"['middleweight', 'light heavyweight']",middleweight,1971/02/11,39.29,12.12,59.01,6.63,65.12,77.19,28.89,34.08,42.99,51.9,24.99,80.55,25.53,55.45,100.0,45.76
Nate Marquardt,The Great,Orthodox,15,66.01,90.95,69.45,77.56,64.66,32.44,78.53,17.95,35,19,2,35,19,2,25,0,Unranked,Unranked,"['middleweight', 'welterweight']",middleweight,1979/04/20,34.92,26.97,49.01,79.53,63.95,79.95,21.18,41.49,51.0,67.35,70.01,73.84,15.71,41.59,100.0,41.78
Israel Adesanya,The Last Stylebender,Switch,16,65.8,97.87,10.78,54.2,73.68,100.0,50.09,2.66,24,5,0,24,5,0,18,8,2.0,0.0,"['middleweight', 'light heavyweight', 'interim middleweight']",middleweight,1989/07/22,51.8,59.49,48.0,86.16,63.95,72.35,0.57,6.65,10.99,10.39,75.99,0.0,1.96,0.0,80.0,62.34
Brendan Allen,All In,Orthodox,17,64.96,79.7,54.1,92.7,71.59,40.43,69.77,21.54,24,7,0,24,7,0,16,0,Unranked,6.0,"['middleweight', 'catch weight', 'light heavyweight']",middleweight,1995/12/28,45.73,23.74,53.0,19.88,52.32,68.3,17.34,31.85,38.01,53.21,55.99,60.42,25.53,97.04,100.0,68.06
Ed Herman,Short Fuse,Orthodox,18,64.29,81.73,72.07,82.02,59.0,31.55,78.53,19.2,27,16,0,27,16,0,26,0,Unranked,Unranked,"['light heavyweight', 'middleweight', 'ultimate fighter 3 middleweight tournament']",middleweight,1980/10/02,42.65,58.2,48.0,26.52,48.84,67.95,22.21,52.58,47.0,71.16,59.01,87.27,19.64,69.31,59.99,41.02
Yoel Romero,Soldier of God,Southpaw,19,64.08,90.65,39.63,56.32,79.84,51.98,84.5,10.63,13,5,0,13,5,0,13,0,15.0,1.0,"['middleweight', 'interim middleweight']",middleweight,1977/04/30,44.32,41.73,49.01,66.28,69.76,73.65,17.79,46.66,29.99,24.75,78.0,0.0,0.0,0.0,100.0,72.64
Kelvin Gastelum,,Southpaw,20,63.58,91.05,49.62,57.3,68.4,59.12,50.09,11.29,20,10,0,20,10,0,24,1,Unranked,3.0,"['middleweight', 'interim middleweight', 'welterweight', 'ultimate fighter 17 middleweight tournament']",middleweight,1991/10/24,47.29,91.09,42.0,59.65,66.28,69.85,11.9,49.63,34.0,46.14,58.0,6.72,1.96,27.73,40.01,53.24
Matt Lindland,The Law,Southpaw,21,63.48,70.03,79.11,67.4,70.97,35.57,58.65,43.34,22,9,0,22,9,0,12,0,Unranked,Unranked,"['middleweight', 'light heavyweight']",middleweight,1970/05/17,33.76,4.1,50.0,0.0,60.46,86.52,34.11,39.99,48.0,78.25,60.0,53.7,25.53,13.86,80.0,58.33
Caio Borralho,The Natural,Southpaw,22,63.05,81.96,49.76,62.41,92.9,43.13,43.19,30.62,17,1,0,17,1,0,7,0,Unranked,5.0,['middleweight'],middleweight,1993/01/16,46.51,18.14,60.0,19.88,72.09,79.78,17.67,11.85,59.99,33.47,75.99,6.72,9.82,13.86,100.0,100.0
Vitor Belfort,The Phenom,Southpaw,23,62.79,84.29,33.53,65.99,61.59,63.2,95.35,1.97,26,14,0,26,14,0,26,1,11.0,2.0,"['middleweight', 'light heavyweight', 'catch weight', 'heavyweight']",middleweight,1977/04/01,20.48,10.5,46.01,72.9,58.13,75.55,11.55,5.92,59.99,8.04,53.0,26.85,11.78,27.73,80.0,41.88
Marvin Vettori,The Italian Dream,Southpaw,24,62.67,80.6,60.05,67.11,71.93,48.03,38.76,19.37,19,8,1,19,8,1,16,0,Unranked,2.0,"['middleweight', 'light heavyweight']",middleweight,1993/09/20,58.5,77.25,46.01,6.63,65.12,62.25,17.1,45.93,44.99,55.2,69.0,20.15,7.86,27.73,100.0,61.11
CB Dollaway,The Doberman,Orthodox,25,62.46,76.38,79.29,68.27,59.51,38.28,46.51,21.74,17,9,0,17,9,0,20,0,Unranked,9.0,"['middleweight', 'light heavyweight', 'ultimate fighter 7 middleweight tournament']",middleweight,1983/08/10,34.14,35.69,47.0,19.88,62.79,77.71,40.22,52.58,54.01,64.03,62.0,53.7,23.57,27.73,59.99,32.78
Chael Sonnen,,Southpaw,26,62.36,69.55,100.0,55.85,55.84,34.11,43.19,42.1,29,15,1,29,15,1,14,0,Unranked,6.0,"['middleweight', 'light heavyweight']",middleweight,1977/04/03,39.69,16.59,43.0,0.0,72.09,90.49,43.16,51.11,58.99,100.0,66.01,6.72,7.86,27.73,20.0,16.67
Cezar Ferreira,Mutante,Southpaw,27,62.14,69.52,65.35,71.14,68.42,47.4,46.51,23.44,13,8,0,13,8,0,15,1,Unranked,15.0,"['middleweight', 'ultimate fighter brazil 1 middleweight tournament', 'welterweight']",middleweight,1985/02/15,24.48,15.25,42.0,13.25,61.64,78.92,30.48,38.52,53.0,50.11,84.01,20.15,9.82,41.59,100.0,48.89
Luke Rockhold,,Southpaw,28,61.98,78.06,26.66,72.87,58.78,68.25,100.0,8.14,16,6,0,16,6,0,11,1,3.0,0.0,"['middleweight', 'light heavyweight']",middleweight,1984/10/17,52.83,25.58,49.01,13.25,61.64,76.84,7.94,14.82,28.99,18.95,64.99,20.15,19.64,41.59,100.0,31.31
Dan Henderson,Hendo,Orthodox,29,61.59,85.87,46.88,53.07,58.76,63.9,61.24,9.42,32,15,0,32,15,0,18,1,10.0,1.0,"['middleweight', 'light heavyweight', '17 middleweight tournament']",middleweight,1970/08/24,31.44,40.32,47.0,59.65,59.31,76.66,17.22,25.91,52.0,29.56,57.01,6.72,5.89,0.0,59.99,33.96
