name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Zhang Weili,Magnum,Switch,1,84.24,83.07,80.91,73.96,89.19,99.86,55.0,44.62,26,3,0,26,3,0,12,6,1.0,0.0,"[""women's strawweight""]",women's strawweight,1989/08/13,65.46,25.21,80.49,43.9,57.51,78.72,48.17,42.22,44.99,88.57,74.0,35.72,13.89,40.0,100.0,78.7
Rose Namajunas,Thug,Orthodox,2,82.91,82.75,76.73,77.42,83.89,97.74,63.75,30.27,15,7,0,15,7,0,18,4,2.0,0.0,"[""women's flyweight"", ""women's strawweight""]",women's strawweight,1992/06/29,42.18,37.69,51.23,87.81,80.0,69.26,32.05,40.74,49.99,87.8,61.98,50.01,11.11,60.0,79.99,61.73
Tatiana Suarez,,Southpaw,3,82.06,72.1,98.83,82.6,92.1,63.62,86.08,82.16,11,1,0,11,1,0,8,1,7.0,1.0,"[""women's flyweight"", ""women's strawweight"", ""ultimate fighter 23 women's strawweight tournament""]",women's strawweight,1990/12/19,36.49,7.75,100.0,0.0,40.01,97.22,100.0,43.7,47.0,81.54,79.99,14.29,19.44,79.99,100.0,88.89
Jessica Andrade,Bate Estaca,Orthodox,4,81.26,100.0,91.59,65.2,66.57,79.98,72.2,26.46,26,14,0,26,14,0,29,1,4.0,0.0,"[""women's flyweight"", ""women's strawweight"", ""women's bantamweight""]",women's strawweight,1991/09/25,84.09,69.49,73.18,100.0,57.51,36.49,47.52,54.07,54.0,100.0,71.0,28.57,8.33,60.0,0.0,39.08
Carla Esparza,Cookie Monster,Orthodox,5,75.49,57.37,100.0,64.25,72.69,86.03,40.0,46.16,20,8,0,20,8,0,16,2,3.0,0.0,"[""women's strawweight""]",women's strawweight,1987/10/10,21.02,16.41,46.34,0.0,57.51,77.18,70.53,100.0,36.01,98.68,46.98,21.44,8.33,19.99,79.99,52.09
Joanna Jedrzejczyk,,Orthodox,6,71.96,79.14,45.25,59.31,84.73,100.0,40.0,12.76,16,5,0,16,5,0,15,6,5.0,0.0,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,1987/08/18,82.44,58.46,68.3,14.64,77.51,71.27,5.8,5.93,62.01,32.64,79.99,7.15,2.78,0.0,100.0,60.0
Virna Jandiroba,Carcara,Orthodox,7,69.98,59.66,77.58,86.03,89.53,47.74,62.5,67.26,22,3,0,22,3,0,11,0,8.0,1.0,"[""women's strawweight""]",women's strawweight,1988/05/30,17.72,19.44,43.9,14.64,65.0,82.14,50.98,46.67,33.0,89.86,72.98,42.86,49.97,60.0,100.0,75.76
Loopy Godinez,,Orthodox,8,68.7,73.77,90.42,77.38,86.56,31.01,43.75,56.74,13,5,0,13,5,0,13,0,Unranked,10.0,"[""women's strawweight"", ""women's flyweight"", 'catch weight']",women's strawweight,1993/09/06,52.4,52.83,68.3,14.64,75.0,61.65,67.1,57.78,47.0,84.48,81.0,50.01,25.0,40.0,100.0,65.81
Claudia Gadelha,Claudinha,Orthodox,9,67.28,63.67,87.71,72.2,79.45,46.99,35.71,57.36,18,5,0,18,5,0,12,0,12.0,1.0,"[""women's strawweight""]",women's strawweight,1988/12/07,37.84,6.04,51.23,14.64,65.0,50.78,65.16,62.22,42.01,83.19,57.98,57.14,19.44,19.99,100.0,62.97
Amanda Lemos,,Southpaw,10,67.1,86.67,55.92,67.3,69.13,58.25,74.16,21.97,15,4,1,15,4,1,13,0,9.0,3.0,"[""women's strawweight"", ""women's bantamweight""]",women's strawweight,1987/05/22,31.52,12.7,82.94,87.81,32.51,68.03,24.52,11.85,62.01,39.42,59.0,7.15,19.44,40.0,60.0,54.7
